"onderwerp"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"	"2025"	"2026"	"2027"	"2028"	"2029"	"2030"	"2031"	"2032"	"2033"	"2034"	"2035"	"2036"	"2037"	"2038"	"2039"	"2040"	"2041"	"2042"	"2043"	"2044"	"2045"	"2046"	"2047"	"2048"	"2049"	"2050"
"Ventilatie"	0.30	0.32	0.34	0.37	0.39	0.41	0.44	0.46	0.49	0.51	0.53	0.56	0.58	0.60	0.63	0.65	0.67	0.70	0.72	0.74	0.77	0.79	0.81	0.84	0.86	0.89	0.91	0.93	0.96	0.98	1.00	1.03	1.05	1.07	1.10	1.12	1.14	1.17	1.19	1.21	1.24	1.26	1.29	1.31	1.33	1.36	1.38	1.40	1.43	1.45	1.47
"WKK"	1.31	1.27	1.23	1.19	1.15	1.11	1.07	1.03	0.98	0.94	0.76	0.67	0.63	0.62	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61
"Zonneboiler"	0.81	0.80	0.80	0.79	0.79	0.78	0.78	0.77	0.77	0.76	0.76	0.75	0.75	0.74	0.74	0.73	0.73	0.72	0.72	0.71	0.71	0.70	0.70	0.69	0.69	0.68	0.68	0.67	0.67	0.66	0.66	0.65	0.65	0.64	0.64	0.63	0.62	0.62	0.61	0.61	0.60	0.60	0.59	0.59	0.58	0.58	0.57	0.57	0.56	0.56	0.55
"PV cellen"	1.11	1.06	1.01	0.96	0.91	0.87	0.82	0.77	0.72	0.67	0.35	0.32	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31
"warmtepomp"	0.68	0.68	0.67	0.66	0.66	0.65	0.64	0.64	0.63	0.62	0.62	0.61	0.60	0.60	0.59	0.58	0.58	0.57	0.56	0.56	0.55	0.54	0.54	0.53	0.52	0.52	0.51	0.50	0.50	0.49	0.48	0.48	0.47	0.46	0.46	0.45	0.44	0.44	0.43	0.42	0.42	0.41	0.40	0.40	0.39	0.38	0.38	0.37	0.36	0.36	0.35
"isolatie"	0.58	0.59	0.61	0.63	0.64	0.66	0.67	0.69	0.70	0.72	0.73	0.75	0.76	0.78	0.79	0.81	0.82	0.84	0.85	0.87	0.88	0.90	0.91	0.93	0.95	0.96	0.98	0.99	1.01	1.02	1.04	1.05	1.07	1.08	1.10	1.11	1.13	1.14	1.16	1.17	1.19	1.20	1.22	1.24	1.25	1.27	1.28	1.30	1.31	1.33	1.34
"Default"	0.85	0.85	0.85	0.85	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.84	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83	0.83
																																																			
																																																			
																																																			
																																																			
"Ventilatie"	39										69										100										131										161										192
"WKK"	217										126										100										100										100										100
"Zonneboiler"	114										107										100										93										86										78
"PV cellen"	358										113										100										100										100										100
"warmtepomp"	124										112										100										88										76										64
"isolatie"	66										83										100										117										134										152
"Default"	101										100										100										100										99										99
