"onderwerp"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"	"2023"	"2024"	"2025"	"2026"	"2027"	"2028"	"2029"	"2030"	"2031"	"2032"	"2033"	"2034"	"2035"	"2036"	"2037"	"2038"	"2039"	"2040"	"2041"	"2042"	"2043"	"2044"	"2045"	"2046"	"2047"	"2048"	"2049"	"2050"
"Ventilatie"	0.55	0.58	0.60	0.62	0.65	0.67	0.69	0.72	0.74	0.76	0.79	0.81	0.83	0.86	0.88	0.91	0.93	0.95	0.98	1.00	1.02	1.05	1.07	1.09	1.12	1.14	1.16	1.19	1.21	1.24	1.26	1.28	1.31	1.33	1.35	1.38	1.40	1.42	1.45	1.47	1.49	1.52	1.54	1.56	1.59	1.61	1.64	1.66	1.68	1.71	1.73
"WKK"	1.40	1.36	1.32	1.27	1.23	1.19	1.15	1.11	1.07	1.03	0.91	0.82	0.78	0.76	0.76	0.76	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
"Zonneboiler"	1.00	0.99	0.99	0.98	0.98	0.97	0.97	0.96	0.96	0.95	0.95	0.94	0.94	0.93	0.93	0.92	0.92	0.91	0.91	0.90	0.90	0.89	0.89	0.88	0.88	0.87	0.87	0.86	0.86	0.85	0.85	0.84	0.84	0.83	0.83	0.82	0.82	0.81	0.81	0.80	0.80	0.79	0.79	0.78	0.78	0.77	0.76	0.76	0.75	0.75	0.74
"PV cellen"	1.31	1.26	1.21	1.16	1.11	1.06	1.02	0.97	0.92	0.87	0.55	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51
"warmtepomp"	0.90	0.89	0.89	0.88	0.87	0.87	0.86	0.85	0.85	0.84	0.83	0.83	0.82	0.81	0.80	0.80	0.79	0.78	0.78	0.77	0.76	0.76	0.75	0.74	0.74	0.73	0.72	0.72	0.71	0.70	0.70	0.69	0.68	0.68	0.67	0.66	0.66	0.65	0.64	0.64	0.63	0.62	0.62	0.61	0.60	0.60	0.59	0.58	0.58	0.57	0.56
"isolatie"	0.77	0.79	0.81	0.82	0.84	0.85	0.87	0.88	0.90	0.91	0.93	0.94	0.96	0.97	0.99	1.00	1.02	1.03	1.05	1.06	1.08	1.09	1.11	1.13	1.14	1.16	1.17	1.19	1.20	1.22	1.23	1.25	1.26	1.28	1.29	1.31	1.32	1.34	1.35	1.37	1.38	1.40	1.41	1.43	1.45	1.46	1.48	1.49	1.51	1.52	1.54
"Default"	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.99	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97
																																																			
																																																			
																																																			
																																																			
"Ventilatie"	54										77										100										123										146										169
"WKK"	185										121										100										100										100										100
"Zonneboiler"	111										106										100										94										89										83
"PV cellen"	258										108										100										100										100										100
"warmtepomp"	117										109										100										91										83										74
"isolatie"	72										86										100										114										128										142
"Default"	101										100										100										100										99										99
