code,instrument,eerstejaar,laatstejaar,soort,doelgroep,grondslag,procent,perm2,vastbedrag,voorwaarde1,voorwaarde2,naleving,Budget
sub_ZonPV,subsidie zonnepanelen,2012,2013,subsidie,koopwoning,zonnepanelen,0.15,0,0,,Maximum bedrag: 650,0.8,
sub_HR,subsidie hr++ glas,2009,2010,subsidie,koopwoning,"RO_N3,RB_N3",0,35,0,,Maximum bedrag: 1100,0.8,"2009:16.7mln, 2010:33.3mln"
sub_SchZun1,schoon en zuinig 1 labelstap,2010,2011,subsidie,alle woningen,isolatie,0,0,300,,Aantal labelstappen: 1,0.8,"2010:9.5mln, 2011:10mln"
sub_SchZun2,schoon en zuinig 2 labelstap,2010,2011,subsidie,alle woningen,isolatie,0,0,750,,Aantal labelstappen: 2 tot 6,0.8,hoort bij sub_SchZun1
sub_Eprem1,energie premie regeling,2013,2013,subsidie,alle woningen,"MS_N2,MS_N3,MS_N4",0,6,0,,,0.01,2013:54mln
sub_Eprem2,energie premie regeling,2013,2013,subsidie,alle woningen,"MG_N2,MG_N3,MG_N4",0,15,0,,,0.01,hoort bij sub_Eprem1
sub_Eprem3,energie premie regeling,2013,2013,subsidie,alle woningen,"DP_N2,DP_N3,DP_N4,DS_N2,DS_N3,DS_N4",0,10,0,,,0.01,hoort bij sub_Eprem1
sub_Eprem4,energie premie regeling,2013,2013,subsidie,alle woningen,"VL_N2,VL_N3,VL_N4",0,7.5,0,,,0.01,hoort bij sub_Eprem1
sub_Eprem5,energie premie regeling,2013,2013,subsidie,alle woningen,"RO_N3,RB_N3",0,20,0,,,0.01,hoort bij sub_Eprem1
sub_Eprem6,energie premie regeling,2013,2013,subsidie,alle woningen,zonneboilers,0,0,455,,,0.01,hoort bij sub_Eprem1
sub_Eprem7,energie premie regeling,2013,2013,subsidie,alle woningen,warmtepompen,0,0,2700,,,0.01,hoort bij sub_Eprem1
sub_Eprem8,energie premie regeling,2013,2013,subsidie,alle woningen,LTAS,0,0,230,,,0.01,hoort bij sub_Eprem1
sub_Eprem9,energie premie regeling,2013,2013,subsidie,alle woningen,hybride warmtepompen,0,0,2000,,,0.01,hoort bij sub_Eprem1
sub_ISDE1,isde voormalig,2016,2020,subsidie,koopwoning,"biomassaketels, pelletkachels, (hybride)warmtepompen, zonneboilers",0.2,0,0,,,0.9,"2016:70mln, 2017:90mln, 2018:100mln, 2019:100mln, 2020:100mln"
sub_ISDE2,isde huidig,2021,2022,subsidie,koopwoning,"isolatie,(hybride)warmtepompen,zonneboilers",0.2,0,0,,,0.9,"2021:124mln, 2022:228mln,2023:338mln,2024:368mln,2025:368mln,2026:368mln,2027:368mln,2028:368mln,2029:368mln,2030:368mln"
sub_ISDE3,isde huidig (warmtenet),2021,2026,subsidie,koopwoning,warmtenetaansluiting,0,0,3325,,,0.9,hoort bij sub_ISDE2
sub_ISDE4,isde voorgenomen,2023,2026,subsidie,koopwoning,"(hybride) warmtepomp, isolatie, zonneboiler",0.15,0,0,Minimaal aantal maatregelen: 1,Maximaal aantal maatregelen: 1,0.9,hoort bij sub_ISDE2
