,,BETA,P50P
geen,Koop,0.003,0.5
VR_zKD,Koop,0.003,0.0001
VR_vKD,Koop,0.003,0.01
VR_mKD,Koop,0.003,0.01
HR_zKD_hTWds,Koop,0.003,0.5
HR_vKD_hTWds,Koop,0.003,0.5
HR_mKD_hTWds,Koop,0.003,0.5
HR_zKD_TWds,Koop,0.003,0.5
HR_vKD_TWds,Koop,0.003,0.5
HR_mKD_TWds,Koop,0.003,0.5
HR_zKD,Koop,0.003,0.001
HR_vKD,Koop,0.003,0.01
HR_mKD,Koop,0.003,0.01
Pellet_zKD,Koop,0.003,1
Pellet_vKD,Koop,0.003,1
Pellet_mKD,Koop,0.003,1
Olie_zKD,Koop,0.003,1
Olie_vKD,Koop,0.003,1
Olie_mKD,Koop,0.003,1
Bioketel_zKD,Koop,0.003,1
Bioketel_vKD,Koop,0.003,1
Bioketel_mKD,Koop,0.003,1
LweWP_zKD,Koop,0.003,0.3
LweWP_wKD,Koop,0.003,0.3
BweWP_zKD,Koop,0.003,0.3
BweWP_wKD,Koop,0.003,0.3
LleWP_zKD,Koop,0.001,0.001
LleWP_wKD,Koop,0.001,0.001
hEWV_TWg_zKD,Koop,0.003,0.3
hEWV_TWg_vKD,Koop,0.003,0.3
hEWV_TWg_mKD,Koop,0.003,0.3
hEWV_TWeb_zKD,Koop,0.003,0.3
hEWV_TWeb_vKD,Koop,0.003,0.3
hEWV_TWeb_mKD,Koop,0.003,0.3
EWV_TWeb_zKD,Koop,0.003,0.3
EWV_TWeb_vKD,Koop,0.003,0.3
EWV_TWeb_mKD,Koop,0.003,0.3
IR_TWeb_zKD,Koop,0.001,0.001
IR_TWeb_vKD,Koop,0.001,0.001
IR_TWeb_mKD,Koop,0.001,0.001
hEWV_hTWds_zKD,Koop,0.003,0.3
hEWV_hTWds_vKD,Koop,0.003,0.3
hEWV_hTWds_mKD,Koop,0.003,0.3
hEWV_TWds_zKD,Koop,0.003,0.3
hEWV_TWds_vKD,Koop,0.003,0.3
hEWV_TWds_mKD,Koop,0.003,0.3
EWV_TWds_zKD,Koop,0.003,0.3
EWV_TWds_vKD,Koop,0.003,0.3
EWV_TWds_mKD,Koop,0.003,0.3
IR_TWds_zKD,Koop,0.001,0.001
IR_TWds_vKD,Koop,0.001,0.001
IR_TWds_mKD,Koop,0.001,0.001
HWP_zKD_TWg,Koop,0.003,0.3
HWP_wKD_TWg,Koop,0.003,0.3
HWP_zKD_TWeb,Koop,0.003,0.3
HWP_wKD_TWeb,Koop,0.003,0.3
HWP_zKD_hTWds,Koop,0.003,0.3
HWP_wKD_hTWds,Koop,0.003,0.3
HWP_zKD_TWds,Koop,0.003,0.3
HWP_wKD_TWds,Koop,0.003,0.3
hIR_zKD_TWg,Koop,0.001,0.001
hIR_vKD_TWg,Koop,0.001,0.001
hIR_mKD_TWg,Koop,0.001,0.001
hIR_zKD_TWeb,Koop,0.001,0.001
hIR_vKD_TWeb,Koop,0.001,0.001
hIR_mKD_TWeb,Koop,0.001,0.001
hIR_zKD_hTWds,Koop,0.001,0.001
hIR_vKD_hTWds,Koop,0.001,0.001
hIR_mKD_hTWds,Koop,0.001,0.001
hIR_zKD_TWds,Koop,0.001,0.001
hIR_vKD_TWds,Koop,0.001,0.001
hIR_mKD_TWds,Koop,0.001,0.001
Gebied_zK,Koop,0.003,0.3
Gebied_gK,Koop,0.003,0.3
Gebied_H2_zK,Koop,0.003,0.3
Gebied_H2_mK,Koop,0.003,0.3
H2WPu,Koop,0.003,0.3
H2Ru,Koop,0.003,0.3
H2WP_zK,Koop,0.003,0.3
H2R_zK,Koop,0.003,0.3
H2WP_mK,Koop,0.003,0.3
H2R_mK,Koop,0.003,0.3
geen,PartHuur,0.003,0.5
VR_zKD,PartHuur,0.003,0.0001
VR_vKD,PartHuur,0.003,0.01
VR_mKD,PartHuur,0.003,0.01
HR_zKD_hTWds,PartHuur,0.003,0.5
HR_vKD_hTWds,PartHuur,0.003,0.5
HR_mKD_hTWds,PartHuur,0.003,0.5
HR_zKD_TWds,PartHuur,0.003,0.5
HR_vKD_TWds,PartHuur,0.003,0.5
HR_mKD_TWds,PartHuur,0.003,0.5
HR_zKD,PartHuur,0.003,0.001
HR_vKD,PartHuur,0.003,0.01
HR_mKD,PartHuur,0.003,0.01
Pellet_zKD,PartHuur,0.003,1
Pellet_vKD,PartHuur,0.003,1
Pellet_mKD,PartHuur,0.003,1
Olie_zKD,PartHuur,0.003,1
Olie_vKD,PartHuur,0.003,1
Olie_mKD,PartHuur,0.003,1
Bioketel_zKD,PartHuur,0.003,1
Bioketel_vKD,PartHuur,0.003,1
Bioketel_mKD,PartHuur,0.003,1
LweWP_zKD,PartHuur,0.003,0.3
LweWP_wKD,PartHuur,0.003,0.3
BweWP_zKD,PartHuur,0.003,0.3
BweWP_wKD,PartHuur,0.003,0.3
LleWP_zKD,PartHuur,0.001,0.001
LleWP_wKD,PartHuur,0.001,0.001
hEWV_TWg_zKD,PartHuur,0.003,0.3
hEWV_TWg_vKD,PartHuur,0.003,0.3
hEWV_TWg_mKD,PartHuur,0.003,0.3
hEWV_TWeb_zKD,PartHuur,0.003,0.3
hEWV_TWeb_vKD,PartHuur,0.003,0.3
hEWV_TWeb_mKD,PartHuur,0.003,0.3
EWV_TWeb_zKD,PartHuur,0.003,0.3
EWV_TWeb_vKD,PartHuur,0.003,0.3
EWV_TWeb_mKD,PartHuur,0.003,0.3
IR_TWeb_zKD,PartHuur,0.001,0.001
IR_TWeb_vKD,PartHuur,0.001,0.001
IR_TWeb_mKD,PartHuur,0.001,0.001
hEWV_hTWds_zKD,PartHuur,0.003,0.3
hEWV_hTWds_vKD,PartHuur,0.003,0.3
hEWV_hTWds_mKD,PartHuur,0.003,0.3
hEWV_TWds_zKD,PartHuur,0.003,0.3
hEWV_TWds_vKD,PartHuur,0.003,0.3
hEWV_TWds_mKD,PartHuur,0.003,0.3
EWV_TWds_zKD,PartHuur,0.003,0.3
EWV_TWds_vKD,PartHuur,0.003,0.3
EWV_TWds_mKD,PartHuur,0.003,0.3
IR_TWds_zKD,PartHuur,0.001,0.001
IR_TWds_vKD,PartHuur,0.001,0.001
IR_TWds_mKD,PartHuur,0.001,0.001
HWP_zKD_TWg,PartHuur,0.003,0.3
HWP_wKD_TWg,PartHuur,0.003,0.3
HWP_zKD_TWeb,PartHuur,0.003,0.3
HWP_wKD_TWeb,PartHuur,0.003,0.3
HWP_zKD_hTWds,PartHuur,0.003,0.3
HWP_wKD_hTWds,PartHuur,0.003,0.3
HWP_zKD_TWds,PartHuur,0.003,0.3
HWP_wKD_TWds,PartHuur,0.003,0.3
hIR_zKD_TWg,PartHuur,0.001,0.001
hIR_vKD_TWg,PartHuur,0.001,0.001
hIR_mKD_TWg,PartHuur,0.001,0.001
hIR_zKD_TWeb,PartHuur,0.001,0.001
hIR_vKD_TWeb,PartHuur,0.001,0.001
hIR_mKD_TWeb,PartHuur,0.001,0.001
hIR_zKD_hTWds,PartHuur,0.001,0.001
hIR_vKD_hTWds,PartHuur,0.001,0.001
hIR_mKD_hTWds,PartHuur,0.001,0.001
hIR_zKD_TWds,PartHuur,0.001,0.001
hIR_vKD_TWds,PartHuur,0.001,0.001
hIR_mKD_TWds,PartHuur,0.001,0.001
Gebied_zK,PartHuur,0.003,0.3
Gebied_gK,PartHuur,0.003,0.3
Gebied_H2_zK,PartHuur,0.003,0.3
Gebied_H2_mK,PartHuur,0.003,0.3
H2WPu,PartHuur,0.003,0.3
H2Ru,PartHuur,0.003,0.3
H2WP_zK,PartHuur,0.003,0.3
H2R_zK,PartHuur,0.003,0.3
H2WP_mK,PartHuur,0.003,0.3
H2R_mK,PartHuur,0.003,0.3
geen,WoonCorp,0.003,0.5
VR_zKD,WoonCorp,0.003,0.0001
VR_vKD,WoonCorp,0.003,0.01
VR_mKD,WoonCorp,0.003,0.01
HR_zKD_hTWds,WoonCorp,0.003,0.5
HR_vKD_hTWds,WoonCorp,0.003,0.5
HR_mKD_hTWds,WoonCorp,0.003,0.5
HR_zKD_TWds,WoonCorp,0.003,0.5
HR_vKD_TWds,WoonCorp,0.003,0.5
HR_mKD_TWds,WoonCorp,0.003,0.5
HR_zKD,WoonCorp,0.003,0.001
HR_vKD,WoonCorp,0.003,0.01
