			"BETA"	"P50P"
"geen"	"ketel"	"Koop"	1	1
"geen"	"electric"	"Koop"	1	1
"geen"	"hybride"	"Koop"	1	1
"laag"	"ketel"	"Koop"	1	1
"laag"	"electric"	"Koop"	1	1
"laag"	"hybride"	"Koop"	1	1
"midden"	"ketel"	"Koop"	1	1
"midden"	"electric"	"Koop"	1	1
"midden"	"hybride"	"Koop"	1	1
"hoog"	"ketel"	"Koop"	1	1
"hoog"	"electric"	"Koop"	1	1
"hoog"	"hybride"	"Koop"	1	1
"extreem"	"ketel"	"Koop"	1	1
"extreem"	"electric"	"Koop"	1	1
"extreem"	"hybride"	"Koop"	1	1
"geen"	"ketel"	"PartHuur"	1	1
"geen"	"electric"	"PartHuur"	1	1
"geen"	"hybride"	"PartHuur"	1	1
"laag"	"ketel"	"PartHuur"	1	1
"laag"	"electric"	"PartHuur"	1	1
"laag"	"hybride"	"PartHuur"	1	1
"midden"	"ketel"	"PartHuur"	1	1
"midden"	"electric"	"PartHuur"	1	1
"midden"	"hybride"	"PartHuur"	1	1
"hoog"	"ketel"	"PartHuur"	1	1
"hoog"	"electric"	"PartHuur"	1	1
"hoog"	"hybride"	"PartHuur"	1	1
"extreem"	"ketel"	"PartHuur"	1	1
"extreem"	"electric"	"PartHuur"	1	1
"extreem"	"hybride"	"PartHuur"	1	1
"geen"	"ketel"	"WoonCorp"	1	1
"geen"	"electric"	"WoonCorp"	1	1
"geen"	"hybride"	"WoonCorp"	1	1
"laag"	"ketel"	"WoonCorp"	1	1
"laag"	"electric"	"WoonCorp"	1	1
"laag"	"hybride"	"WoonCorp"	1	1
"midden"	"ketel"	"WoonCorp"	1	1
"midden"	"electric"	"WoonCorp"	1	1
"midden"	"hybride"	"WoonCorp"	1	1
"hoog"	"ketel"	"WoonCorp"	1	1
"hoog"	"electric"	"WoonCorp"	1	1
"hoog"	"hybride"	"WoonCorp"	1	1
"extreem"	"ketel"	"WoonCorp"	1	1
"extreem"	"electric"	"WoonCorp"	1	1
"extreem"	"hybride"	"WoonCorp"	1	1
