Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P;GLAST_PC_COM_EXCL_CO2;GLAST_PC_CO2;GLAST_PC_DIS;GLAST_PC_TRANS;GLAST_PC_NET;GLAST_PC_SDE;GLAST_PC_BEL_EL;GLAST_PC_BTW;GLAST_P
2010;3.7;1.78;0.000;0.246;0.000;0.000;0.140;0.140;0.000;0.163;0.104;0.653;0.246;0.000;0.030;0.099;0.130;0.000;0.141;0.000;0.517;0.246;0.000;0.009;0.099;0.109;0.000;0.039;0.000;0.393;0.246;0.000;0.010;0.060;0.069;0.000;0.012;0.000;0.327;0.246;0.000;0.009;0.099;0.109;0.000;0.024;0.000;0.378
2011;3.7;1.78;0.000;0.246;0.000;0.000;0.148;0.148;0.000;0.160;0.105;0.659;0.246;0.000;0.030;0.103;0.134;0.000;0.138;0.000;0.517;0.246;0.000;0.009;0.103;0.112;0.000;0.039;0.000;0.397;0.246;0.000;0.010;0.061;0.071;0.000;0.012;0.000;0.329;0.246;0.000;0.009;0.103;0.112;0.000;0.023;0.000;0.381
2012;3.7;1.78;0.000;0.246;0.000;0.000;0.148;0.148;0.000;0.158;0.116;0.668;0.246;0.000;0.030;0.103;0.133;0.000;0.137;0.000;0.516;0.246;0.000;0.009;0.103;0.112;0.000;0.040;0.000;0.398;0.246;0.000;0.010;0.061;0.070;0.000;0.012;0.000;0.328;0.246;0.000;0.009;0.103;0.112;0.000;0.023;0.000;0.381
2013;3.7;1.78;0.000;0.246;0.000;0.000;0.149;0.149;0.002;0.172;0.119;0.688;0.246;0.000;0.030;0.103;0.133;0.002;0.172;0.000;0.553;0.246;0.000;0.009;0.103;0.112;0.001;0.044;0.000;0.402;0.246;0.000;0.010;0.061;0.070;0.002;0.015;0.000;0.333;0.246;0.000;0.009;0.103;0.112;0.002;0.028;0.000;0.388
2014;3.7;1.78;0.000;0.239;0.000;0.000;0.149;0.149;0.004;0.175;0.119;0.686;0.239;0.000;0.030;0.103;0.133;0.004;0.175;0.000;0.552;0.239;0.000;0.009;0.103;0.112;0.002;0.045;0.000;0.397;0.239;0.000;0.010;0.061;0.070;0.004;0.015;0.000;0.329;0.239;0.000;0.009;0.103;0.112;0.004;0.028;0.000;0.383
2015;3.7;1.78;0.000;0.233;0.000;0.000;0.149;0.149;0.007;0.175;0.118;0.681;0.233;0.000;0.030;0.103;0.133;0.007;0.175;0.000;0.548;0.233;0.000;0.009;0.103;0.112;0.003;0.068;0.000;0.415;0.233;0.000;0.010;0.061;0.070;0.007;0.023;0.000;0.332;0.233;0.000;0.009;0.103;0.112;0.007;0.028;0.000;0.379
2016;3.7;1.78;0.000;0.226;0.000;0.000;0.149;0.149;0.010;0.229;0.129;0.743;0.226;0.000;0.030;0.103;0.133;0.010;0.229;0.000;0.599;0.226;0.000;0.009;0.103;0.112;0.004;0.070;0.000;0.411;0.226;0.000;0.010;0.061;0.070;0.010;0.023;0.000;0.329;0.226;0.000;0.009;0.103;0.112;0.010;0.037;0.000;0.385
2017;3.7;1.78;0.000;0.219;0.000;0.000;0.149;0.149;0.014;0.229;0.128;0.740;0.219;0.000;0.030;0.103;0.133;0.014;0.229;0.000;0.596;0.219;0.000;0.009;0.103;0.112;0.014;0.070;0.000;0.415;0.219;0.000;0.010;0.061;0.070;0.014;0.023;0.000;0.327;0.219;0.000;0.009;0.103;0.112;0.014;0.037;0.000;0.382
2018;3.7;1.78;0.000;0.213;0.000;0.000;0.149;0.149;0.023;0.229;0.129;0.742;0.213;0.000;0.030;0.103;0.133;0.023;0.229;0.000;0.598;0.213;0.000;0.009;0.103;0.112;0.023;0.070;0.000;0.417;0.213;0.000;0.010;0.061;0.070;0.022;0.023;0.000;0.328;0.213;0.000;0.009;0.103;0.112;0.022;0.037;0.000;0.384
2019;3.7;1.78;0.000;0.206;0.000;0.000;0.149;0.149;0.037;0.229;0.130;0.751;0.206;0.000;0.030;0.103;0.133;0.037;0.229;0.000;0.605;0.206;0.000;0.009;0.103;0.112;0.037;0.070;0.000;0.425;0.206;0.000;0.010;0.061;0.070;0.036;0.023;0.000;0.336;0.206;0.000;0.009;0.103;0.112;0.036;0.037;0.000;0.391
2020;3.7;1.78;0.000;0.200;0.000;0.000;0.149;0.149;0.049;0.229;0.132;0.758;0.200;0.000;0.030;0.103;0.133;0.049;0.229;0.000;0.611;0.200;0.000;0.009;0.103;0.112;0.049;0.070;0.000;0.430;0.200;0.000;0.010;0.061;0.070;0.048;0.023;0.000;0.341;0.200;0.000;0.009;0.103;0.112;0.048;0.037;0.000;0.397
