utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;V_Vent;EnergieIndex;EnergieLabel;AC_WW;AC_RV;R_COLL;;;;MVB_EG_vast;MVB_eg_var;RB_FAC_B;MVB_EG_EUR_MIN_vast;MVB_EG_EUR_MIN_var;MVB_EG_EUR_MAX_vast;MVB_EG_EUR_MAX_var;MVC_EG_vast;MVC_EG_var;RB_FAC_C;MVC_EG_EUR_MIN_vast;MVC_EG_EUR_MIN_var;MVC_EG_EUR_MAX_vast;MVC_EG_EUR_MAX_var;MVF_EG_vast;MVF_EG_var;RB_FAC_F;MVF_EG_EUR_MIN_vast;MVF_EG_EUR_MIN_var;MVF_EG_EUR_MAX_vast;MVF_EG_EUR_MAX_var;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Kantoor;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.98134404;0;0.01008;1;0.8348;1;nvt;0.086802003;1.56;0.454;1;0;;G;0.04;0.07;0;Let op: zie LeesMij 2-4-2016;;;0.210028709;0;0;1.132.473.132;0;1.619.186.368;0;0.147020096;0;0;1.521.440.828;0;2.413.658.154;0;0.147020096;0;0;3.889.676.965;0;794.471.785;0;1.07;9.057.688.979;9.057.688.979
Kantoor;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.770581577;0;0.01008;1;0.9406;1;nvt;0.086802003;1.56;0.454;1;0;;E;0.04;0.07;0;;;;0.210028709;0;0;1.127.577.715;0;1.611.897.636;0;0.147020096;0;0;1.516.552.384;0;2.406.369.421;0;0.147020096;0;0;3.889.746.695;0;794.471.785;0;1.07;9.057.688.979;9.057.688.979
Kantoor;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.393016494;0;0.01008;1;1;1;nvt;0.086802003;1.56;0.454;1;0;;C;0.04;0.07;0;Verbetering;;;0.210028709;0;0;104.087.444;0;1.555.981.095;0;0.147020096;0;0;142.992.424;0;2.350.452.881;0;0.147020096;0;0;3.890.497.987;0;794.471.785;0;1.07;9.057.688.979;9.057.688.979
Kantoor;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.361406554;0;0.01008;1;10.168;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;B) Van huidig naar label B;;;0.210028709;0;0;1.018.137.948;0;1.519.755.009;0;0.147020096;0;0;1.407.124.044;0;2.314.226.795;0;0.147020096;0;0;388.986.095;0;794.471.785;0;1.07;9.057.688.979;9.057.688.979
Kantoor;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.295927522;0;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;C) Van huidig naar Aplus (energieneutraal) ;;;0.210028709;0;0;9.723.386.025;0;1.486.466.174;0;0.147020096;0;0;1.361.365.749;0;228.093.796;0;0.147020096;0;0;3.890.271.461;0;794.471.785;0;1.07;9.057.688.979;9.057.688.979
Kantoor;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.49328773;0;0.01008;1;1.005.889.342;1;nvt;0.086802003;1.56;0.454;1;0;;D;0.04;0.07;0;F) Van label B naar Aplus;;;0.218708383;0;0;1.034.891.153;0;1.539.771.826;0;0.153095868;0;0;1.423.903.886;0;2.334.134.824;0;0.153095868;0;0;389.012.733;0;794.362.998;0;1.07;9.057.688.979;9.057.688.979
Winkel;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.494577526;0;0.01008;1;0.830914286;1;nvt;0.035278814;1.56;0.567;1;0;;G;0.04;0.0901;0;;;;0.105826531;0;0;1.336.231.266;0;1.961.539.197;0;0.074078572;0;0;176.561.373;0;2.925.718.771;0;0.074078572;0;0;4.293.824.641;0;9.641.795.742;0;1.07;9.057.688.979;9.057.688.979
Winkel;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.392022619;0;0.01008;1;0.930804762;1;nvt;0.035278814;1.56;0.567;1;0;;E;0.04;0.0901;0;;;;0.106281874;0;0;1.331.009.487;0;1.952.945.021;0;0.074397312;0;0;1.760.391.952;0;2.917.124.594;0;0.074397312;0;0;4.293.824.641;0;9.641.795.742;0;1.07;9.057.688.979;9.057.688.979
Winkel;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.20177555;0;0.01008;1;1.014.733.333;1;nvt;0.035278814;1.56;0.567;1;0;;C;0.04;0.0901;0;;;;0.10625751;0;0;1.211.996.461;0;1.881.471.932;0;0.074380257;0;0;1.641.378.925;0;2.845.651.507;0;0.074380257;0;0;4.293.824.641;0;9.641.795.742;0;1.07;9.057.688.979;9.057.688.979
Winkel;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.19066847;0;0.01008;1;1.059.866.667;1;nvt;0.035278814;1.56;0.567;1;0;;B;0.04;0.0901;0;;;;0.106846695;0;0;1.188.389.672;0;1.839.153.772;0;0.074792687;0;0;1.617.772.137;0;2.803.333.346;0;0.074792687;0;0;4.293.824.641;0;9.641.795.742;0;1.07;9.057.688.979;9.057.688.979
Winkel;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.149468062;0;0.01008;1;1.07;1;nvt;0.035278814;1.56;0.567;1;0;;B;0.04;0.0901;0;;;;0.105942251;0;0;112.627.227;0;1.798.358.631;0;0.074159575;0;0;1.555.654.734;0;2.762.538.204;0;0.074159575;0;0;4.293.824.641;0;9.641.795.742;0;1.07;9.057.688.979;9.057.688.979
Winkel;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.290090777;0;0.01008;1;0.988137594;1;nvt;0.035278814;1.56;0.567;1;0;;D;0.04;0.0901;0;;;;0.110901412;0;0;1.235.929.611;0;1.884.735.544;0;0.077630988;0;0;1.665.420.862;0;2.849.023.905;0;0.077630988;0;0;4.294.912.512;0;9.642.883.612;0;1.07;9.057.688.979;9.057.688.979
Gezondheidszorg;0<=1920;utiliteit;0.038334258;0.72;1;nvt;1.116.715.465;0;0.01008;1;0.83;1;nvt;0.032290345;1.56;0.232;1;0;;G;0.04;0.09;0;;;;0.275409927;0;0;1.304.139.088;0;1.929.990.954;0;0.192786949;0;0;1.775.622.139;0;2.820.956.847;0;0.192786949;0;0;4.714.830.503;0;8.909.658.934;0;1.07;9.057.688.979;9.057.688.979
Gezondheidszorg;1920<=1975;utiliteit;0.038334258;0.72;1;nvt;0.818769066;0;0.01008;1;0.874559524;1;nvt;0.032290345;1.56;0.232;1;0;;E;0.04;0.09;0;;;;0.273129682;0;0;1.298.590.948;0;1.921.396.777;0;0.191190778;0;0;1.770.073.999;0;2.812.362.671;0;0.191190778;0;0;4.714.830.503;0;8.909.658.934;0;1.07;9.057.688.979;9.057.688.979
Gezondheidszorg;1975<=1990;utiliteit;0.038334258;0.72;1;nvt;0.460581719;0;0.01008;1;0.970988095;1;nvt;0.032290345;1.56;0.232;1;0;;C;0.04;0.09;0;;;;0.273288018;0;0;1.188.824.821;0;1.854.057.597;0;0.191301613;0;0;1.660.307.871;0;2.745.023.491;0;0.191301613;0;0;4.714.830.503;0;8.909.658.934;0;1.07;9.057.688.979;9.057.688.979
Gezondheidszorg;1990<=1995;utiliteit;0.038334258;0.72;1;nvt;0.453116019;0;0.01008;1;1.040.664.286;1;nvt;0.032290345;1.56;0.232;1;0;;B;0.04;0.09;0;;;;0.275165438;0;0;1.163.151.078;0;1.811.304.289;0;0.192615807;0;0;1.634.634.129;0;2.702.270.182;0;0.192615807;0;0;4.714.830.503;0;8.909.658.934;0;1.07;9.057.688.979;9.057.688.979
Gezondheidszorg;1995<=2015;utiliteit;0.038334258;0.72;1;nvt;0.377296416;0;0.01008;1;1.07;1;nvt;0.032290345;1.56;0.232;1;0;;B;0.04;0.09;0;;;;0.2792402;0;0;1.105.493.945;0;177.116.187;0;0.19546814;0;0;1.576.976.995;0;2.662.127.763;0;0.19546814;0;0;4.714.830.503;0;8.909.658.934;0;1.07;9.057.688.979;9.057.688.979
Gezondheidszorg;onbekend;utiliteit;0.038334258;0.72;1;nvt;0.619830123;0;0.01008;1;0.971851268;1;nvt;0.032290345;1.56;0.232;1;0;;D;0.04;0.09;0;;;;0.288253506;0;0;1.198.506.868;0;1.846.877.653;0;0.201777454;0;0;1.669.989.918;0;2.737.843.546;0;0.201777454;0;0;4.714.830.503;0;8.909.658.934;0;1.07;9.057.688.979;9.057.688.979
Logies;0<=1920;utiliteit;0.03745301;0.72;1;nvt;0.723986115;0;0.01008;1;0.8348;1;nvt;0.155846796;1.56;0.089;1;0;;G;0.04;0.0978;0;;;;0.198224152;0;0;1.274.440.225;0;1.805.538.576;0;0.138756906;0;0;1.709.153.254;0;2.533.759.051;0;0.138756906;0;0;4.347.130.293;0;728.220.475;0;1.07;9.057.688.979;9.057.688.979
Logies;1920<=1975;utiliteit;0.03745301;0.72;1;nvt;0.582886015;0;0.01008;1;0.9406;1;nvt;0.155846796;1.56;0.089;1;0;;E;0.04;0.0978;0;;;;0.198224152;0;0;126.910.966;0;1.797.705.908;0;0.138756906;0;0;1.703.822.689;0;2.525.926.383;0;0.138756906;0;0;4.347.130.293;0;728.220.475;0;1.07;9.057.688.979;9.057.688.979
Logies;1975<=1990;utiliteit;0.03745301;0.72;1;nvt;0.323539149;0;0.01008;1;1;1;nvt;0.155846796;1.56;0.089;1;0;;C;0.04;0.0978;0;;;;0.198224152;0;0;1.176.531.885;0;1.737.546.673;0;0.138756906;0;0;1.611.353.701;0;2.465.767.148;0;0.138756906;0;0;4.348.218.163;0;728.220.475;0;1.07;9.057.688.979;9.057.688.979
Logies;1990<=1995;utiliteit;0.03745301;0.72;1;nvt;0.302422208;0;0.01008;1;10.168;1;nvt;0.155846796;1.56;0.089;1;0;;B;0.04;0.0978;0;;;;0.198224152;0;0;1.151.619.652;0;1.698.383.337;0;0.138756906;0;0;1.586.441.468;0;2.426.603.812;0;0.138756906;0;0;4.348.218.163;0;728.220.475;0;1.07;9.057.688.979;9.057.688.979
Logies;1995<=2015;utiliteit;0.03745301;0.72;1;nvt;0.259615483;0;0.01008;1;1.07;1;nvt;0.155846796;1.56;0.089;1;0;;B;0.04;0.0978;0;;;;0.198224152;0;0;1.102.665.482;0;1.662.483.612;0;0.138756906;0;0;1.537.487.298;0;2.390.704.087;0;0.138756906;0;0;4.348.218.163;0;728.220.475;0;1.07;9.057.688.979;9.057.688.979
Logies;onbekend;utiliteit;0.03745301;0.72;1;nvt;0.400588267;0;0.01008;1;1.003.822.942;1;nvt;0.155846796;1.56;0.089;1;0;;D;0.04;0.0978;0;;;;0.205033605;0;0;1.173.268.274;0;172.144.619;0;0.143523524;0;0;1.607.981.303;0;2.449.666.665;0;0.143523524;0;0;4.347.130.293;0;728.220.475;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;0<=1920;utiliteit;0.004616057;0.72;1;nvt;0.517455923;0;0.01008;1;0.83;1;nvt;0.004133429;1.56;0.151;1;0;;G;0.04;0.15;0;;;;0.111871429;0;0;1.236.473.546;0;1.963.062.215;0;0.07831;0;0;1.661.286.955;0;3.054.631.418;0;0.07831;0;0;4.248.134.083;0;1.091.569.203;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;1920<=1975;utiliteit;0.004616057;0.72;1;nvt;0.390441057;0;0.01008;1;0.9062;1;nvt;0.004133429;1.56;0.151;1;0;;E;0.04;0.15;0;;;;0.111885195;0;0;1.231.360.555;0;1.954.359.252;0;0.078319636;0;0;165.628.275;0;3.045.928.455;0;0.078319636;0;0;4.249.221.952;0;1.091.569.203;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;1975<=1990;utiliteit;0.004616057;0.72;1;nvt;0.208941646;0;0.01008;1;1;1;nvt;0.004133429;1.56;0.151;1;0;;C;0.04;0.15;0;;;;0.111932551;0;0;1.098.205.213;0;1.882.015.868;0;0.078352785;0;0;1.523.018.621;0;2.973.585.071;0;0.078352785;0;0;4.248.134.083;0;1.091.569.203;0;1.07;9.057.688.979;9.057.688.979
Onderwijs;1990<=1995;utiliteit;0.004616057;0.72;1;nvt;0.201582601;0;0.01008;1;10.665;1;nvt;0.004133429;1.56;0.151;1;0;;B;0.04;0.15;0;;;;0.11194225;0;0;1.076.339.017;0;1.838.936.198;0;0.078359575;0;0;1.501.152.425;0;2.930.396.614;0;0.078359575;0;0;4.248.134.083;0;1.091.460.416;0;1.07;9.057.688.979;9.057.688.979
