utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;V_Vent;EnergieIndex;EnergieLabel;AC_WW;AC_RV;R_COLL;MV_RV;OPP_FTE
kantoren;2010<=2020;utiliteit;0.003533557;0.72;1;nvt;0.145198761;0;0.01008;1;1.07;1;nvt;0.08259888;1.56;0.432;1;0;;A+;0.04;0.05;0;1.07;36
kantoren;2020<=2030;utiliteit;0.003533557;0.72;1;nvt;0.145198761;0;0.01008;1;1.07;1;nvt;0.08259888;1.56;0.432;1;0;;A+;0.04;0.05;0;1.07;36
kantoren;2030<=2040;utiliteit;0.003533557;0.72;1;nvt;0.145198761;0;0.01008;1;1.07;1;nvt;0.08259888;1.56;0.432;1;0;;A+;0.04;0.05;0;1.07;36
kantoren;2040<=2050;utiliteit;0.003533557;0.72;1;nvt;0.145198761;0;0.01008;1;1.07;1;nvt;0.08259888;1.56;0.432;1;0;;A+;0.04;0.05;0;1.07;36
winkels;2010<=2020;utiliteit;0.003533557;0.72;1;nvt;0.118558988;0;0.01008;1;1.07;1;nvt;0.04719936;1.56;0.723;1;0;;A+;0.04;0.09;0;1.07;29
winkels;2020<=2030;utiliteit;0.003533557;0.72;1;nvt;0.118558988;0;0.01008;1;1.07;1;nvt;0.04719936;1.56;0.723;1;0;;A+;0.04;0.09;0;1.07;29
winkels;2030<=2040;utiliteit;0.003533557;0.72;1;nvt;0.118558988;0;0.01008;1;1.07;1;nvt;0.04719936;1.56;0.723;1;0;;A+;0.04;0.09;0;1.07;29
winkels;2040<=2050;utiliteit;0.003533557;0.72;1;nvt;0.118558988;0;0.01008;1;1.07;1;nvt;0.04719936;1.56;0.723;1;0;;A+;0.04;0.09;0;1.07;29
Verpleging en verzorging;2010<=2020;utiliteit;0.023557047;0.72;1;nvt;0.2160096;0;0.01008;1;1.07;1;nvt;0.004719936;1.56;0.22;1;0;;A+;0.04;0.09;0;1.07;30
Verpleging en verzorging;2020<=2030;utiliteit;0.023557047;0.72;1;nvt;0.2160096;0;0.01008;1;1.07;1;nvt;0.004719936;1.56;0.22;1;0;;A+;0.04;0.09;0;1.07;30
Verpleging en verzorging;2030<=2040;utiliteit;0.023557047;0.72;1;nvt;0.2160096;0;0.01008;1;1.07;1;nvt;0.004719936;1.56;0.22;1;0;;A+;0.04;0.09;0;1.07;30
Verpleging en verzorging;2040<=2050;utiliteit;0.023557047;0.72;1;nvt;0.2160096;0;0.01008;1;1.07;1;nvt;0.004719936;1.56;0.22;1;0;;A+;0.04;0.09;0;1.07;30
Ziekenhuizen;2010<=2020;utiliteit;0.088338926;0.72;1;nvt;0.237127727;0;0.01008;1;1.07;1;nvt;0.14159808;1.56;0.223;1;0;;A+;0.04;0.09;0;1.07;30
Ziekenhuizen;2020<=2030;utiliteit;0.088338926;0.72;1;nvt;0.237127727;0;0.01008;1;1.07;1;nvt;0.14159808;1.56;0.223;1;0;;A+;0.04;0.09;0;1.07;30
Ziekenhuizen;2030<=2040;utiliteit;0.088338926;0.72;1;nvt;0.237127727;0;0.01008;1;1.07;1;nvt;0.14159808;1.56;0.223;1;0;;A+;0.04;0.09;0;1.07;30
Ziekenhuizen;2040<=2050;utiliteit;0.088338926;0.72;1;nvt;0.237127727;0;0.01008;1;1.07;1;nvt;0.14159808;1.56;0.223;1;0;;A+;0.04;0.09;0;1.07;30
Onderwijs;2010<=2020;utiliteit;0.004318792;0.72;1;nvt;0.107603585;0;0.01008;1;1.07;1;nvt;0.00393328;1.56;0.144;1;0;;A+;0.04;0.08;0;1.07;80
Onderwijs;2020<=2030;utiliteit;0.004318792;0.72;1;nvt;0.107603585;0;0.01008;1;1.07;1;nvt;0.00393328;1.56;0.144;1;0;;A+;0.04;0.08;0;1.07;80
Onderwijs;2030<=2040;utiliteit;0.004318792;0.72;1;nvt;0.107603585;0;0.01008;1;1.07;1;nvt;0.00393328;1.56;0.144;1;0;;A+;0.04;0.08;0;1.07;80
Onderwijs;2040<=2050;utiliteit;0.004318792;0.72;1;nvt;0.107603585;0;0.01008;1;1.07;1;nvt;0.00393328;1.56;0.144;1;0;;A+;0.04;0.08;0;1.07;80
Autohandel en reparatie;2010<=2020;utiliteit;0.003533557;0.72;1;nvt;0.070784396;0;0.01008;1;1.07;1;nvt;0.01179984;1.56;0.081;1;0;;A+;0.04;0.05;0;1.07;224
Autohandel en reparatie;2020<=2030;utiliteit;0.003533557;0.72;1;nvt;0.070784396;0;0.01008;1;1.07;1;nvt;0.01179984;1.56;0.081;1;0;;A+;0.04;0.05;0;1.07;224
Autohandel en reparatie;2030<=2040;utiliteit;0.003533557;0.72;1;nvt;0.070784396;0;0.01008;1;1.07;1;nvt;0.01179984;1.56;0.081;1;0;;A+;0.04;0.05;0;1.07;224
Autohandel en reparatie;2040<=2050;utiliteit;0.003533557;0.72;1;nvt;0.070784396;0;0.01008;1;1.07;1;nvt;0.01179984;1.56;0.081;1;0;;A+;0.04;0.05;0;1.07;224
Groothandel;2010<=2020;utiliteit;0.003533557;0.72;1;nvt;0.037856836;0;0.01008;1;1.07;1;nvt;0.00589992;1.56;0.167;1;0;;A+;0.04;0.05;0;1.07;165
Groothandel;2020<=2030;utiliteit;0.003533557;0.72;1;nvt;0.037856836;0;0.01008;1;1.07;1;nvt;0.00589992;1.56;0.167;1;0;;A+;0.04;0.05;0;1.07;165
