woningtype_str,bouwjaar_str,,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_RV_GL_vast,V_RV_GL_var,V_RV_CORR_vast,V_RV_CORR_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,,,,,MVA_EG_vast,MVA_eg_var,RB_FAC_A,MVA_EG_EUR_MIN_vast,MVA_EG_EUR_MIN_var,MVA_EG_EUR_MAX_vast,MVA_EG_EUR_MAX_var,MVB_EG_vast,MVB_EG_var,RB_FAC_B,MVB_EG_EUR_MIN_vast,MVB_EG_EUR_MIN_var,MVB_EG_EUR_MAX_vast,MVB_EG_EUR_MAX_var,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MVD_EG_vast,MVD_EG_var,RB_FAC_D,MVD_EG_EUR_MIN_vast,MVD_EG_EUR_MIN_var,MVD_EG_EUR_MAX_vast,MVD_EG_EUR_MAX_var,MVE_EG_vast,MVE_EG_var,RB_FAC_E,MVE_EG_EUR_MIN_vast,MVE_EG_EUR_MIN_var,MVE_EG_EUR_MAX_vast,MVE_EG_EUR_MAX_var,MVF_EG_vast,MVF_EG_var,RB_FAC_F,MVF_EG_EUR_MIN_vast,MVF_EG_EUR_MIN_var,MVF_EG_EUR_MAX_vast,MVF_EG_EUR_MAX_var,MV_RV,K_LTAS_MIN,K_LTAS_MAX,VL_OPP_WON_MIN,VL_OPP_WON_MAX
vrijstaand,voor 1946,,8.5,0.72,1,nvt,43.47237444,0.176272471,47.50883582,0.164149903,,,0.01008,1,1.07,1,nvt,0.01296,nvt,9.7,1,0.006621277,2.23,G,4,7.5,0,,,,,,33.04286076,0.224693642,0,2186.692235,41.15154426,4771.405536,30.01513177,33.03368448,0.17162655,0,14049.05267,72.90202855,14903.67526,91.88976012,29.69861492,0.159535115,0,21203.08799,101.3711725,45139.9199,241.6212742,33.03368448,0.17162655,0,11866.92764,31.75048429,13305.76512,61.87462836,29.69861492,0.159535115,0,18978.98332,59.51556049,40286.8797,211.0926092,29.69861492,0.159535115,0,6913.668044,27.22185258,26758.10966,148.1593589,1.07,957.5098039,3221.918627,130,130
vrijstaand,1946 - 1964,,8.5,0.72,1,nvt,39.63474188,0.198318234,47.51830312,0.172570984,36.21661974,0.191960933,0.01008,1,1.07,1,nvt,0.01296,nvt,9.7,1,0.009176184,2.23,G,4,7.5,0,,,,,,30.46762368,0.212689543,0,-1858.478001,58.66884629,-3979.867656,87.07172879,23.03657061,0.22612181,0,5716.754485,96.33843898,7568.649743,131.6336668,35.77933437,0.135737461,0,10994.30984,179.9002351,20631.97423,430.1439332,0.22612181,0.22612181,0,7692.115604,37.66959269,11665.40052,44.56193804,35.77933437,0.135737461,0,12884.58481,120.2276151,24679.93401,341.5824817,35.77933437,0.135737461,0,5179.74658,81.91352789,12933.83136,296.258127,1.07,957.5098039,3221.918627,130,130
vrijstaand,1965 - 1974,,9.2,0.72,1,nvt,32.54425463,0.225477217,38.81409903,0.207616727,39.74555466,0.19650378,0.01008,1,1.07,1,nvt,0.01296,nvt,9.56,1,0.009750179,2.23,F,4,7.5,0,Verbetering,,,,,,,0,,,,,22.44751978,0.213464219,0,9688.800276,38.93944909,8477.692426,88.5128954,21.63568015,0.20891436,0,21527.61674,92.85088161,26511.2452,344.7452453,,,0,,,,,,,0,,,,,21.63568015,0.20891436,0,11673.04938,53.24521186,17888.50671,254.71797,1.07,957.5098039,3221.918627,144,144
vrijstaand,1975 - 1991,,9.7,0.72,1,nvt,29.81408236,0.197061558,39.27968128,0.163350808,34.22654996,0.198850237,0.01008,1,1.07,1,nvt,0.01296,nvt,9.46,1,0.008885914,1.82,D,4,7.5,0,A) Van huidig naar 2 labels hoger (E->C; F->D;G->E) (=Tussenlabel),,,,,,,0,,,,,28.45763513,0.173901176,0,7388.035226,9.191206814,9297.412771,24.75735498,24.72868553,0.174316474,0,28247.74527,49.21368334,51158.619,184.6973635,,,0,,,,,,,0,,,,,24.72868553,0.174316474,0,20733.30708,39.86522284,41702.13545,159.5164313,1.07,957.5098039,3221.918627,154,154
vrijstaand,1992 - 2005,,10.6,0.72,1,nvt,19.22632767,0.181359557,38.18244625,0.109111,22.82622111,0.172989431,0.01008,1,1.07,1,nvt,0.01296,nvt,9.28,1,0,1.21,B,4,7.5,0,B) Van huidig naar label B,,,,,,,0,,,,,,,0,,,,,21.56438413,0.154052068,0,22035.24262,49.21368334,44946.11635,184.6973635,,,0,,,,,,,0,,,,,21.56438413,0.154052068,0,22035.24262,49.21368334,44946.11635,184.6973635,1.07,957.5098039,3221.918627,172,172
vrijstaand,2006 - 2014,,10.6,0.72,1,nvt,14.43418888,0.141948661,34.21117568,0.084585272,20.2098494,0.173757516,0.01008,1,1.07,1,nvt,0.01296,nvt,9.28,1,0,0.9,A,4,7.5,0,C) Van huidig naar Aplus (energieneutraal) ,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,957.5098039,3221.918627,172,172
2 onder 1 kap,voor 1946,,10.6,0.72,1,nvt,29.35178721,0.200314379,37.4325368,0.159893982,,,0.01008,1,1.07,1,nvt,0.01296,nvt,9.9,1,0.007766557,2.49,F,4,7.5,0,D) Van tussenlabel naar B,,,,,28.68350909,0.181493562,0,1877.043185,29.29257246,2105.703723,39.60869059,10.99632015,0.272617881,0,7080.777687,97.68510316,9434.94137,128.2986053,15.82318459,0.210757932,0,11481.57608,134.8738458,21331.24946,314.3659756,10.99632015,0.272617881,0,5199.226613,68.3925307,7324.729758,88.68991474,15.82318459,0.210757932,0,9572.418289,105.0801025,19189.51895,274.0796142,15.82318459,0.210757932,0,4279.652342,35.51743409,11734.88432,183.8722909,1.07,957.5098039,3221.918627,110,110
2 onder 1 kap,1946 - 1964,,10.6,0.72,1,nvt,36.16879671,0.130930839,41.29517728,0.120101023,31.12456229,0.172773753,0.01008,1,1.07,1,nvt,0.01296,nvt,9.9,1,0.009481846,2.49,F,4,7.5,0,E) Van tussenlabel naar Aplus,,,,,29.7990639,0.123405569,0,-3069.631334,57.29023073,-6229.252745,93.76670355,19.23134225,0.182107008,0,7689.055733,53.48762622,11419.61974,66.96924113,19.74307064,0.17330088,0,14857.39974,104.1845398,32344.96631,214.2412771,19.23134225,0.182107008,0,10763.02591,-3.802604506,17653.21133,-26.79746243,19.74307064,0.17330088,0,17979.54984,45.91412225,38680.79624,118.8703054,19.74307064,0.17330088,0,7036.790837,49.78178606,20729.96664,146.1262495,1.07,957.5098039,3221.918627,110,110
2 onder 1 kap,1965 - 1974,,7.5,0.72,1,nvt,25.64155814,0.202075834,44.41218767,0.108086975,20.31189532,0.241362328,0.01008,1,1.07,1,nvt,0.01296,nvt,9.77,1,0.010574889,2.49,E,4,7.5,0,F) Van label B naar Aplus,,,,,23.34713893,0.168394564,0,1877.24961,22.40048789,1877.24961,22.40048789,17.88487396,0.186882162,0,9430.071602,25.63942512,14427.6116,24.89641376,10.79366964,0.220370255,0,19888.82541,56.9476218,46464.388,89.83807155,17.88487396,0.186882162,0,7528.028603,3.238937226,9808.242788,10.27309595,10.79366964,0.220370255,0,17979.45766,34.16388072,44555.02025,67.05433047,10.79366964,0.220370255,0,10297.41335,30.86952805,31789.9323,64.51570144,1.07,957.5098039,3221.918627,123,123
2 onder 1 kap,1975 - 1991,,7.5,0.72,1,nvt,26.34947347,0.143275832,37.08428149,0.109032077,27.105148,0.157779349,0.01008,1,1.07,1,nvt,0.01296,nvt,9.77,1,0.007232955,1.8,C,4,7.5,0,,,,,,,,0,,,,,21.78876847,0.145390004,0,5798.706155,9.347681599,7204.954536,22.26998516,18.18771777,0.177579914,0,20436.03733,52.49874438,36471.08632,171.0844266,,,0,,,,,,,0,,,,,18.18771777,0.177579914,0,14538.12028,42.99113195,29142.86118,148.433421,1.07,957.5098039,3221.918627,123,123
