woningtype_str,bouwjaar_str,,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_RV_GL_vast,V_RV_GL_var,V_RV_CORR_vast,V_RV_CORR_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,,,,,MVA_EG_vast,MVA_eg_var,RB_FAC_A,MVA_EG_EUR_MIN_vast,MVA_EG_EUR_MIN_var,MVA_EG_EUR_MAX_vast,MVA_EG_EUR_MAX_var,MVB_EG_vast,MVB_EG_var,RB_FAC_B,MVB_EG_EUR_MIN_vast,MVB_EG_EUR_MIN_var,MVB_EG_EUR_MAX_vast,MVB_EG_EUR_MAX_var,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MVD_EG_vast,MVD_EG_var,RB_FAC_D,MVD_EG_EUR_MIN_vast,MVD_EG_EUR_MIN_var,MVD_EG_EUR_MAX_vast,MVD_EG_EUR_MAX_var,MVE_EG_vast,MVE_EG_var,RB_FAC_E,MVE_EG_EUR_MIN_vast,MVE_EG_EUR_MIN_var,MVE_EG_EUR_MAX_vast,MVE_EG_EUR_MAX_var,MVF_EG_vast,MVF_EG_var,RB_FAC_F,MVF_EG_EUR_MIN_vast,MVF_EG_EUR_MIN_var,MVF_EG_EUR_MAX_vast,MVF_EG_EUR_MAX_var,MV_RV,K_LTAS_MIN,K_LTAS_MAX,VL_OPP_WON_MIN,VL_OPP_WON_MAX
vrijstaand,voor 1946,,8.5,0.72,1,nvt,39.82617306,0.16481658,43.60030613,0.153481855,,,0.01008,1,1.07,1,nvt,0.01296,nvt,9.7,1,0.006621277,2.23,G,4,7.5,0,,,,,,30.07447007,0.210090876,0,2186.692235,41.15154426,4771.405536,30.01513177,30.06589016,0.160472596,0,14049.05267,72.90202855,14903.67526,91.88976012,26.94756567,0.14916698,0,21203.08799,101.3711725,45139.9199,241.6212742,30.06589016,0.160472596,0,11866.92764,31.75048429,13305.76512,61.87462836,26.94756567,0.14916698,0,18978.98332,59.51556049,40286.8797,211.0926092,26.94756567,0.14916698,0,6913.668044,27.22185258,26758.10966,148.1593589,1.07,957.5098039,3221.918627,130,130
vrijstaand,1946 - 1964,,8.5,0.72,1,nvt,36.23794699,0.185429597,43.60915815,0.161355652,33.04196749,0.179485454,0.01008,1,1.07,1,nvt,0.01296,nvt,9.7,1,0.009176184,2.23,G,4,7.5,0,,,,,,27.6665968,0.198866919,0,-1858.478001,58.66884629,-3979.867656,87.07172879,20.71848545,0.211426228,0,5716.754485,96.33843898,7568.649743,131.6336668,32.63310115,0.126915927,0,10994.30984,179.9002351,20631.97423,430.1439332,0.211426228,0.211426228,0,7692.115604,37.66959269,11665.40052,44.56193804,32.63310115,0.126915927,0,12884.58481,120.2276151,24679.93401,341.5824817,32.63310115,0.126915927,0,5179.74658,81.91352789,12933.83136,296.258127,1.07,957.5098039,3221.918627,130,130
vrijstaand,1965 - 1974,,9.2,0.72,1,nvt,29.54066088,0.210823526,35.40303014,0.194123783,36.27395076,0.183733063,0.01008,1,1.07,1,nvt,0.01296,nvt,9.56,1,0.009750179,2.23,F,4,7.5,0,Verbetering,,,,,,,0,,,,,20.10010953,0.199591249,0,9688.800276,38.93944909,8477.692426,88.5128954,19.3410311,0.195337084,0,21527.61674,92.85088161,26511.2452,344.7452453,,,0,,,,,,,0,,,,,19.3410311,0.195337084,0,11673.04938,53.24521186,17888.50671,254.71797,1.07,957.5098039,3221.918627,144,144
vrijstaand,1975 - 1991,,9.7,0.72,1,nvt,26.93963067,0.184254592,35.7900634,0.152734692,31.06533345,0.185927025,0.01008,1,1.07,1,nvt,0.01296,nvt,9.46,1,0.008885914,1.82,D,4,7.5,0,A) Van huidig naar 2 labels hoger (E->C; F->D;G->E) (=Tussenlabel),,,,,,,0,,,,,25.67133851,0.162599396,0,7388.035226,9.191206814,9297.412771,24.75735498,22.18473212,0.162987703,0,28247.74527,49.21368334,51158.619,184.6973635,,,0,,,,,,,0,,,,,22.18473212,0.162987703,0,20733.30708,39.86522284,41702.13545,159.5164313,1.07,957.5098039,3221.918627,154,154
vrijstaand,1992 - 2005,,10.6,0.72,1,nvt,16.95304702,0.169573058,34.67721363,0.102019912,20.31898456,0.161746905,0.01008,1,1.07,1,nvt,0.01296,nvt,9.28,1,0,1.21,B,4,7.5,0,B) Van huidig naar label B,,,,,,,0,,,,,,,0,,,,,19.13915395,0.144040274,0,22035.24262,49.21368334,44946.11635,184.6973635,,,0,,,,,,,0,,,,,19.13915395,0.144040274,0,22035.24262,49.21368334,44946.11635,184.6973635,1.07,957.5098039,3221.918627,172,172
vrijstaand,2006 - 2014,,10.6,0.72,1,nvt,12.47234776,0.132723464,30.96403465,0.079088102,17.87264999,0.162465071,0.01008,1,1.07,1,nvt,0.01296,nvt,9.28,1,0,0.9,A,4,7.5,0,C) Van huidig naar Aplus (energieneutraal) ,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,1.07,957.5098039,3221.918627,172,172
2 onder 1 kap,voor 1946,,10.6,0.72,1,nvt,26.71986006,0.187296013,34.27544437,0.149502525,,,0.01008,1,1.07,1,nvt,0.01296,nvt,9.9,1,0.007766557,2.49,F,4,7.5,0,D) Van tussenlabel naar B,,,,,26.09501312,0.169698355,0,1877.043185,29.29257246,2105.703723,39.60869059,9.557308818,0.254900534,0,7080.777687,97.68510316,9434.94137,128.2986053,14.07047691,0.197060843,0,11481.57608,134.8738458,21331.24946,314.3659756,9.557308818,0.254900534,0,5199.226613,68.3925307,7324.729758,88.68991474,14.07047691,0.197060843,0,9572.418289,105.0801025,19189.51895,274.0796142,14.07047691,0.197060843,0,4279.652342,35.51743409,11734.88432,183.8722909,1.07,957.5098039,3221.918627,110,110
2 onder 1 kap,1946 - 1964,,10.6,0.72,1,nvt,33.09383434,0.122421687,37.88705311,0.112295697,28.37742307,0.161545243,0.01008,1,1.07,1,nvt,0.01296,nvt,9.9,1,0.009481846,2.49,F,4,7.5,0,E) Van tussenlabel naar Aplus,,,,,27.13806839,0.115385481,0,-3069.631334,57.29023073,-6229.252745,93.76670355,17.25713952,0.170271933,0,7689.055733,53.48762622,11419.61974,66.96924113,17.73561085,0.162038112,0,14857.39974,104.1845398,32344.96631,214.2412771,17.25713952,0.170271933,0,10763.02591,-3.802604506,17653.21133,-26.79746243,17.73561085,0.162038112,0,17979.54984,45.91412225,38680.79624,118.8703054,17.73561085,0.162038112,0,7036.790837,49.78178606,20729.96664,146.1262495,1.07,957.5098039,3221.918627,110,110
2 onder 1 kap,1965 - 1974,,7.5,0.72,1,nvt,23.18797935,0.188942991,40.73871179,0.101062437,18.20468958,0.225676269,0.01008,1,1.07,1,nvt,0.01296,nvt,9.77,1,0.010574889,2.49,E,4,7.5,0,F) Van label B naar Aplus,,,,,21.0426737,0.157450656,0,1877.24961,22.40048789,1877.24961,22.40048789,15.93539954,0.174736751,0,9430.071602,25.63942512,14427.6116,24.89641376,9.305050276,0.206048464,0,19888.82541,56.9476218,46464.388,89.83807155,15.93539954,0.174736751,0,7528.028603,3.238937226,9808.242788,10.27309595,9.305050276,0.206048464,0,17979.45766,34.16388072,44555.02025,67.05433047,9.305050276,0.206048464,0,10297.41335,30.86952805,31789.9323,64.51570144,1.07,957.5098039,3221.918627,123,123
2 onder 1 kap,1975 - 1991,,7.5,0.72,1,nvt,23.84988749,0.133964382,33.88704384,0.101946118,24.55645098,0.147525321,0.01008,1,1.07,1,nvt,0.01296,nvt,9.77,1,0.007232955,1.8,C,4,7.5,0,,,,,,,,0,,,,,19.58558122,0.135941155,0,5798.706155,9.347681599,7204.954536,22.26998516,16.21856163,0.166039054,0,20436.03733,52.49874438,36471.08632,171.0844266,,,0,,,,,,,0,,,,,16.21856163,0.166039054,0,14538.12028,42.99113195,29142.86118,148.433421,1.07,957.5098039,3221.918627,123,123
