Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P;GLAST_PC_COM_EXCL_CO2;GLAST_PC_CO2;GLAST_PC_DIS;GLAST_PC_TRANS;GLAST_PC_NET;GLAST_PC_SDE;GLAST_PC_BEL_EL;GLAST_PC_BTW;GLAST_P
2010;16.3;1.78;0;0.395;0;0;0.14;0.14;0;0.183;0.136;0.855;0.366;0;0.03;0.099;0.13;0;0.164;0;0.66;0.288;0;0.009;0.099;0.109;0;0.044;0;0.441;0.245;0;0.01;0.06;0.069;0;0.009;0;0.324;0.245;0;0.009;0.099;0.109;0;0.022;0;0.376
2011;14.4;1.78;0;0.464;0;0;0.148;0.148;0;0.179;0.15;0.94;0.429;0;0.03;0.103;0.134;0;0.16;0;0.723;0.338;0;0.009;0.103;0.112;0;0.043;0;0.494;0.288;0;0.01;0.061;0.071;0;0.009;0;0.368;0.288;0;0.009;0.103;0.112;0;0.022;0;0.422
2012;7.9;1.78;0;0.491;0;0;0.148;0.148;0;0.177;0.171;0.987;0.455;0;0.03;0.103;0.133;0;0.159;0;0.746;0.358;0;0.009;0.103;0.112;0;0.042;0;0.513;0.305;0;0.01;0.061;0.07;0;0.009;0;0.384;0.305;0;0.009;0.103;0.112;0;0.021;0;0.439
2013;4.8;1.78;0;0.503;0;0;0.149;0.149;0.002;0.195;0.178;1.027;0.466;0;0.03;0.103;0.133;0.002;0.191;0;0.792;0.367;0;0.009;0.103;0.112;0.001;0.046;0;0.526;0.313;0;0.01;0.061;0.07;0;0.012;0;0.395;0.313;0;0.009;0.103;0.112;0;0.023;0;0.448
2014;6.3;1.78;0;0.423;0;0;0.149;0.149;0.005;0.197;0.162;0.936;0.392;0;0.03;0.103;0.133;0.005;0.193;0;0.723;0.309;0;0.009;0.103;0.112;0.002;0.046;0;0.469;0.263;0;0.01;0.061;0.07;0;0.012;0;0.346;0.263;0;0.009;0.103;0.112;0.001;0.023;0;0.4
2015;8.3;1.78;0;0.404;0;0;0.149;0.149;0.008;0.199;0.159;0.918;0.374;0;0.03;0.103;0.133;0.008;0.195;0;0.71;0.295;0;0.009;0.103;0.112;0.003;0.07;0;0.48;0.251;0;0.01;0.061;0.07;0.001;0.012;0;0.334;0.251;0;0.009;0.103;0.112;0.001;0.024;0;0.388
2016;5.8;1.78;0;0.288;0;0;0.149;0.149;0.012;0.261;0.149;0.858;0.266;0;0.03;0.103;0.133;0.012;0.256;0;0.667;0.21;0;0.009;0.103;0.112;0.004;0.072;0;0.398;0.179;0;0.01;0.061;0.07;0.001;0.013;0;0.263;0.179;0;0.009;0.103;0.112;0.002;0.024;0;0.317
2017;5.9;1.78;0;0.32;0;0;0.149;0.149;0.016;0.257;0.156;0.898;0.297;0;0.03;0.103;0.133;0.016;0.252;0;0.698;0.234;0;0.009;0.103;0.112;0.008;0.063;0;0.417;0.199;0;0.01;0.061;0.07;0.001;0.012;0;0.283;0.199;0;0.009;0.103;0.112;0.003;0.024;0;0.338
2018;15.7;1.78;0;0.388;0;0;0.149;0.149;0.028;0.26;0.173;0.999;0.36;0;0.03;0.103;0.133;0.028;0.255;0;0.775;0.284;0;0.009;0.103;0.112;0.011;0.065;0;0.471;0.241;0;0.01;0.061;0.07;0.002;0.013;0;0.327;0.241;0;0.009;0.103;0.112;0.004;0.024;0;0.382
2019;21.6;1.78;0;0.336;0;0;0.149;0.149;0.051;0.287;0.173;0.995;0.311;0;0.03;0.103;0.133;0.05;0.28;0;0.775;0.245;0;0.009;0.103;0.112;0.016;0.064;0;0.437;0.209;0;0.01;0.061;0.07;0.003;0.013;0;0.295;0.209;0;0.009;0.103;0.112;0.006;0.024;0;0.351
