Jaar,KGJ_BIOMASSA,KGJ_KOLEN_EXCL,KGJ_KOLEN_CO2
2010,7.64,2.96,1.71
2011,7.87,2.96,1.52
2012,8.1,2.96,0.83
2013,8.33,2.96,0.5
2014,8.57,2.93,0.66
2015,8.83,2.9,0.87
2016,9.74,2.86,0.61
2017,9.27,2.83,0.62
2018,10,2.8,1.64
2019,9.77,2.77,2.27
2020,9.64,2.73,2.26
2021,9.5,2.7,2.26
2022,9.36,2.67,2.56
2023,9.22,2.63,2.86
2024,9.09,2.6,3.15
2025,8.95,2.57,3.45
2026,8.82,2.54,3.75
2027,8.69,2.5,4.05
2028,8.56,2.47,4.35
2029,8.43,2.44,4.65
2030,8.31,2.41,4.95
2031,8.31,2.41,4.95
2032,8.31,2.41,4.95
2033,8.31,2.41,4.95
2034,8.31,2.41,4.95
2035,8.31,2.41,4.95
2036,8.31,2.41,4.95
2037,8.31,2.41,4.95
2038,8.31,2.41,4.95
2039,8.31,2.41,4.95
2040,8.31,2.41,4.95
2041,8.31,2.41,4.95
2042,8.31,2.41,4.95
2043,8.31,2.41,4.95
2044,8.31,2.41,4.95
2045,8.31,2.41,4.95
2046,8.31,2.41,4.95
2047,8.31,2.41,4.95
2048,8.31,2.41,4.95
2049,8.31,2.41,4.95
2050,8.31,2.41,4.95
2051,8.31,2.41,4.95
2052,8.31,2.41,4.95
2053,8.31,2.41,4.95
2054,8.31,2.41,4.95
2055,8.31,2.41,4.95
2056,8.31,2.41,4.95
2057,8.31,2.41,4.95
2058,8.31,2.41,4.95
2059,8.31,2.41,4.95
2060,8.31,2.41,4.95
2061,8.31,2.41,4.95
2062,8.31,2.41,4.95
2063,8.31,2.41,4.95
2064,8.31,2.41,4.95
2065,8.31,2.41,4.95
2066,8.31,2.41,4.95
2067,8.31,2.41,4.95
2068,8.31,2.41,4.95
2069,8.31,2.41,4.95
2070,8.31,2.41,4.95
2071,8.31,2.41,4.95
2072,8.31,2.41,4.95
2073,8.31,2.41,4.95
2074,8.31,2.41,4.95
2075,8.31,2.41,4.95
2076,8.31,2.41,4.95
2077,8.31,2.41,4.95
2078,8.31,2.41,4.95
2079,8.31,2.41,4.95
2080,8.31,2.41,4.95
