utiliteittype_str;bouwjaar_str;categorie;V_WW;E_WW_GAS;E_WW_WARM;E_WW_ELEK;V_RV_vast;V_RV_var;V_RV_GL_vast;V_RV_GL_var;V_RV_CORR_vast;V_RV_CORR_var;V_P_ELEK;EG;E_RV_GAS;E_RV_WARM;E_RV_ELEK;V_KOU;E_KOU_ELEK;V_APP_ELEK;E_APP_ELEK;V_Vent;EnergieIndex;EnergieLabel;AC_WW;AC_RV;R_COLL;;;;MVB_EG_vast;MVB_eg_var;RB_FAC_B;MVB_EG_EUR_MIN_vast;MVB_EG_EUR_MIN_var;MVB_EG_EUR_MAX_vast;MVB_EG_EUR_MAX_var;MVC_EG_vast;MVC_EG_var;RB_FAC_C;MVC_EG_EUR_MIN_vast;MVC_EG_EUR_MIN_var;MVC_EG_EUR_MAX_vast;MVC_EG_EUR_MAX_var;MVF_EG_vast;MVF_EG_var;RB_FAC_F;MVF_EG_EUR_MIN_vast;MVF_EG_EUR_MIN_var;MVF_EG_EUR_MAX_vast;MVF_EG_EUR_MAX_var;MV_RV;K_LTAS_MIN;K_LTAS_MAX
Kantoor;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.98134404;0;0.98134404;0;0.98134404;0;0.01008;1;0.8348;1;nvt;0.086802003;1.56;0.454;1;0;;G;0.04;0.07;0;Let op: zie LeesMij 2-4-2016;;;0.210028709;0;0;113.2473132;0;161.9186368;0;0.147020096;0;0;152.1440828;0;241.3658154;0;0.147020096;0;0;38.89676965;0;79.4471785;0;1.07;9.057688979;9.057688979
Kantoor;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.770581577;0;0.770581577;0;0.770581577;0;0.01008;1;0.9406;1;nvt;0.086802003;1.56;0.454;1;0;;E;0.04;0.07;0;;;;0.210028709;0;0;112.7577715;0;161.1897636;0;0.147020096;0;0;151.6552384;0;240.6369421;0;0.147020096;0;0;38.89746695;0;79.4471785;0;1.07;9.057688980;9.057688980
Kantoor;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.393016494;0;0.393016494;0;0.393016494;0;0.01008;1;1;1;nvt;0.086802003;1.56;0.454;1;0;;C;0.04;0.07;0;Verbetering;;;0.210028709;0;0;104.087444;0;155.5981095;0;0.147020096;0;0;142.992424;0;235.0452881;0;0.147020096;0;0;38.90497987;0;79.4471785;0;1.07;9.057688981;9.057688981
Kantoor;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.361406554;0;0.361406554;0;0.361406554;0;0.01008;1;1.0168;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;B) Van huidig naar label B;;;0.210028709;0;0;101.8137948;0;151.9755009;0;0.147020096;0;0;140.7124044;0;231.4226795;0;0.147020096;0;0;38.8986095;0;79.4471785;0;1.07;9.057688982;9.057688982
Kantoor;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.295927522;0;0.295927522;0;0.295927522;0;0.01008;1;1.07;1;nvt;0.086802003;1.56;0.454;1;0;;B;0.04;0.07;0;C) Van huidig naar Aplus (energieneutraal) ;;;0.210028709;0;0;97.23386025;0;148.6466174;0;0.147020096;0;0;136.1365749;0;228.093796;0;0.147020096;0;0;38.90271461;0;79.4471785;0;1.07;9.057688983;9.057688983
Kantoor;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.49328773;0;0.49328773;0;0.49328773;0;0.01008;1;1.005889342;1;nvt;0.086802003;1.56;0.454;1;0;;D;0.04;0.07;0;F) Van label B naar Aplus;;;0.218708383;0;0;103.4891153;0;153.9771826;0;0.153095868;0;0;142.3903886;0;233.4134824;0;0.153095868;0;0;38.9012733;0;79.4362998;0;1.07;9.057688984;9.057688984
Winkel;0<=1920;utiliteit;0.003776774;0.72;1;nvt;0.494577526;0;0.494577526;0;0.494577526;0;0.01008;1;0.830914286;1;nvt;0.035278814;1.56;0.567;1;0;;G;0.04;0.0901;0;;;;0.105826531;0;0;133.6231266;0;196.1539197;0;0.074078572;0;0;176.561373;0;292.5718771;0;0.074078572;0;0;42.93824641;0;96.41795742;0;1.07;9.057688985;9.057688985
Winkel;1920<=1975;utiliteit;0.003776774;0.72;1;nvt;0.392022619;0;0.392022619;0;0.392022619;0;0.01008;1;0.930804762;1;nvt;0.035278814;1.56;0.567;1;0;;E;0.04;0.0901;0;;;;0.106281874;0;0;133.1009487;0;195.2945021;0;0.074397312;0;0;176.0391952;0;291.7124594;0;0.074397312;0;0;42.93824641;0;96.41795742;0;1.07;9.057688986;9.057688986
Winkel;1975<=1990;utiliteit;0.003776774;0.72;1;nvt;0.20177555;0;0.20177555;0;0.20177555;0;0.01008;1;1.014733333;1;nvt;0.035278814;1.56;0.567;1;0;;C;0.04;0.0901;0;;;;0.10625751;0;0;121.1996461;0;188.1471932;0;0.074380257;0;0;164.1378925;0;284.5651507;0;0.074380257;0;0;42.93824641;0;96.41795742;0;1.07;9.057688987;9.057688987
Winkel;1990<=1995;utiliteit;0.003776774;0.72;1;nvt;0.19066847;0;0.19066847;0;0.19066847;0;0.01008;1;1.059866667;1;nvt;0.035278814;1.56;0.567;1;0;;B;0.04;0.0901;0;;;;0.106846695;0;0;118.8389672;0;183.9153772;0;0.074792687;0;0;161.7772137;0;280.3333346;0;0.074792687;0;0;42.93824641;0;96.41795742;0;1.07;9.057688988;9.057688988
Winkel;1995<=2015;utiliteit;0.003776774;0.72;1;nvt;0.149468062;0;0.149468062;0;0.149468062;0;0.01008;1;1.07;1;nvt;0.035278814;1.56;0.567;1;0;;B;0.04;0.0901;0;;;;0.105942251;0;0;112.627227;0;179.8358631;0;0.074159575;0;0;155.5654734;0;276.2538204;0;0.074159575;0;0;42.93824641;0;96.41795742;0;1.07;9.057688989;9.057688989
Winkel;onbekend;utiliteit;0.003776774;0.72;1;nvt;0.290090777;0;0.290090777;0;0.290090777;0;0.01008;1;0.988137594;1;nvt;0.035278814;1.56;0.567;1;0;;D;0.04;0.0901;0;;;;0.110901412;0;0;123.5929611;0;188.4735544;0;0.077630988;0;0;166.5420862;0;284.9023905;0;0.077630988;0;0;42.94912512;0;96.42883612;0;1.07;9.057688990;9.057688990
Gezondheidszorg;0<=1920;utiliteit;0.038334258;0.72;1;nvt;1.116715465;0;1.116715465;0;1.116715465;0;0.01008;1;0.83;1;nvt;0.032290345;1.56;0.232;1;0;;G;0.04;0.09;0;;;;0.275409927;0;0;130.4139088;0;192.9990954;0;0.192786949;0;0;177.5622139;0;282.0956847;0;0.192786949;0;0;47.14830503;0;89.09658934;0;1.07;9.057688991;9.057688991
Gezondheidszorg;1920<=1975;utiliteit;0.038334258;0.72;1;nvt;0.818769066;0;0.818769066;0;0.818769066;0;0.01008;1;0.874559524;1;nvt;0.032290345;1.56;0.232;1;0;;E;0.04;0.09;0;;;;0.273129682;0;0;129.8590948;0;192.1396777;0;0.191190778;0;0;177.0073999;0;281.2362671;0;0.191190778;0;0;47.14830503;0;89.09658934;0;1.07;9.057688992;9.057688992
Gezondheidszorg;1975<=1990;utiliteit;0.038334258;0.72;1;nvt;0.460581719;0;0.460581719;0;0.460581719;0;0.01008;1;0.970988095;1;nvt;0.032290345;1.56;0.232;1;0;;C;0.04;0.09;0;;;;0.273288018;0;0;118.8824821;0;185.4057597;0;0.191301613;0;0;166.0307871;0;274.5023491;0;0.191301613;0;0;47.14830503;0;89.09658934;0;1.07;9.057688993;9.057688993
Gezondheidszorg;1990<=1995;utiliteit;0.038334258;0.72;1;nvt;0.453116019;0;0.453116019;0;0.453116019;0;0.01008;1;1.040664286;1;nvt;0.032290345;1.56;0.232;1;0;;B;0.04;0.09;0;;;;0.275165438;0;0;116.3151078;0;181.1304289;0;0.192615807;0;0;163.4634129;0;270.2270182;0;0.192615807;0;0;47.14830503;0;89.09658934;0;1.07;9.057688994;9.057688994
