Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P
2010;16.26;0.46;0.007;0.089;0.007;0.002;0;0.002;0;0.125;0.042;0.266;0.074;0.007;0.023;0;0.023;0;0.045;0;0.15;0.079;0.007;0.036;0;0.036;0;0.012;0;0.135;0.069;0.007;0.002;0;0.002;0;0.001;0;0.079
2011;14.44;0.442;0.006;0.09;0.006;0.001;0;0.001;0;0.122;0.042;0.261;0.074;0.006;0.024;0;0.024;0;0.044;0;0.148;0.078;0.006;0.037;0;0.037;0;0.012;0;0.134;0.068;0.006;0.001;0;0.001;0;0.001;0;0.076
2012;7.94;0.472;0.004;0.086;0.004;0.001;0;0.001;0;0.121;0.044;0.256;0.071;0.004;0.026;0;0.026;0;0.044;0;0.144;0.075;0.004;0.04;0;0.04;0;0.012;0;0.131;0.066;0.004;0.001;0;0.001;0;0.001;0;0.072
2013;4.8;0.481;0.002;0.085;0.002;0.001;0;0.001;0.001;0.122;0.044;0.255;0.07;0.002;0.026;0;0.026;0.001;0.044;0;0.144;0.074;0.002;0.042;0;0.042;0;0.012;0;0.13;0.065;0.002;0.001;0;0.001;0;0.001;0;0.069
2014;6.28;0.503;0.003;0.071;0.003;0.001;0;0.001;0.002;0.123;0.042;0.243;0.059;0.003;0.024;0;0.024;0.002;0.045;0;0.132;0.062;0.003;0.038;0;0.038;0.001;0.012;0;0.116;0.054;0.003;0.001;0;0.001;0;0.001;0;0.059
2015;8.26;0.529;0.004;0.067;0.004;0.001;0;0.001;0.004;0.124;0.042;0.243;0.055;0.004;0.023;0;0.023;0.003;0.047;0;0.133;0.059;0.004;0.037;0;0.037;0.001;0.013;0;0.114;0.052;0.004;0.001;0;0.001;0;0.001;0;0.058
2016;5.79;0.495;0.003;0.056;0.003;0.001;0;0.001;0.006;0.104;0.036;0.206;0.046;0.003;0.023;0;0.023;0.004;0.044;0;0.12;0.049;0.003;0.036;0;0.036;0.002;0.014;0;0.104;0.043;0.003;0.001;0;0.001;0;0.001;0;0.048
2017;5.88;0.453;0.003;0.055;0.003;0.001;0;0.001;0.008;0.103;0.036;0.205;0.046;0.003;0.024;0;0.024;0.007;0.043;0;0.122;0.048;0.003;0.037;0;0.037;0.003;0.013;0;0.104;0.042;0.003;0.001;0;0.001;0;0.001;0;0.047
2018;15.65;0.405;0.006;0.048;0.006;0.001;0;0.001;0.013;0.105;0.036;0.209;0.038;0.006;0.025;0;0.025;0.01;0.044;0;0.124;0.041;0.006;0.039;0;0.039;0.005;0.014;0;0.105;0.035;0.006;0.001;0;0.001;0;0.001;0;0.043
2019;15.0;0.342;0.005;0.054;0.005;0.001;0;0.001;0.018;0.096;0.037;0.211;0.041;0.005;0.022;0;0.022;0.015;0.042;0;0.126;0.043;0.005;0.033;0;0.033;0.007;0.014;0;0.102;0.036;0.005;0.001;0;0.001;0;0.001;0;0.043
2020;15.53;0.301;0.005;0.052;0.005;0.001;0;0.001;0.025;0.094;0.037;0.215;0.04;0.005;0.022;0;0.022;0.021;0.042;0;0.129;0.042;0.005;0.033;0;0.033;0.01;0.014;0;0.103;0.035;0.005;0.001;0;0.001;0;0.001;0;0.042
2021;16.05;0.282;0.005;0.05;0.005;0.001;0;0.001;0.027;0.094;0.037;0.215;0.039;0.005;0.022;0;0.022;0.023;0.042;0;0.13;0.041;0.005;0.033;0;0.033;0.011;0.014;0;0.103;0.034;0.005;0.001;0;0.001;0;0.001;0;0.041
2022;16.58;0.269;0.004;0.053;0.004;0.001;0;0.001;0.028;0.094;0.038;0.218;0.041;0.004;0.022;0;0.022;0.023;0.042;0;0.131;0.042;0.004;0.033;0;0.033;0.011;0.014;0;0.104;0.035;0.004;0.001;0;0.001;0;0.001;0;0.042
2023;17.1;0.245;0.004;0.055;0.004;0.001;0;0.001;0.029;0.094;0.038;0.221;0.042;0.004;0.022;0;0.022;0.024;0.042;0;0.133;0.043;0.004;0.033;0;0.033;0.011;0.014;0;0.105;0.036;0.004;0.001;0;0.001;0;0.001;0;0.042
2024;17.63;0.225;0.004;0.056;0.004;0.001;0;0.001;0.03;0.094;0.039;0.224;0.042;0.004;0.022;0;0.022;0.025;0.042;0;0.135;0.044;0.004;0.033;0;0.033;0.012;0.014;0;0.107;0.036;0.004;0.001;0;0.001;0;0.001;0;0.042
2025;18.15;0.211;0.004;0.059;0.004;0.001;0;0.001;0.031;0.094;0.04;0.229;0.044;0.004;0.022;0;0.022;0.026;0.042;0;0.137;0.046;0.004;0.033;0;0.033;0.012;0.014;0;0.109;0.038;0.004;0.001;0;0.001;0;0.001;0;0.044
2026;18.68;0.196;0.004;0.059;0.004;0.001;0;0.001;0.029;0.094;0.039;0.226;0.044;0.004;0.022;0;0.022;0.024;0.042;0;0.135;0.046;0.004;0.033;0;0.033;0.011;0.014;0;0.108;0.038;0.004;0.001;0;0.001;0;0.001;0;0.043
2027;19.2;0.182;0.003;0.114;0.003;0.001;0;0.001;0.028;0.094;0.051;0.291;0.099;0.003;0.022;0;0.022;0.023;0.042;0;0.189;0.101;0.003;0.033;0;0.033;0.011;0.014;0;0.162;0.092;0.003;0.001;0;0.001;0;0.001;0;0.098
2028;19.73;0.17;0.003;0.059;0.003;0.001;0;0.001;0.028;0.094;0.039;0.224;0.044;0.003;0.022;0;0.022;0.023;0.042;0;0.134;0.046;0.003;0.033;0;0.033;0.011;0.014;0;0.107;0.038;0.003;0.001;0;0.001;0;0.001;0;0.043
2029;20.25;0.159;0.003;0.059;0.003;0.001;0;0.001;0.03;0.094;0.039;0.226;0.044;0.003;0.022;0;0.022;0.025;0.042;0;0.135;0.046;0.003;0.033;0;0.033;0.012;0.014;0;0.108;0.037;0.003;0.001;0;0.001;0;0.001;0;0.043
2030;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2031;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2032;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2033;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2034;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2035;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2036;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2037;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2038;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2039;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2040;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2041;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2042;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2043;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2044;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2045;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
2046;20.78;0;0.002;0.062;0.002;0.001;0;0.001;0.031;0.094;0.04;0.229;0.046;0.002;0.022;0;0.022;0.026;0.042;0;0.136;0.048;0.002;0.033;0;0.033;0.012;0.014;0;0.109;0.039;0.002;0.017;0;0.017;0;0.001;0;0.059
