woningtype_str,bouwjaar_str,,V_WW,E_WW_GAS,E_WW_WARM,E_WW_ELEK,V_RV_vast,V_RV_var,V_RV_GL_vast,V_RV_GL_var,V_RV_CORR_vast,V_RV_CORR_var,V_P_ELEK,EG,E_RV_GAS,E_RV_WARM,E_RV_ELEK,V_KOU,E_KOU_ELEK,V_APP_ELEK,E_APP_ELEK,V_Vent,EnergieIndex,EnergieLabel,AC_WW,AC_RV,R_COLL,,MVA_EG_vast,MVA_eg_var,RB_FAC_A,MVA_EG_EUR_MIN_vast,MVA_EG_EUR_MIN_var,MVA_EG_EUR_MAX_vast,MVA_EG_EUR_MAX_var,MVB_EG_vast,MVB_EG_var,RB_FAC_B,MVB_EG_EUR_MIN_vast,MVB_EG_EUR_MIN_var,MVB_EG_EUR_MAX_vast,MVB_EG_EUR_MAX_var,MVC_EG_vast,MVC_EG_var,RB_FAC_C,MVC_EG_EUR_MIN_vast,MVC_EG_EUR_MIN_var,MVC_EG_EUR_MAX_vast,MVC_EG_EUR_MAX_var,MVD_EG_vast,MVD_EG_var,RB_FAC_D,MVD_EG_EUR_MIN_vast,MVD_EG_EUR_MIN_var,MVD_EG_EUR_MAX_vast,MVD_EG_EUR_MAX_var,MVE_EG_vast,MVE_EG_var,RB_FAC_E,MVE_EG_EUR_MIN_vast,MVE_EG_EUR_MIN_var,MVE_EG_EUR_MAX_vast,MVE_EG_EUR_MAX_var,MVF_EG_vast,MVF_EG_var,RB_FAC_F,MVF_EG_EUR_MIN_vast,MVF_EG_EUR_MIN_var,MVF_EG_EUR_MAX_vast,MVF_EG_EUR_MAX_var,MV_RV,K_LTAS_MIN,K_LTAS_MAX,VL_OPP_WON_MIN,VL_OPP_WON_MAX
vrijstaand,voor 1946,,8.5,0.72,1,nvt,35.33747806,0.152946887,38.83980715,0.137542413,,,0.01008,1,0.992941176,1,nvt,0.01296,nvt,9.7,1,0.006621277,2.23,G,4,7.5,0,,26.28806924,0.194960637,0,2186.692235,41.15154426,4771.405536,30.01513177,26.28010724,0.148915746,0,14049.05267,72.90202855,14903.67526,91.88976012,23,0.13,0,21203.08799,101.3711725,45139.9199,241.6212742,26.28010724,0.148915746,0,11866.92764,31.75048429,13305.76512,61.87462836,23,0.13,0,18978.98332,59.51556049,40286.8797,211.0926092,23,0.13,0,6913.668044,27.22185258,26758.10966,148.1593589,1.07,957.5098039,3221.918627,130,130
vrijstaand,1946 - 1964,,8.5,0.72,1,nvt,32.00766739,0.172075403,38.84802168,0.144598498,29.04185465,0.166559344,0.01008,1,0.992941176,1,nvt,0.01296,nvt,9.7,1,0.009176184,2.23,F,4,7.5,0,,24.05360521,0.184545002,0,-1858.478001,58.66884629,-3979.867656,87.07172879,17.60588012,0.19619982,0,5716.754485,96.33843898,7568.649743,131.6336668,16,0.178,0,10994.30984,179.9002351,20631.97423,430.1439332,0.19619982,0.19619982,0,7692.115604,37.66959269,11665.40052,44.56193804,16,0.178,0,12884.58481,120.2276151,24679.93401,341.5824817,16,0.178,0,5179.74658,81.91352789,12933.83136,296.258127,1.07,957.5098039,3221.918627,130,130
vrijstaand,1965 - 1974,,9.2,0.72,1,nvt,25.11873513,0.190782056,31.19858587,0.173963584,31.21193978,0.166266888,0.01008,1,0.968282828,1,nvt,0.01296,nvt,9.56,1,0.009750179,2.23,D,4,7.5,0,Verbetering,,,,,,,,16.57562882,0.180617551,0,9688.800276,38.93944909,8477.692426,88.5128954,15,0.16,0,21527.61674,92.85088161,26511.2452,344.7452453,,,,,,,,15,0.16,0,11673.04938,53.24521186,17888.50671,254.71797,15,0.16,0,11673.04938,53.24521186,17888.50671,254.71797,1.07,957.5098039,3221.918627,144,144
vrijstaand,1975 - 1991,,9.7,0.72,1,nvt,23.38457148,0.17145696,31.53325067,0.136872845,27.22371844,0.173013232,0.01008,1,0.995681818,1,nvt,0.01296,nvt,9.46,1,0.008885914,1.82,C,4,7.5,0,A) Van huidig naar 2 labels hoger (E->C,,,,,,,,22.20437013,0.151305852,0,7388.035226,9.191206814,9297.412771,24.75735498,19,0.129,,28247.74527,49.21368334,51158.619,184.6973635,,,,,,,,19,0.129,0,20733.30708,39.86522284,41702.13545,159.5164313,19,0.129,0,20733.30708,39.86522284,41702.13545,159.5164313,1.07,957.5098039,3221.918627,144,144
vrijstaand,1992 - 2005,,10.6,0.72,1,nvt,14.29902257,0.160621579,30.45645419,0.091424911,17.48727788,0.153208555,0.01008,1,1.013516484,1,nvt,0.01296,nvt,9.28,1,0,1.21,B,4,7.5,0,B) Van huidig naar label B,,,,,,,,,,,,,,,23,0.069,0,22035.24262,49.21368334,44946.11635,184.6973635,,,,,,,,23,0.069,0,22035.24262,49.21368334,44946.11635,184.6973635,23,0.069,0,22035.24262,49.21368334,44946.11635,184.6973635,1.07,957.5098039,3221.918627,172,172
vrijstaand,2006 - 2019,,10.6,0.72,1,nvt,10.4167961,0.130242651,27.01068942,0.070874622,15.17008124,0.153888811,0.01008,1,1.013516484,1,nvt,0.01296,nvt,9.28,1,0,0.9,A,4,7.5,0,C) Van huidig naar Aplus (energieneutraal) ,,,,,,,,,,,,,,,27,0.071,,,,,,,,,,,,,27,0.071,0,,,,,27,0.071,0,,,,,1.07,957.5098039,3221.918627,172,172
2 onder 1 kap,voor 1946,,10.6,0.72,1,nvt,22.9589954,0.171823821,30.23549002,0.133976345,,,0.01008,1,1.05,1,nvt,0.01296,nvt,9.9,1,0.007766557,2.49,G,4,7.5,0,D) Van tussenlabel naar B,22.38576596,0.155679874,0,1877.043185,29.29257246,2105.703723,39.60869059,7.214212121,0.233843652,0,7080.777687,97.68510316,9434.94137,128.2986053,6,0.207,0,11481.57608,134.8738458,21331.24946,314.3659756,7.214212121,0.233843652,0,5199.226613,68.3925307,7324.729758,88.68991474,6,0.207,0,9572.418289,105.0801025,19189.51895,274.0796142,6,0.207,0,4279.652342,35.51743409,11734.88432,183.8722909,1.07,957.5098039,3221.918627,110,110
2 onder 1 kap,1946 - 1964,,10.6,0.72,1,nvt,28.80642695,0.112308648,33.58699939,0.100633532,24.47963006,0.148200277,0.01008,1,1.05,1,nvt,0.01296,nvt,9.9,1,0.009481846,2.49,F,4,7.5,0,E) Van tussenlabel naar Aplus,23.34265628,0.105853691,0,-2644.661308,53.48762622,-3234.432147,66.96924113,14.27797344,0.15620607,0,7689.055733,53.48762622,11419.61974,66.96924113,13,0.141,0,14857.39974,104.1845398,32344.96631,214.2412771,14.27797344,0.15620607,0,10338.05588,0,14658.39073,0,13,0.141,0,17547.30894,49.78178606,35634.73682,146.1262495,13,0.141,0,7036.790837,49.78178606,20729.96664,146.1262495,1.07,957.5098039,3221.918627,110,110
2 onder 1 kap,1965 - 1974,,7.5,0.72,1,nvt,19.64258711,0.172940226,36.20144463,0.090566872,15.08136335,0.206562333,0.01008,1,0.981609195,1,nvt,0.01296,nvt,9.77,1,0.010574889,2.49,E,4,7.5,0,F) Van label B naar Aplus,17.67898083,0.144115174,0,1877.24961,22.40048789,1877.24961,22.40048789,13.0042737,0.159937202,0,9430.071602,25.63942512,14427.6116,24.89641376,11,0.139,0,19888.82541,56.9476218,46464.388,89.83807155,13.0042737,0.159937202,0,7528.028603,3.238937226,9808.242788,10.27309595,11,0.139,0,17979.45766,34.16388072,44555.02025,67.05433047,11,0.139,0,10297.41335,30.86952805,31789.9323,64.51570144,1.07,957.5098039,3221.918627,123,123
2 onder 1 kap,1975 - 1991,,7.5,0.72,1,nvt,20.48709152,0.124063333,29.84321732,0.09135878,21.14143427,0.136622009,0.01008,1,0.981609195,1,nvt,0.01296,nvt,9.77,1,0.007232955,1.8,C,4,7.5,0,,,,,,,,,16.53795189,0.125894007,0,5798.706155,9.347681599,7204.954536,22.26998516,15,0.11,0,20436.03733,52.49874438,36471.08632,171.0844266,,,,,,,,15,0.11,0,14538.12028,42.99113195,29142.86118,148.433421,15,0.11,0,14538.12028,42.99113195,29142.86118,148.433421,1.07,957.5098039,3221.918627,123,123
