woningtype_str;bouwjaar_str;Default_label;Vrv_G_asl;Vrv_G_opp;Vrv_F_asl;Vrv_F_opp;Vrv_E_asl;Vrv_E_opp;Vrv_D_asl;Vrv_D_opp;Vrv_C_asl;Vrv_C_opp;Vrv_B_asl;Vrv_B_opp;Vrv_A_asl;Vrv_A_opp;Vvent_opp;Vww_asl;Ve_asl;Vk_opp
vrijstaand;voor 1946;G;35.33747806;0.152946887;35.33747806;0.152946887;26.28806924;0.194960637;26.28806924;0.194960637;26.28010724;0.148915746;26.28010724;0.148915746;23;0.13;0.006621277;8.5;9.7;0.01296
vrijstaand;1946 - 1964;F;29.04185465;0.166559344;32.00766739;0.172075403;32.00766739;0.172075403;24.05360521;0.184545002;17.60588012;0.19619982;17.60588012;0.19619982;16;0.178;0.009176184;8.5;9.7;0.01296
vrijstaand;1965 - 1974;D;31.21193978;0.166266888;31.21193978;0.166266888;31.21193978;0.166266888;25.11873513;0.190782056;16.57562882;0.180617551;16.57562882;0.180617551;15;0.16;0.009750179;9.2;9.56;0.01296
vrijstaand;1975 - 1991;C;27.22371844;0.173013232;27.22371844;0.173013232;27.22371844;0.173013232;27.22371844;0.173013232;23.38457148;0.17145696;22.20437013;0.151305852;19;0.129;0.008885914;9.7;9.46;0.01296
vrijstaand;1992 - 2005;B;17.48727788;0.153208555;17.48727788;0.153208555;17.48727788;0.153208555;17.48727788;0.153208555;17.48727788;0.153208555;14.29902257;0.160621579;23;0.069;0;10.6;9.28;0.01296
vrijstaand;2006 - 2019;A;15.17008124;0.153888811;15.17008124;0.153888811;15.17008124;0.153888811;15.17008124;0.153888811;15.17008124;0.153888811;15.17008124;0.153888811;10.4167961;0.130242651;0;10.6;9.28;0.01296
2 onder 1 kap;voor 1946;G;22.9589954;0.171823821;22.9589954;0.171823821;22.38576596;0.155679874;22.38576596;0.155679874;7.214212121;0.233843652;7.214212121;0.233843652;6;0.207;0.007766557;10.6;9.9;0.01296
2 onder 1 kap;1946 - 1964;F;24.47963006;0.148200277;28.80642695;0.112308648;28.80642695;0.112308648;23.34265628;0.105853691;14.27797344;0.15620607;14.27797344;0.15620607;13;0.141;0.009481846;10.6;9.9;0.01296
2 onder 1 kap;1965 - 1974;E;15.08136335;0.206562333;15.08136335;0.206562333;19.64258711;0.172940226;17.67898083;0.144115174;17.67898083;0.144115174;13.0042737;0.159937202;11;0.139;0.010574889;7.5;9.77;0.01296
2 onder 1 kap;1975 - 1991;C;21.14143427;0.136622009;21.14143427;0.136622009;21.14143427;0.136622009;21.14143427;0.136622009;20.48709152;0.124063333;16.53795189;0.125894007;15;0.11;0.007232955;7.5;9.77;0.01296
2 onder 1 kap;1992 - 2005;B;11.22181677;0.153789401;11.22181677;0.153789401;11.22181677;0.153789401;11.22181677;0.153789401;11.22181677;0.153789401;13.78934819;0.119352057;19;0.06;0;8.15;9.68;0.01296
2 onder 1 kap;2006 - 2019;B;11.22181677;0.153789401;11.22181677;0.153789401;11.22181677;0.153789401;11.22181677;0.153789401;11.22181677;0.153789401;13.56585159;0.074649308;18;0.06;0;8.15;9.68;0.01296
rijwoning hoek;voor 1946;G;24.02581014;0.146661398;24.02581014;0.146661398;16.57452877;0.197566028;16.57452877;0.197566028;13.25162417;0.173803024;13.25162417;0.173803024;12;0.152;0.008135673;8.6;9.98;0.01296
rijwoning hoek;1946 - 1964;E;24.08140885;0.147507399;24.08140885;0.147507399;24.83899201;0.129654707;18.69437031;0.128290702;18.69437031;0.128290702;15.82312038;0.129608313;14;0.116;0.007684654;8.6;10.13;0.01296
rijwoning hoek;1965 - 1974;D;19.98409776;0.146829317;19.98409776;0.146829317;19.98409776;0.146829317;23.86526699;0.109252449;13.65391885;0.140650855;13.65391885;0.140650855;12;0.125;0.007517702;8.6;9.94;0.01296
rijwoning hoek;1975 - 1991;C;24.88762499;0.07324279;24.88762499;0.07324279;24.88762499;0.07324279;24.88762499;0.07324279;19.77237859;0.083682371;8.04272601;0.171729667;7;0.15;0.003662524;8.6;9.94;0.01296
rijwoning hoek;1992 - 2005;C;0;0.252439813;0;0.252439813;0;0.252439813;0;0.252439813;4.993000876;0.213502172;14.2107766;0.09457148;11;0.07;0;7.1;9.86;0.01296
rijwoning hoek;2006 - 2019;A;11.08945776;0.098153928;11.08945776;0.098153928;11.08945776;0.098153928;11.08945776;0.098153928;11.08945776;0.098153928;11.08945776;0.098153928;9.450919255;0.103559506;0;6.35;9.86;0.01296
rijwoning tussen;voor 1946;F;14.76960874;0.161500972;15.46044965;0.152225418;15.46044965;0.152225418;10.62407433;0.167056788;9.961107455;0.147267359;9.961107455;0.147267359;9;0.129;0.007035359;7.3;9.98;0.01296
rijwoning tussen;1946 - 1964;E;16.24260051;0.160358739;16.24260051;0.160358739;22.94096948;0.072868783;13.57353852;0.125423508;13.57353852;0.125423508;12.42649785;0.114066079;11;0.103;0.007829621;7.3;10.13;0.01296
rijwoning tussen;1965 - 1974;D;9.598422591;0.140650855;9.598422591;0.140650855;9.598422591;0.140650855;22.93898549;0.067231768;12.08980022;0.125892239;12.08980022;0.125892239;10;0.108;0.007632555;7.7;9.94;0.01296
rijwoning tussen;1975 - 1991;C;19.85523467;0.059014694;19.85523467;0.059014694;19.85523467;0.059014694;19.85523467;0.059014694;15.01826931;0.07997126;12.50162602;0.088777201;11;0.077;0.004510267;7.7;9.94;0.01296
rijwoning tussen;1992 - 2005;B;10.59323377;0.090373345;10.59323377;0.090373345;10.59323377;0.090373345;10.59323377;0.090373345;10.59323377;0.090373345;8.171174086;0.107244357;13;0.054;0;7.7;9.86;0.01296
rijwoning tussen;2006 - 2019;A;8.305064464;0.088722615;8.305064464;0.088722615;8.305064464;0.088722615;8.305064464;0.088722615;8.305064464;0.088722615;8.305064464;0.088722615;9.744892821;0.069241749;0;7.7;9.86;0.01296
meergezins: laag en midden;voor 1946;F;16.83441377;0.125376533;12.05004098;0.171592197;12.05004098;0.171592197;9.331190249;0.173427925;6.909993237;0.159594094;6.909993237;0.159594094;6;0.14;0.007174355;7.1;8.41;0.01296
meergezins: laag en midden;1946 - 1964;E;11.79148564;0.125579835;11.79148564;0.125579835;10.89933943;0.126957896;9.98367768;0.100566421;9.98367768;0.100566421;8.539417697;0.09628001;7;0.082;0.00646244;6.35;8.34;0.01296
meergezins: laag en midden;1965 - 1974;D;14.13184239;0.114538298;14.13184239;0.114538298;14.13184239;0.114538298;11.966132;0.120281999;10.76187641;0.064514561;10.76187641;0.064514561;9;0.056;0.004827624;7.3;8.29;0.01296
meergezins: laag en midden;1975 - 1991;C;10.74413055;0.127467683;10.74413055;0.127467683;10.74413055;0.127467683;10.74413055;0.127467683;15.11979141;0.056180182;12.30088901;0.062802733;10;0.052;0.002521148;7.3;8.3;0.01296
meergezins: laag en midden;1992 - 2005;C;15.05821823;0.074057839;15.05821823;0.074057839;15.05821823;0.074057839;15.05821823;0.074057839;10.51266447;0.061370988;4.728190541;0.132852143;4;0.114;0;7.7;8.26;0.01296
meergezins: laag en midden;2006 - 2019;A;11.70897188;0.091470745;11.70897188;0.091470745;11.70897188;0.091470745;11.70897188;0.091470745;11.70897188;0.091470745;11.70897188;0.091470745;5.391908237;0.099192931;0;7.7;8.26;0.01296
meergezins: hoog;voor 1946;F;16.7798153;0.13153197;11.76055082;0.18001662;11.76055082;0.18001662;8.908216464;0.181942474;6.368149314;0.167429463;6.368149314;0.167429463;6;0.146;0.007174355;7.7;8.28;0.01296
meergezins: hoog;1946 - 1964;E;13.154769;0.144429797;13.154769;0.144429797;12.1287086;0.14601471;11.0756029;0.115661784;11.0756029;0.115661784;9.414554561;0.110731968;8;0.096;0.00646244;7.7;8.28;0.01296
meergezins: hoog;1965 - 1974;D;12.92338009;0.110483325;12.92338009;0.110483325;12.92338009;0.110483325;10.83434185;0.116023683;9.672720246;0.062230566;9.672720246;0.062230566;8;0.054;0.004827624;4.95;8.18;0.01296
meergezins: hoog;1975 - 1991;C;10.99010083;0.128770202;10.99010083;0.128770202;10.99010083;0.128770202;10.99010083;0.128770202;15.41047407;0.056754255;12.56276692;0.063444479;11;0.054;0.002521148;5.3;8.32;0.01296
meergezins: hoog;1992 - 2005;C;15.13156231;0.076204573;15.13156231;0.076204573;15.13156231;0.076204573;15.13156231;0.076204573;10.45424537;0.063149965;4.502095362;0.136703163;4;0.117;0;5.55;8.21;0.01296
meergezins: hoog;2006 - 2019;A;11.33143712;0.091470745;11.33143712;0.091470745;11.33143712;0.091470745;11.33143712;0.091470745;11.33143712;0.091470745;11.33143712;0.091470745;5.014373468;0.099192931;0;5.5;8.21;0.01296
