type_str,bouwjaar_str,Default_label,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
Kantoor,0<=1920,G,0,0.98134404,0,0.98134404,0,0.98134404,0,0.98134404,0,0.210028709,0,0.210028709,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,113.2473132,0,161.9186368,0,113.2473132,0,161.9186368,0,113.2473132,0,161.9186368,0,113.2473132,0,161.9186368,0,0,0,0,0,152.1440828,0,241.3658154,0,152.1440828,0,241.3658154,0,152.1440828,0,241.3658154,0,152.1440828,0,241.3658154,0,38.89676965,0,79.4471785,0,38.89676965,0,79.4471785
Kantoor,1920<=1975,E,0,0.770581577,0,0.770581577,0,0.770581577,0,0.770581577,0,0.770581577,0,0.210028709,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,112.7577715,0,161.1897636,0,112.7577715,0,161.1897636,0,112.7577715,0,161.1897636,0,112.7577715,0,161.1897636,0,112.7577715,0,161.1897636,0,151.6552384,0,240.6369421,0,151.6552384,0,240.6369421,0,151.6552384,0,240.6369421,0,151.6552384,0,240.6369421,0,151.6552384,0,240.6369421,0,38.89746695,0,79.4471785
Kantoor,1975<=1990,C,0,0.393016494,0,0.393016494,0,0.393016494,0,0.393016494,0,0.210028709,0,0.210028709,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,104.087444,0,155.5981095,0,104.087444,0,155.5981095,0,104.087444,0,155.5981095,0,104.087444,0,155.5981095,0,0,0,0,0,142.992424,0,235.0452881,0,142.992424,0,235.0452881,0,142.992424,0,235.0452881,0,142.992424,0,235.0452881,0,38.90497987,0,79.4471785,0,38.90497987,0,79.4471785
Kantoor,1990<=1995,B,0,0.361406554,0,0.361406554,0,0.361406554,0,0.361406554,0,0.361406554,0,0.361406554,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,101.8137948,0,151.9755009,0,101.8137948,0,151.9755009,0,101.8137948,0,151.9755009,0,101.8137948,0,151.9755009,0,0,0,0,0,140.7124044,0,231.4226795,0,140.7124044,0,231.4226795,0,140.7124044,0,231.4226795,0,140.7124044,0,231.4226795,0,38.8986095,0,79.4471785,0,38.8986095,0,79.4471785
Kantoor,1995<=2019,B,0,0.295927522,0,0.295927522,0,0.295927522,0,0.295927522,0,0.295927522,0,0.295927522,0,0.147020096,0,0,0,0.003776774,0,0.454,0,0.086802003,0,97.23386025,0,148.6466174,0,97.23386025,0,148.6466174,0,97.23386025,0,148.6466174,0,97.23386025,0,148.6466174,0,0,0,0,0,136.1365749,0,228.093796,0,136.1365749,0,228.093796,0,136.1365749,0,228.093796,0,136.1365749,0,228.093796,0,38.90271461,0,79.4471785,0,38.90271461,0,79.4471785
Kantoor,onbekend,D,0,0.49328773,0,0.49328773,0,0.49328773,0,0.49328773,0,0.218708383,0,0.218708383,0,0.153095868,0,0,0,0.003776774,0,0.454,0,0.086802003,0,103.4891153,0,153.9771826,0,103.4891153,0,153.9771826,0,103.4891153,0,153.9771826,0,103.4891153,0,153.9771826,0,0,0,0,0,142.3903886,0,233.4134824,0,142.3903886,0,233.4134824,0,142.3903886,0,233.4134824,0,142.3903886,0,233.4134824,0,38.9012733,0,79.4362998,0,38.9012733,0,79.4362998
Winkel,0<=1920,G,0,0.494577526,0,0.494577526,0,0.494577526,0,0.494577526,0,0.105826531,0,0.105826531,0,0.074078572,0,0,0,0.003776774,0,0.567,0,0.035278814,0,133.6231266,0,196.1539197,0,133.6231266,0,196.1539197,0,133.6231266,0,196.1539197,0,133.6231266,0,196.1539197,0,0,0,0,0,176.561373,0,292.5718771,0,176.561373,0,292.5718771,0,176.561373,0,292.5718771,0,176.561373,0,292.5718771,0,42.93824641,0,96.41795742,0,42.93824641,0,96.41795742
Winkel,1920<=1975,E,0,0.392022619,0,0.392022619,0,0.392022619,0,0.392022619,0,0.392022619,0,0.106281874,0,0.074397312,0,0,0,0.003776774,0,0.567,0,0.035278814,0,133.1009487,0,195.2945021,0,133.1009487,0,195.2945021,0,133.1009487,0,195.2945021,0,133.1009487,0,195.2945021,0,133.1009487,0,195.2945021,0,176.0391952,0,291.7124594,0,176.0391952,0,291.7124594,0,176.0391952,0,291.7124594,0,176.0391952,0,291.7124594,0,176.0391952,0,291.7124594,0,42.93824641,0,96.41795742
Winkel,1975<=1990,C,0,0.20177555,0,0.20177555,0,0.20177555,0,0.20177555,0,0.10625751,0,0.10625751,0,0.074380257,0,0,0,0.003776774,0,0.567,0,0.035278814,0,121.1996461,0,188.1471932,0,121.1996461,0,188.1471932,0,121.1996461,0,188.1471932,0,121.1996461,0,188.1471932,0,0,0,0,0,164.1378925,0,284.5651507,0,164.1378925,0,284.5651507,0,164.1378925,0,284.5651507,0,164.1378925,0,284.5651507,0,42.93824641,0,96.41795742,0,42.93824641,0,96.41795742
Winkel,1990<=1995,B,0,0.19066847,0,0.19066847,0,0.19066847,0,0.19066847,0,0.19066847,0,0.19066847,0,0.074792687,0,0,0,0.003776774,0,0.567,0,0.035278814,0,118.8389672,0,183.9153772,0,118.8389672,0,183.9153772,0,118.8389672,0,183.9153772,0,118.8389672,0,183.9153772,0,0,0,0,0,161.7772137,0,280.3333346,0,161.7772137,0,280.3333346,0,161.7772137,0,280.3333346,0,161.7772137,0,280.3333346,0,42.93824641,0,96.41795742,0,42.93824641,0,96.41795742
