type_str,bouwjaar_str,Default_label,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGC_min_asl,Ki_SGC_min_opp,Ki_SGC_max_asl,Ki_SGC_max_opp,Ki_SFC_min_asl,Ki_SFC_min_opp,Ki_SFC_max_asl,Ki_SFC_max_opp,Ki_SEC_min_asl,Ki_SEC_min_opp,Ki_SEC_max_asl,Ki_SEC_max_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
vrijstaand,voor 1930,G,35.33747806,0.152946887,35.33747806,0.152946887,26.28806924,0.194960637,26.28806924,0.194960637,26.28010724,0.148915746,26.28010724,0.148915746,23,0.13,0,0.006621277,8.5,0,9.7,0,0,0.01296,2186.692235,41.15154426,4771.405536,30.01513177,2186.692235,41.15154426,4771.405536,30.01513177,0,0,0,0,14049.05267,72.90202855,14903.67526,91.88976012,14049.05267,72.90202855,14903.67526,91.88976012,11866.92764,31.75048429,13305.76512,61.87462836,11866.92764,31.75048429,13305.76512,61.87462836,0,0,0,0,21203.08799,101.3711725,45139.9199,241.6212742,21203.08799,101.3711725,45139.9199,241.6212742,18978.98332,59.51556049,40286.8797,211.0926092,18978.98332,59.51556049,40286.8797,211.0926092,6913.668044,27.22185258,26758.10966,148.1593589,6913.668044,27.22185258,26758.10966,148.1593589
vrijstaand,1930 - 1945,G,35.33747806,0.152946887,35.33747806,0.152946887,26.28806924,0.194960637,26.28806924,0.194960637,26.28010724,0.148915746,26.28010724,0.148915746,23,0.13,0,0.006621277,8.5,0,9.7,0,0,0.01296,2186.692235,41.15154426,4771.405536,30.01513177,2186.692235,41.15154426,4771.405536,30.01513177,0,0,0,0,14049.05267,72.90202855,14903.67526,91.88976012,14049.05267,72.90202855,14903.67526,91.88976012,11866.92764,31.75048429,13305.76512,61.87462836,11866.92764,31.75048429,13305.76512,61.87462836,0,0,0,0,21203.08799,101.3711725,45139.9199,241.6212742,21203.08799,101.3711725,45139.9199,241.6212742,18978.98332,59.51556049,40286.8797,211.0926092,18978.98332,59.51556049,40286.8797,211.0926092,6913.668044,27.22185258,26758.10966,148.1593589,6913.668044,27.22185258,26758.10966,148.1593589
vrijstaand,1946 - 1964,F,29.04185465,0.166559344,32.00766739,0.172075403,32.00766739,0.172075403,24.05360521,0.184545002,17.60588012,0.19619982,17.60588012,0.19619982,16,0.178,0,0.009176184,8.5,0,9.7,0,0,0.01296,-1858.478001,58.66884629,-3979.867656,87.07172879,-1858.478001,58.66884629,-3979.867656,87.07172879,-1858.478001,58.66884629,-3979.867656,87.07172879,5716.754485,96.33843898,7568.649743,131.6336668,5716.754485,96.33843898,7568.649743,131.6336668,5716.754485,96.33843898,7568.649743,131.6336668,7692.115604,37.66959269,11665.40052,44.56193804,0,0,0,0,10994.30984,179.9002351,20631.97423,430.1439332,10994.30984,179.9002351,20631.97423,430.1439332,10994.30984,179.9002351,20631.97423,430.1439332,12884.58481,120.2276151,24679.93401,341.5824817,5179.74658,81.91352789,12933.83136,296.258127,5179.74658,81.91352789,12933.83136,296.258127
vrijstaand,1965 - 1974,D,31.21193978,0.166266888,31.21193978,0.166266888,31.21193978,0.166266888,25.11873513,0.190782056,16.57562882,0.180617551,16.57562882,0.180617551,15,0.16,0,0.009750179,9.2,0,9.56,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,9688.800276,38.93944909,8477.692426,88.5128954,9688.800276,38.93944909,8477.692426,88.5128954,9688.800276,38.93944909,8477.692426,88.5128954,9688.800276,38.93944909,8477.692426,88.5128954,0,0,0,0,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,11673.04938,53.24521186,17888.50671,254.71797,11673.04938,53.24521186,17888.50671,254.71797
vrijstaand,1975 - 1991,C,27.22371844,0.173013232,27.22371844,0.173013232,27.22371844,0.173013232,27.22371844,0.173013232,23.38457148,0.17145696,22.20437013,0.151305852,19,0.129,0,0.008885914,9.7,0,9.46,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,7388.035226,9.191206814,9297.412771,24.75735498,7388.035226,9.191206814,9297.412771,24.75735498,7388.035226,9.191206814,9297.412771,24.75735498,7388.035226,9.191206814,9297.412771,24.75735498,7388.035226,9.191206814,9297.412771,24.75735498,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,20733.30708,39.86522284,41702.13545,159.5164313
vrijstaand,1992 - 1995,B,17.48727788,0.153208555,17.48727788,0.153208555,17.48727788,0.153208555,17.48727788,0.153208555,17.48727788,0.153208555,14.29902257,0.160621579,23,0.069,0,0,10.6,0,9.28,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635
vrijstaand,1996 - 1999,B,17.48727788,0.153208555,17.48727788,0.153208555,17.48727788,0.153208555,17.48727788,0.153208555,17.48727788,0.153208555,14.29902257,0.160621579,23,0.069,0,0,10.6,0,9.28,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635
vrijstaand,2000 - 2005,B,17.48727788,0.153208555,17.48727788,0.153208555,17.48727788,0.153208555,17.48727788,0.153208555,17.48727788,0.153208555,14.29902257,0.160621579,23,0.069,0,0,10.6,0,9.28,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635
vrijstaand,2006 - 2010,A,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,10.4167961,0.130242651,0,0,10.6,0,9.28,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vrijstaand,2011 - 2014,A,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,10.4167961,0.130242651,0,0,10.6,0,9.28,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vrijstaand,2015 - 2020,A,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,15.17008124,0.153888811,10.4167961,0.130242651,0,0,10.6,0,9.28,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 onder 1 kap,voor 1930,G,22.9589954,0.171823821,22.9589954,0.171823821,22.38576596,0.155679874,22.38576596,0.155679874,7.214212121,0.233843652,7.214212121,0.233843652,6,0.207,0,0.007766557,10.6,0,9.9,0,0,0.01296,1877.043185,29.29257246,2105.703723,39.60869059,1877.043185,29.29257246,2105.703723,39.60869059,0,0,0,0,7080.777687,97.68510316,9434.94137,128.2986053,7080.777687,97.68510316,9434.94137,128.2986053,5199.226613,68.3925307,7324.729758,88.68991474,5199.226613,68.3925307,7324.729758,88.68991474,0,0,0,0,11481.57608,134.8738458,21331.24946,314.3659756,11481.57608,134.8738458,21331.24946,314.3659756,9572.418289,105.0801025,19189.51895,274.0796142,9572.418289,105.0801025,19189.51895,274.0796142,4279.652342,35.51743409,11734.88432,183.8722909,4279.652342,35.51743409,11734.88432,183.8722909
2 onder 1 kap,1930 - 1945,G,22.9589954,0.171823821,22.9589954,0.171823821,22.38576596,0.155679874,22.38576596,0.155679874,7.214212121,0.233843652,7.214212121,0.233843652,6,0.207,0,0.007766557,10.6,0,9.9,0,0,0.01296,1877.043185,29.29257246,2105.703723,39.60869059,1877.043185,29.29257246,2105.703723,39.60869059,0,0,0,0,7080.777687,97.68510316,9434.94137,128.2986053,7080.777687,97.68510316,9434.94137,128.2986053,5199.226613,68.3925307,7324.729758,88.68991474,5199.226613,68.3925307,7324.729758,88.68991474,0,0,0,0,11481.57608,134.8738458,21331.24946,314.3659756,11481.57608,134.8738458,21331.24946,314.3659756,9572.418289,105.0801025,19189.51895,274.0796142,9572.418289,105.0801025,19189.51895,274.0796142,4279.652342,35.51743409,11734.88432,183.8722909,4279.652342,35.51743409,11734.88432,183.8722909
2 onder 1 kap,1946 - 1964,F,24.47963006,0.148200277,28.80642695,0.112308648,28.80642695,0.112308648,23.34265628,0.105853691,14.27797344,0.15620607,14.27797344,0.15620607,13,0.141,0,0.009481846,10.6,0,9.9,0,0,0.01296,-2644.661308,53.48762622,-3234.432147,66.96924113,-2644.661308,53.48762622,-3234.432147,66.96924113,-2644.661308,53.48762622,-3234.432147,66.96924113,7689.055733,53.48762622,11419.61974,66.96924113,7689.055733,53.48762622,11419.61974,66.96924113,10338.05588,0,14658.39073,0,10338.05588,0,14658.39073,0,0,0,0,0,14857.39974,104.1845398,32344.96631,214.2412771,14857.39974,104.1845398,32344.96631,214.2412771,17547.30894,49.78178606,35634.73682,146.1262495,17547.30894,49.78178606,35634.73682,146.1262495,7036.790837,49.78178606,20729.96664,146.1262495,7036.790837,49.78178606,20729.96664,146.1262495
2 onder 1 kap,1965 - 1974,E,15.08136335,0.206562333,15.08136335,0.206562333,19.64258711,0.172940226,17.67898083,0.144115174,17.67898083,0.144115174,13.0042737,0.159937202,11,0.139,0,0.010574889,7.5,0,9.77,0,0,0.01296,1877.24961,22.40048789,1877.24961,22.40048789,1877.24961,22.40048789,1877.24961,22.40048789,1877.24961,22.40048789,1877.24961,22.40048789,9430.071602,25.63942512,14427.6116,24.89641376,9430.071602,25.63942512,14427.6116,24.89641376,9430.071602,25.63942512,14427.6116,24.89641376,7528.028603,3.238937226,9808.242788,10.27309595,7528.028603,3.238937226,9808.242788,10.27309595,19888.82541,56.9476218,46464.388,89.83807155,19888.82541,56.9476218,46464.388,89.83807155,19888.82541,56.9476218,46464.388,89.83807155,17979.45766,34.16388072,44555.02025,67.05433047,17979.45766,34.16388072,44555.02025,67.05433047,10297.41335,30.86952805,31789.9323,64.51570144
