Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P;GLAST_PC_COM_EXCL_CO2;GLAST_PC_CO2;GLAST_PC_DIS;GLAST_PC_TRANS;GLAST_PC_NET;GLAST_PC_SDE;GLAST_PC_BEL_EL;GLAST_PC_BTW;GLAST_P
2010;16.3;1.78;0;0.395;0;0;0;0;0;0.183;0.11;0.688;0.366;0;0;0;0;0;0.164;0;0.53;0.288;0;0;0;0;0;0.044;0;0.332;0.245;0;0;0;0;0;0.009;0;0.255;0.245;0;0;0;0;0;0.022;0;0.268
2011;14.4;1.78;0;0.464;0;0;0;0;0;0.179;0.122;0.764;0.429;0;0;0;0;0;0.16;0;0.589;0.338;0;0;0;0;0;0.043;0;0.381;0.288;0;0;0;0;0;0.009;0;0.297;0.288;0;0;0;0;0;0.022;0;0.31
2012;7.9;1.78;0;0.491;0;0;0;0;0;0.177;0.14;0.808;0.455;0;0;0;0;0;0.159;0;0.613;0.358;0;0;0;0;0;0.042;0;0.401;0.305;0;0;0;0;0;0.009;0;0.314;0.305;0;0;0;0;0;0.021;0;0.327
2013;4.8;1.78;0;0.503;0;0;0;0;0.002;0.195;0.147;0.847;0.466;0;0;0;0;0.002;0.191;0;0.659;0.367;0;0;0;0;0.001;0.046;0;0.414;0.313;0;0;0;0;0;0.012;0;0.325;0.313;0;0;0;0;0;0.023;0;0.336
2014;6.3;1.78;0;0.423;0;0;0;0;0.005;0.197;0.131;0.756;0.392;0;0;0;0;0.005;0.193;0;0.589;0.309;0;0;0;0;0.002;0.046;0;0.357;0.263;0;0;0;0;0;0.012;0;0.276;0.263;0;0;0;0;0.001;0.023;0;0.288
2015;8.3;1.78;0;0.404;0;0;0;0;0.008;0.199;0.128;0.738;0.374;0;0;0;0;0.008;0.195;0;0.576;0.295;0;0;0;0;0.003;0.07;0;0.368;0.251;0;0;0;0;0.001;0.012;0;0.264;0.251;0;0;0;0;0.001;0.024;0;0.276
2016;5.8;1.78;0;0.288;0;0;0;0;0.012;0.261;0.118;0.678;0.266;0;0;0;0;0.012;0.256;0;0.533;0.21;0;0;0;0;0.004;0.072;0;0.286;0.179;0;0;0;0;0.001;0.013;0;0.192;0.179;0;0;0;0;0.002;0.024;0;0.205
2017;5.9;1.78;0;0.32;0;0;0;0;0.016;0.257;0.125;0.719;0.297;0;0;0;0;0.016;0.252;0;0.564;0.234;0;0;0;0;0.008;0.063;0;0.305;0.199;0;0;0;0;0.001;0.012;0;0.213;0.199;0;0;0;0;0.003;0.024;0;0.226
2018;15.7;1.78;0;0.388;0;0;0;0;0.028;0.26;0.142;0.819;0.36;0;0;0;0;0.028;0.255;0;0.642;0.284;0;0;0;0;0.011;0.065;0;0.359;0.241;0;0;0;0;0.002;0.013;0;0.256;0.241;0;0;0;0;0.004;0.024;0;0.27
2019;21.6;1.78;0;0.336;0;0;0;0;0.051;0.287;0.142;0.815;0.311;0;0;0;0;0.05;0.28;0;0.642;0.245;0;0;0;0;0.016;0.064;0;0.325;0.209;0;0;0;0;0.003;0.013;0;0.224;0.209;0;0;0;0;0.006;0.024;0;0.239
2020;21.5;1.78;0;0.353;0;0;0;0;0.07;0.281;0.148;0.853;0.327;0;0;0;0;0.069;0.275;0;0.671;0.258;0;0;0;0;0.022;0.064;0;0.343;0.22;0;0;0;0;0.004;0.013;0;0.236;0.22;0;0;0;0;0.008;0.024;0;0.252
2021;21.5;1.78;0;0.332;0;0;0;0;0.076;0.281;0.145;0.835;0.308;0;0;0;0;0.075;0.275;0;0.658;0.242;0;0;0;0;0.023;0.064;0;0.33;0.207;0;0;0;0;0.005;0.013;0;0.224;0.207;0;0;0;0;0.009;0.024;0;0.24
2022;24.4;1.78;0;0.358;0;0;0;0;0.076;0.281;0.15;0.866;0.331;0;0;0;0;0.075;0.275;0;0.681;0.261;0;0;0;0;0.023;0.064;0;0.348;0.222;0;0;0;0;0.005;0.013;0;0.239;0.222;0;0;0;0;0.009;0.024;0;0.255
2023;27.2;1.78;0;0.383;0;0;0;0;0.079;0.281;0.156;0.9;0.354;0;0;0;0;0.078;0.275;0;0.708;0.28;0;0;0;0;0.024;0.064;0;0.368;0.238;0;0;0;0;0.005;0.013;0;0.255;0.238;0;0;0;0;0.009;0.024;0;0.271
2024;30;1.78;0;0.408;0;0;0;0;0.084;0.281;0.163;0.937;0.378;0;0;0;0;0.083;0.275;0;0.736;0.298;0;0;0;0;0.026;0.064;0;0.388;0.254;0;0;0;0;0.005;0.013;0;0.271;0.254;0;0;0;0;0.01;0.024;0;0.288
2025;32.9;1.78;0;0.434;0;0;0;0;0.087;0.281;0.168;0.97;0.401;0;0;0;0;0.085;0.275;0;0.762;0.317;0;0;0;0;0.027;0.064;0;0.407;0.27;0;0;0;0;0.005;0.013;0;0.287;0.27;0;0;0;0;0.01;0.024;0;0.304
2026;35.7;1.78;0;0.438;0;0;0;0;0.08;0.281;0.168;0.967;0.405;0;0;0;0;0.078;0.275;0;0.759;0.32;0;0;0;0;0.024;0.064;0;0.408;0.272;0;0;0;0;0.005;0.013;0;0.29;0.272;0;0;0;0;0.009;0.024;0;0.306
2027;38.6;1.78;0;0.443;0;0;0;0;0.078;0.281;0.168;0.971;0.409;0;0;0;0;0.077;0.275;0;0.761;0.323;0;0;0;0;0.024;0.064;0;0.411;0.275;0;0;0;0;0.005;0.013;0;0.292;0.275;0;0;0;0;0.009;0.024;0;0.308
2028;41.4;1.78;0;0.447;0;0;0;0;0.078;0.281;0.169;0.975;0.414;0;0;0;0;0.076;0.275;0;0.765;0.326;0;0;0;0;0.024;0.064;0;0.414;0.278;0;0;0;0;0.005;0.013;0;0.295;0.278;0;0;0;0;0.009;0.024;0;0.311
2029;44.3;1.78;0;0.452;0;0;0;0;0.082;0.281;0.171;0.987;0.418;0;0;0;0;0.081;0.275;0;0.774;0.33;0;0;0;0;0.025;0.064;0;0.419;0.281;0;0;0;0;0.005;0.013;0;0.298;0.281;0;0;0;0;0.01;0.024;0;0.314
2030;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2031;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2032;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2033;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2034;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2035;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2036;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2037;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2038;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2039;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2040;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2041;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2042;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2043;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2044;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2045;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2046;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2047;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2048;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
2049;47.1;0;0;1.24;0;0;0;0;0.086;0.281;0.173;1.57;1.205;0;0;0;0;0.084;0.275;0;1.389;1.116;0;0;0;0;0.026;0.064;0;1.12;1.067;0;0;0;0;0.005;0.013;0;1.048;1.03;0;0;0;0;0.01;0.024;0;1.064
