type_str,bouwjaar_str,Default_label,Vrv_N_asl,Vrv_N_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp
kantoren,2010<=2020,A,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0,0,0.003533557,0,0.432,0,0.08259888
kantoren,2020<=2030,A,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0,0,0.003533557,0,0.432,0,0.08259888
kantoren,2030<=2040,A,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0,0,0.003533557,0,0.432,0,0.08259888
kantoren,2040<=2050,A,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0.145198761,0,0,0,0.003533557,0,0.432,0,0.08259888
winkels,2010<=2020,A,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0,0,0.003533557,0,0.723,0,0.04719936
winkels,2020<=2030,A,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0,0,0.003533557,0,0.723,0,0.04719936
winkels,2030<=2040,A,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0,0,0.003533557,0,0.723,0,0.04719936
winkels,2040<=2050,A,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0.118558988,0,0,0,0.003533557,0,0.723,0,0.04719936
Verpleging en verzorging,2010<=2020,A,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0,0,0.023557047,0,0.22,0,0.004719936
Verpleging en verzorging,2020<=2030,A,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0.2160096,0,0,0,0.023557047,0,0.22,0,0.004719936
