type_str,bouwjaar_str,Default_label,Vrv_N_asl,Vrv_N_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp
herenhuis grachtenpand,2000<=2010,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
herenhuis grachtenpand,2010<=2020,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
herenhuis grachtenpand,2020<=2030,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
herenhuis grachtenpand,2030<=2040,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
herenhuis grachtenpand,2040<=2050,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
boerderij/tuinderij,2000<=2010,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
boerderij/tuinderij,2010<=2020,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
boerderij/tuinderij,2020<=2030,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
boerderij/tuinderij,2030<=2040,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
boerderij/tuinderij,2040<=2050,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
vrijstaand/bungalows,2000<=2010,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
vrijstaand/bungalows,2010<=2020,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
vrijstaand/bungalows,2020<=2030,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
vrijstaand/bungalows,2030<=2040,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
vrijstaand/bungalows,2040<=2050,A,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,30.96,0,0,0,7.066666667,0,11.082384,0,0,0
twee onder een kap,2000<=2010,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
twee onder een kap,2010<=2020,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
twee onder een kap,2020<=2030,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
twee onder een kap,2030<=2040,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
twee onder een kap,2040<=2050,A,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,23.76,0,0,0,5.733333333,0,11.485584,0,0,0
rijtjeshuizen/eengezins,2000<=2010,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
rijtjeshuizen/eengezins,2010<=2020,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
rijtjeshuizen/eengezins,2020<=2030,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
rijtjeshuizen/eengezins,2030<=2040,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
rijtjeshuizen/eengezins,2040<=2050,A,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,20.52,0,0,0,5.133333333,0,11.667024,0,0,0
flats 4 of minder verdiepingen,2000<=2010,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
flats 4 of minder verdiepingen,2010<=2020,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
flats 4 of minder verdiepingen,2020<=2030,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
flats 4 of minder verdiepingen,2030<=2040,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
flats 4 of minder verdiepingen,2040<=2050,A,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,13.32,0,0,0,3.8,0,9.978048,0,0,0
flats meer dan 4 verdiepingen,2000<=2010,A,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,0,0,3.966666667,0,9.927648,0,0,0
flats meer dan 4 verdiepingen,2010<=2020,A,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,0,0,3.966666667,0,9.927648,0,0,0
flats meer dan 4 verdiepingen,2020<=2030,A,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,0,0,3.966666667,0,9.927648,0,0,0
flats meer dan 4 verdiepingen,2030<=2040,A,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,0,0,3.966666667,0,9.927648,0,0,0
flats meer dan 4 verdiepingen,2040<=2050,A,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,14.22,0,0,0,3.966666667,0,9.927648,0,0,0
zelfstandige bejaardenwoning,2000<=2010,A,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,14.76,0,0,0,4.066666667,0,9.897408,0,0,0
