Jaar;P_CO2;RAT_CO2_KWH;P_CO2_KWH;KG_PC_COM_EXCL_CO2;KG_PC_CO2;KG_PC_DIS;KG_PC_TRANS;KG_PC_NET;KG_PC_SDE;KG_PC_BEL_EL;KG_PC_BTW;KG_P;KMG_PC_COM_EXCL_CO2;KMG_PC_CO2;KMG_PC_DIS;KMG_PC_TRANS;KMG_PC_NET;KMG_PC_SDE;KMG_PC_BEL_EL;KMG_PC_BTW;KMG_P;MMG_PC_COM_EXCL_CO2;MMG_PC_CO2;MMG_PC_DIS;MMG_PC_TRANS;MMG_PC_NET;MMG_PC_SDE;MMG_PC_BEL_EL;MMG_PC_BTW;MMG_P;GG_PC_COM_EXCL_CO2;GG_PC_CO2;GG_PC_DIS;GG_PC_TRANS;GG_PC_NET;GG_PC_SDE;GG_PC_BEL_EL;GG_PC_BTW;GG_P
2010;16.26;0.460;0.000;0.074;0.000;0.000;0.000;0.000;0.000;0.125;0.038;0.237;0.074;0.000;0.023;0.000;0.023;0.000;0.045;0.000;0.142;0.064;0.000;0.036;0.000;0.036;0.000;0.012;0.000;0.113;0.057;0.000;0.002;0.000;0.002;0.000;0.001;0.000;0.059
2011;14.44;0.442;0.000;0.072;0.000;0.000;0.000;0.000;0.000;0.122;0.037;0.231;0.072;0.000;0.024;0.000;0.024;0.000;0.044;0.000;0.140;0.062;0.000;0.037;0.000;0.037;0.000;0.012;0.000;0.112;0.059;0.000;0.001;0.000;0.001;0.000;0.001;0.000;0.060
2012;7.94;0.472;0.000;0.074;0.000;0.000;0.000;0.000;0.000;0.121;0.041;0.236;0.074;0.000;0.026;0.000;0.026;0.000;0.044;0.000;0.143;0.059;0.000;0.040;0.000;0.040;0.000;0.012;0.000;0.111;0.053;0.000;0.001;0.000;0.001;0.000;0.001;0.000;0.055
2013;4.80;0.481;0.000;0.068;0.000;0.000;0.000;0.000;0.001;0.122;0.040;0.231;0.068;0.000;0.026;0.000;0.026;0.001;0.044;0.000;0.139;0.056;0.000;0.042;0.000;0.042;0.000;0.012;0.000;0.110;0.054;0.000;0.001;0.000;0.001;0.000;0.001;0.000;0.055
2014;6.28;0.503;0.000;0.066;0.000;0.000;0.000;0.000;0.002;0.123;0.040;0.231;0.066;0.000;0.024;0.000;0.024;0.002;0.045;0.000;0.136;0.052;0.000;0.038;0.000;0.038;0.001;0.012;0.000;0.102;0.045;0.000;0.001;0.000;0.001;0.000;0.001;0.000;0.046
2015;8.26;0.529;0.000;0.059;0.000;0.000;0.000;0.000;0.004;0.124;0.039;0.226;0.059;0.000;0.023;0.000;0.023;0.003;0.047;0.000;0.131;0.046;0.000;0.037;0.000;0.037;0.001;0.013;0.000;0.096;0.042;0.000;0.001;0.000;0.001;0.000;0.001;0.000;0.043
2016;5.79;0.495;0.000;0.051;0.000;0.000;0.000;0.000;0.006;0.104;0.034;0.195;0.051;0.000;0.023;0.000;0.023;0.004;0.044;0.000;0.122;0.039;0.000;0.036;0.000;0.036;0.002;0.014;0.000;0.091;0.036;0.000;0.001;0.000;0.001;0.000;0.001;0.000;0.038
2017;5.88;0.453;0.000;0.054;0.000;0.000;0.000;0.000;0.008;0.103;0.035;0.200;0.054;0.000;0.024;0.000;0.024;0.007;0.043;0.000;0.128;0.041;0.000;0.037;0.000;0.037;0.003;0.013;0.000;0.094;0.039;0.000;0.001;0.000;0.001;0.000;0.001;0.000;0.041
2018;15.65;0.405;0.000;0.065;0.000;0.000;0.000;0.000;0.013;0.105;0.038;0.221;0.065;0.000;0.025;0.000;0.025;0.010;0.044;0.000;0.144;0.052;0.000;0.039;0.000;0.039;0.005;0.014;0.000;0.110;0.053;0.000;0.001;0.000;0.001;0.000;0.001;0.000;0.055
2019;21.64;0.341;0.000;0.087;0.000;0.000;0.000;0.000;0.018;0.096;0.042;0.244;0.087;0.000;0.022;0.000;0.022;0.027;0.052;0.000;0.188;0.073;0.000;0.033;0.000;0.033;0.007;0.014;0.000;0.127;0.071;0.000;0.001;0.000;0.001;0.000;0.001;0.000;0.073
