type_str,bouwjaar_str,Default_label,Vrv_N_asl,Vrv_N_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SND_min_asl,Ki_SND_min_opp,Ki_SND_max_asl,Ki_SND_max_opp,Ki_SGD_min_asl,Ki_SGD_min_opp,Ki_SGD_max_asl,Ki_SGD_max_opp,Ki_SFD_min_asl,Ki_SFD_min_opp,Ki_SFD_max_asl,Ki_SFD_max_opp,Ki_SED_min_asl,Ki_SED_min_opp,Ki_SED_max_asl,Ki_SED_max_opp,Ki_SNC_min_asl,Ki_SNC_min_opp,Ki_SNC_max_asl,Ki_SNC_max_opp,Ki_SGC_min_asl,Ki_SGC_min_opp,Ki_SGC_max_asl,Ki_SGC_max_opp,Ki_SFC_min_asl,Ki_SFC_min_opp,Ki_SFC_max_asl,Ki_SFC_max_opp,Ki_SEC_min_asl,Ki_SEC_min_opp,Ki_SEC_max_asl,Ki_SEC_max_opp,Ki_SDC_min_asl,Ki_SDC_min_opp,Ki_SDC_max_asl,Ki_SDC_max_opp,Ki_SNB_min_asl,Ki_SNB_min_opp,Ki_SNB_max_asl,Ki_SNB_max_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SNA_min_asl,Ki_SNA_min_opp,Ki_SNA_max_asl,Ki_SNA_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
vrijstaand,voor 1930,F,38.34044263,0.157709772,31.76777575,0.179139405,29.23456039,0.204505791,29.09762983,0.196940378,20.42265895,0.131599397,26.15362279,0.163974346,16.03621599,0.10469026,27.45446311,0.129810171,0,0.006621277,8.5,0,9.7,0,0,0.01296,2528.164,24.486,2311.219,47.144,16845.301,16.17,18566.192,40.283,2528.164,24.486,2311.219,47.144,4205,0,7016,0,8776.767,28.234,7795.878,59.262,11425.018,65.799,13910.794,93.594,8776.767,28.234,7795.878,59.262,4451.381,31.243,7063.837,41.39,5138.841,2.93,7785.715,2.727,6301.152,112.165,263.676,219.786,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,13735.342,36.261,16872.455,58.525,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,21203.08799,101.3711725,45139.9199,241.6212742,21203.08799,101.3711725,45139.9199,241.6212742,21203.08799,101.3711725,45139.9199,241.6212742,18978.98332,59.51556049,40286.8797,211.0926092,18978.98332,59.51556049,40286.8797,211.0926092,6913.668044,27.22185258,26758.10966,148.1593589,6913.668044,27.22185258,26758.10966,148.1593589
vrijstaand,1930 - 1945,F,42.41412679,0.148638123,34.36945639,0.178797079,31.39121671,0.195057583,26.25632071,0.221382483,23.92441839,0.154761658,33.95866471,0.127003094,23.97799304,0.139660784,29.74804999,0.131213709,0,0.006621277,8.5,0,9.7,0,0,0.01296,2528.164,24.486,2311.219,47.144,11617.076,37.53,12608.002,67.267,2528.164,24.486,2311.219,47.144,4205,0,7016,0,6897.523,31.299,6358.182,64.962,411.134,122.478,-3490.469,191.232,6897.523,31.299,6358.182,64.962,4124.368,28.405,7125.727,32.795,5371.488,3.917,8263.903,4.62,6301.152,112.165,263.676,219.786,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,13735.342,36.261,16872.455,58.525,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,21203.08799,101.3711725,45139.9199,241.6212742,21203.08799,101.3711725,45139.9199,241.6212742,21203.08799,101.3711725,45139.9199,241.6212742,18978.98332,59.51556049,40286.8797,211.0926092,18978.98332,59.51556049,40286.8797,211.0926092,6913.668044,27.22185258,26758.10966,148.1593589,6913.668044,27.22185258,26758.10966,148.1593589
vrijstaand,1946 - 1964,F,39.74398087,0.161269967,30.26153959,0.177564704,33.37670983,0.182151877,28.51567495,0.211318087,23.34566084,0.144662116,24.98971303,0.172053249,21.06565548,0.137624113,31.69931047,0.11604865,0,0.009176184,8.5,0,9.7,0,0,0.01296,413.29,34.536,716.866,49.661,11617.076,37.53,12608.002,67.267,413.29,34.536,716.866,49.661,-427.049,21.589,1648.447,18.48,6897.523,31.299,6358.182,64.962,411.134,122.478,-3490.469,191.232,6897.523,31.299,6358.182,64.962,4124.368,28.405,7125.727,32.795,5371.488,3.917,8263.903,4.62,6301.152,112.165,263.676,219.786,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,13735.342,36.261,16872.455,58.525,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,10994.30984,179.9002351,20631.97423,430.1439332,10994.30984,179.9002351,20631.97423,430.1439332,10994.30984,179.9002351,20631.97423,430.1439332,10994.30984,179.9002351,20631.97423,430.1439332,12884.58481,120.2276151,24679.93401,341.5824817,5179.74658,81.91352789,12933.83136,296.258127,5179.74658,81.91352789,12933.83136,296.258127
vrijstaand,1965 - 1974,D,31.84589732,0.192421669,16.64660516,0.269308179,33.42059876,0.180440245,35.71418564,0.176263863,25.73441686,0.187803686,21.40494212,0.199405128,18.4438322,0.141675632,18.49516772,0.183281555,0,0.009750179,9.2,0,9.56,0,0,0.01296,,,,,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,4269.825,10.563,7226.865,13.652,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,13069.773,22.924,17448.504,30.056,3479.47,13.097,4961.73,22.839,21217.989,28.447,25852.412,49.315,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,21217.989,28.447,25852.412,49.315,4853.327,42.792,3955.086,76.298,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,21527.61674,92.85088161,26511.2452,344.7452453,11673.04938,53.24521186,17888.50671,254.71797,11673.04938,53.24521186,17888.50671,254.71797
vrijstaand,1975 - 1991,C,32.22446332,0.15223255,16.64660516,0.269308179,35.95582108,0.155176557,20.37996988,0.232610789,27.8426854,0.184582395,24.17979292,0.181330294,13.05418492,0.194852187,19.90071292,0.155381953,0,0.008885914,9.7,0,9.46,0,0,0.01296,,,,,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,,,,,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,12890.357,19.762,13593.148,38.198,4269.825,10.563,7226.865,13.652,7114.102,23.433,11145.908,29.937,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,19308.279,41.439,23583.569,64.249,7114.102,23.433,11145.908,29.937,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,28247.74527,49.21368334,51158.619,184.6973635,20733.30708,39.86522284,41702.13545,159.5164313
vrijstaand,1992 - 1995,B,30.56436956,0.120430428,16.64660516,0.269308179,35.95582108,0.155176557,20.37996988,0.232610789,27.8426854,0.184582395,19.78108796,0.153054133,14.88582044,0.180508711,19.16490044,0.135287393,0,0,10.6,0,9.28,0,0,0.01296,,,,,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,,,,,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,12890.357,19.762,13593.148,38.198,4269.825,10.563,7226.865,13.652,,,,,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,19308.279,41.439,23583.569,64.249,3936.162,44.035,6132.409,61.136,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635
vrijstaand,1996 - 1999,B,29.09236604,0.108449004,16.64660516,0.269308179,35.95582108,0.155176557,20.37996988,0.232610789,27.8426854,0.184582395,15.63893852,0.165891373,12.31837244,0.168766915,18.1036886,0.131384872,0,0,10.6,0,9.28,0,0,0.01296,,,,,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,,,,,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,,,,,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635
vrijstaand,2000 - 2005,B,31.04362652,0.097939583,16.64660516,0.269308179,35.95582108,0.155176557,20.37996988,0.232610789,27.8426854,0.184582395,15.63893852,0.165891373,13.55074748,0.164282439,18.03522332,0.13018673,0,0,10.6,0,9.28,0,0,0.01296,,,,,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,,,,,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,,,,,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635,22035.24262,49.21368334,44946.11635,184.6973635
vrijstaand,2006 - 2010,A,35.18577596,0.068841839,16.64660516,0.269308179,35.95582108,0.155176557,20.37996988,0.232610789,27.8426854,0.184582395,15.63893852,0.165891373,13.55074748,0.164282439,17.65866428,0.121970896,0,0,10.6,0,9.28,0,0,0.01296,,,,,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,,,,,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,,,,,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vrijstaand,2011 - 2014,A,24.98444924,0.088936399,16.64660516,0.269308179,35.95582108,0.155176557,20.37996988,0.232610789,27.8426854,0.184582395,15.63893852,0.165891373,13.55074748,0.164282439,10.70943836,0.135698185,0,0,10.6,0,9.28,0,0,0.01296,,,,,12025.376,36.462,13449.371,65.065,2616.856,28.505,2653.228,49.865,4205,0,7016,0,,,,,411.134,122.478,-3490.469,191.232,9145.441,31.459,9333.907,68.809,6900.752,24.851,9519.484,31.712,5371.488,3.917,8263.903,4.62,,,,,32393.623,0.305,40584.786,12.608,6301.152,112.165,263.676,219.786,11664.957,72.761,11311.764,136.618,16415.643,39.544,21297.79,53.598,8177.926,22.283,11199.016,33.059,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
