"Jaar";"P_CO2";"RAT_NOx_GJ";"RAT_SO2_GJ";"RAT_VOS_GJ";"RAT_TS_GJ";"RAT_CO2_KWH";"P_CO2_KWH";"KG_PC_COM_EXCL_CO2";"KG_PC_CO2";"KG_PC_DIS";"KG_PC_TRANS";"KG_PC_NET";"KG_PC_SDE";"KG_PC_BEL_EL";"KG_PC_BTW";"KG_P";"KMG_PC_COM_EXCL_CO2";"KMG_PC_CO2";"KMG_PC_DIS";"KMG_PC_TRANS";"KMG_PC_NET";"KMG_PC_SDE";"KMG_PC_BEL_EL";"KMG_PC_BTW";"KMG_P";"MMG_PC_COM_EXCL_CO2";"MMG_PC_CO2";"MMG_PC_DIS";"MMG_PC_TRANS";"MMG_PC_NET";"MMG_PC_SDE";"MMG_PC_BEL_EL";"MMG_PC_BTW";"MMG_P";"GG_PC_COM_EXCL_CO2";"GG_PC_CO2";"GG_PC_DIS";"GG_PC_TRANS";"GG_PC_NET";"GG_PC_SDE";"GG_PC_BEL_EL";"GG_PC_BTW";"GG_P"
2010;16.26;76.00;25.00;2.00;1.00;0.46;0;0.074;0;0;0;0;0;0.125;0.038;0.237;0.074;0;0.023;0;0.023;0;0.045;0;0.142;0.064;0;0.036;0;0.036;0;0.012;0;0.113;0.057;0;0.002;0;0.002;0;0.001;0;0.059
2011;14.44;71.90;23.60;1.90;1.00;0.442;0;0.072;0;0;0;0;0;0.122;0.037;0.231;0.072;0;0.024;0;0.024;0;0.044;0;0.14;0.062;0;0.037;0;0.037;0;0.012;0;0.112;0.059;0;0.001;0;0.001;0;0.001;0;0.06
2012;7.94;67.80;22.20;1.80;1.00;0.472;0;0.074;0;0;0;0;0;0.121;0.041;0.236;0.074;0;0.026;0;0.026;0;0.044;0;0.143;0.059;0;0.04;0;0.04;0;0.012;0;0.111;0.053;0;0.001;0;0.001;0;0.001;0;0.055
2013;4.8;63.70;20.80;1.70;1.00;0.481;0;0.068;0;0;0;0;0.001;0.122;0.04;0.231;0.068;0;0.026;0;0.026;0.001;0.044;0;0.139;0.056;0;0.042;0;0.042;0;0.012;0;0.11;0.054;0;0.001;0;0.001;0;0.001;0;0.055
2014;6.28;59.60;19.40;1.60;1.00;0.503;0;0.066;0;0;0;0;0.002;0.123;0.04;0.231;0.066;0;0.024;0;0.024;0.002;0.045;0;0.136;0.052;0;0.038;0;0.038;0.001;0.012;0;0.102;0.045;0;0.001;0;0.001;0;0.001;0;0.046
2015;8.26;55.50;18.00;1.50;1.00;0.529;0;0.059;0;0;0;0;0.004;0.124;0.039;0.226;0.059;0;0.023;0;0.023;0.003;0.047;0;0.131;0.046;0;0.037;0;0.037;0.001;0.013;0;0.096;0.042;0;0.001;0;0.001;0;0.001;0;0.043
2016;5.79;51.40;16.60;1.40;1.00;0.495;0;0.051;0;0;0;0;0.006;0.104;0.034;0.195;0.051;0;0.023;0;0.023;0.004;0.044;0;0.122;0.039;0;0.036;0;0.036;0.002;0.014;0;0.091;0.036;0;0.001;0;0.001;0;0.001;0;0.038
2017;5.88;47.30;15.20;1.30;1.00;0.453;0;0.054;0;0;0;0;0.008;0.103;0.035;0.2;0.054;0;0.024;0;0.024;0.007;0.043;0;0.128;0.041;0;0.037;0;0.037;0.003;0.013;0;0.094;0.039;0;0.001;0;0.001;0;0.001;0;0.041
2018;15.65;43.20;13.80;1.20;1.00;0.405;0;0.065;0;0;0;0;0.013;0.105;0.038;0.221;0.065;0;0.025;0;0.025;0.01;0.044;0;0.144;0.052;0;0.039;0;0.039;0.005;0.014;0;0.11;0.053;0;0.001;0;0.001;0;0.001;0;0.055
2019;21.64;39.10;12.40;1.10;1.00;0.341;0;0.087;0;0;0;0;0.018;0.096;0.042;0.244;0.087;0;0.022;0;0.022;0.027;0.052;0;0.188;0.073;0;0.033;0;0.033;0.007;0.014;0;0.127;0.071;0;0.001;0;0.001;0;0.001;0;0.073
2020;21.54;35.00;11.00;1.00;1.00;0.3;0;0.087;0;0;0;0;0.026;0.094;0.043;0.25;0.087;0;0.022;0;0.022;0.036;0.049;0;0.193;0.073;0;0.033;0;0.033;0.02;0.013;0;0.138;0.071;0;0.001;0;0.001;0;0.001;0;0.073
2021;21.51;32.50;10.20;0.90;0.90;0.281;0;0.087;0;0;0;0;0.027;0.094;0.044;0.252;0.087;0;0.022;0;0.022;0.023;0.049;0;0.18;0.073;0;0.033;0;0.033;0.011;0.013;0;0.129;0.071;0;0.001;0;0.001;0;0.001;0;0.073
2022;24.35;30.00;9.40;0.80;0.80;0.269;0;0.087;0;0;0;0;0.028;0.094;0.044;0.252;0.087;0;0.022;0;0.022;0.023;0.049;0;0.18;0.073;0;0.033;0;0.033;0.011;0.013;0;0.129;0.071;0;0.001;0;0.001;0;0.001;0;0.073
2023;27.2;27.50;8.60;0.70;0.70;0.245;0;0.087;0;0;0;0;0.029;0.094;0.044;0.253;0.087;0;0.022;0;0.022;0.024;0.049;0;0.181;0.073;0;0.033;0;0.033;0.011;0.013;0;0.13;0.071;0;0.001;0;0.001;0;0.001;0;0.073
2024;30.04;25.00;7.80;0.60;0.60;0.225;0;0.087;0;0;0;0;0.03;0.094;0.044;0.255;0.087;0;0.022;0;0.022;0.025;0.049;0;0.183;0.073;0;0.033;0;0.033;0.012;0.013;0;0.13;0.071;0;0.001;0;0.001;0;0.001;0;0.073
2025;32.88;22.50;7.00;0.50;0.50;0.21;0;0.087;0;0;0;0;0.031;0.094;0.045;0.256;0.087;0;0.022;0;0.022;0.026;0.049;0;0.183;0.073;0;0.033;0;0.033;0.012;0.013;0;0.131;0.071;0;0.001;0;0.001;0;0.001;0;0.073
