type_str,bouwjaar_str,Default_label,Vrv_N_asl,Vrv_N_opp,Vrv_G_asl,Vrv_G_opp,Vrv_F_asl,Vrv_F_opp,Vrv_E_asl,Vrv_E_opp,Vrv_D_asl,Vrv_D_opp,Vrv_C_asl,Vrv_C_opp,Vrv_B_asl,Vrv_B_opp,Vrv_A_asl,Vrv_A_opp,Vvent_asl,Vvent_opp,Vww_asl,Vww_opp,Ve_asl,Ve_opp,Vk_asl,Vk_opp,Ki_SGB_min_asl,Ki_SGB_min_opp,Ki_SGB_max_asl,Ki_SGB_max_opp,Ki_SFB_min_asl,Ki_SFB_min_opp,Ki_SFB_max_asl,Ki_SFB_max_opp,Ki_SEB_min_asl,Ki_SEB_min_opp,Ki_SEB_max_asl,Ki_SEB_max_opp,Ki_SDB_min_asl,Ki_SDB_min_opp,Ki_SDB_max_asl,Ki_SDB_max_opp,Ki_SCB_min_asl,Ki_SCB_min_opp,Ki_SCB_max_asl,Ki_SCB_max_opp,Ki_SGA_min_asl,Ki_SGA_min_opp,Ki_SGA_max_asl,Ki_SGA_max_opp,Ki_SFA_min_asl,Ki_SFA_min_opp,Ki_SFA_max_asl,Ki_SFA_max_opp,Ki_SEA_min_asl,Ki_SEA_min_opp,Ki_SEA_max_asl,Ki_SEA_max_opp,Ki_SDA_min_asl,Ki_SDA_min_opp,Ki_SDA_max_asl,Ki_SDA_max_opp,Ki_SCA_min_asl,Ki_SCA_min_opp,Ki_SCA_max_asl,Ki_SCA_max_opp,Ki_SBA_min_asl,Ki_SBA_min_opp,Ki_SBA_max_asl,Ki_SBA_max_opp
Kantoor,0<=1920,G,0.0000000,1.0133626,0.0000000,1.0133626,0.0000000,1.0133626,0.0000000,1.0133626,0.0000000,1.0133626,0.0000000,1.0133626,0.0000000,0.2682770,0.0000000,0.1877939,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.4540000,0.0000000,0.0868020,0.0000000,125.0000000,0.0000000,186.0000000,0.0000000,125.0000000,0.0000000,186.0000000,0.0000000,125.0000000,0.0000000,186.0000000,0.0000000,125.0000000,0.0000000,186.0000000,0.0000000,125.0000000,0.0000000,186.0000000,0.0000000,150.0000000,0.0000000,224.0000000,0.0000000,150.0000000,0.0000000,224.0000000,0.0000000,150.0000000,0.0000000,224.0000000,0.0000000,150.0000000,0.0000000,224.0000000,0.0000000,150.0000000,0.0000000,224.0000000,0.0000000,119.0000000,0.0000000,177.0000000
Kantoor,1920<=1975,E,0.0000000,0.7957236,0.0000000,0.7957236,0.0000000,0.7957236,0.0000000,0.7957236,0.0000000,0.7957236,0.0000000,0.7957236,0.0000000,0.2381008,0.0000000,0.1666706,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.4540000,0.0000000,0.0868020,0.0000000,124.4596542,0.0000000,185.1627000,0.0000000,124.4597000,0.0000000,185.1627000,0.0000000,124.4597000,0.0000000,185.1627000,0.0000000,124.4597000,0.0000000,185.1627000,0.0000000,124.4597000,0.0000000,185.1627000,0.0000000,149.5180000,0.0000000,223.3236000,0.0000000,149.5180000,0.0000000,223.3236000,0.0000000,149.5180000,0.0000000,223.3236000,0.0000000,149.5180000,0.0000000,223.3236000,0.0000000,149.5180000,0.0000000,223.3236000,0.0000000,119.0021000,0.0000000,177.0000000
Kantoor,1975<=1990,C,0.0000000,0.4058395,0.0000000,0.4058395,0.0000000,0.4058395,0.0000000,0.4058395,0.0000000,0.4058395,0.0000000,0.4058395,0.0000000,0.2239576,0.0000000,0.1567703,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.4540000,0.0000000,0.0868020,0.0000000,114.8895292,0.0000000,178.7395000,0.0000000,114.8895000,0.0000000,178.7395000,0.0000000,114.8895000,0.0000000,178.7395000,0.0000000,114.8895000,0.0000000,178.7395000,0.0000000,114.8895000,0.0000000,178.7395000,0.0000000,140.9773000,0.0000000,218.1342000,0.0000000,140.9773000,0.0000000,218.1342000,0.0000000,140.9773000,0.0000000,218.1342000,0.0000000,140.9773000,0.0000000,218.1342000,0.0000000,140.9773000,0.0000000,218.1342000,0.0000000,119.0251000,0.0000000,177.0000000
Kantoor,1990<=1995,B,0.0000000,0.3731983,0.0000000,0.3731983,0.0000000,0.3731983,0.0000000,0.3731983,0.0000000,0.3731983,0.0000000,0.3731983,0.0000000,0.2202573,0.0000000,0.1541801,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.4540000,0.0000000,0.0868020,0.0000000,112.3799231,0.0000000,174.5781000,0.0000000,112.3799000,0.0000000,174.5781000,0.0000000,112.3799000,0.0000000,174.5781000,0.0000000,112.3799000,0.0000000,174.5781000,0.0000000,112.3799000,0.0000000,174.5781000,0.0000000,138.7294000,0.0000000,214.7723000,0.0000000,138.7294000,0.0000000,214.7723000,0.0000000,138.7294000,0.0000000,214.7723000,0.0000000,138.7294000,0.0000000,214.7723000,0.0000000,138.7294000,0.0000000,214.7723000,0.0000000,119.0056000,0.0000000,177.0000000
Kantoor,1995<=2019,B,0.0000000,0.3055828,0.0000000,0.3055828,0.0000000,0.3055828,0.0000000,0.3055828,0.0000000,0.3055828,0.0000000,0.3055828,0.0000000,0.2093062,0.0000000,0.1465143,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.4540000,0.0000000,0.0868020,0.0000000,107.3246878,0.0000000,170.7541000,0.0000000,107.3247000,0.0000000,170.7541000,0.0000000,107.3247000,0.0000000,170.7541000,0.0000000,107.3247000,0.0000000,170.7541000,0.0000000,107.3247000,0.0000000,170.7541000,0.0000000,134.2181000,0.0000000,211.6829000,0.0000000,134.2181000,0.0000000,211.6829000,0.0000000,134.2181000,0.0000000,211.6829000,0.0000000,134.2181000,0.0000000,211.6829000,0.0000000,134.2181000,0.0000000,211.6829000,0.0000000,119.0182000,0.0000000,177.0000000
Kantoor,onbekend,D,0.0000000,0.5093824,0.0000000,0.5093824,0.0000000,0.5093824,0.0000000,0.5093824,0.0000000,0.5093824,0.0000000,0.5093824,0.0000000,0.2238338,0.0000000,0.1566836,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.4540000,0.0000000,0.0868020,0.0000000,114.2291066,0.0000000,176.8775000,0.0000000,114.2291000,0.0000000,176.8775000,0.0000000,114.2291000,0.0000000,176.8775000,0.0000000,114.2291000,0.0000000,176.8775000,0.0000000,114.2291000,0.0000000,176.8775000,0.0000000,140.3838000,0.0000000,216.6198000,0.0000000,140.3838000,0.0000000,216.6198000,0.0000000,140.3838000,0.0000000,216.6198000,0.0000000,140.3838000,0.0000000,216.6198000,0.0000000,140.3838000,0.0000000,216.6198000,0.0000000,119.0138000,0.0000000,176.9758000
Winkel,0<=1920,G,0.0000000,0.5107142,0.0000000,0.5107142,0.0000000,0.5107142,0.0000000,0.5107142,0.0000000,0.5107142,0.0000000,0.5107142,0.0000000,0.1462210,0.0000000,0.1023547,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.5670000,0.0000000,0.0352788,0.0000000,156.0000000,0.0000000,226.0000000,0.0000000,156.0000000,0.0000000,226.0000000,0.0000000,156.0000000,0.0000000,226.0000000,0.0000000,156.0000000,0.0000000,226.0000000,0.0000000,156.0000000,0.0000000,226.0000000,0.0000000,187.0000000,0.0000000,271.0000000,0.0000000,187.0000000,0.0000000,271.0000000,0.0000000,187.0000000,0.0000000,271.0000000,0.0000000,187.0000000,0.0000000,271.0000000,0.0000000,187.0000000,0.0000000,271.0000000,0.0000000,148.0000000,0.0000000,215.0000000
Winkel,1920<=1975,E,0.0000000,0.4048132,0.0000000,0.4048132,0.0000000,0.4048132,0.0000000,0.4048132,0.0000000,0.4048132,0.0000000,0.4048132,0.0000000,0.1305567,0.0000000,0.0913897,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.5670000,0.0000000,0.0352788,0.0000000,155.3903768,0.0000000,225.0098000,0.0000000,155.3904000,0.0000000,225.0098000,0.0000000,155.3904000,0.0000000,225.0098000,0.0000000,155.3904000,0.0000000,225.0098000,0.0000000,155.3904000,0.0000000,225.0098000,0.0000000,186.4470000,0.0000000,270.2039000,0.0000000,186.4470000,0.0000000,270.2039000,0.0000000,186.4470000,0.0000000,270.2039000,0.0000000,186.4470000,0.0000000,270.2039000,0.0000000,186.4470000,0.0000000,270.2039000,0.0000000,148.0000000,0.0000000,215.0000000
Winkel,1975<=1990,C,0.0000000,0.2083589,0.0000000,0.2083589,0.0000000,0.2083589,0.0000000,0.2083589,0.0000000,0.2083589,0.0000000,0.2083589,0.0000000,0.1196622,0.0000000,0.0837635,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.5670000,0.0000000,0.0352788,0.0000000,141.4960514,0.0000000,216.7750000,0.0000000,141.4961000,0.0000000,216.7750000,0.0000000,141.4961000,0.0000000,216.7750000,0.0000000,141.4961000,0.0000000,216.7750000,0.0000000,141.4961000,0.0000000,216.7750000,0.0000000,173.8420000,0.0000000,263.5836000,0.0000000,173.8420000,0.0000000,263.5836000,0.0000000,173.8420000,0.0000000,263.5836000,0.0000000,173.8420000,0.0000000,263.5836000,0.0000000,173.8420000,0.0000000,263.5836000,0.0000000,148.0000000,0.0000000,215.0000000
Winkel,1990<=1995,B,0.0000000,0.1968895,0.0000000,0.1968895,0.0000000,0.1968895,0.0000000,0.1968895,0.0000000,0.1968895,0.0000000,0.1968895,0.0000000,0.1145038,0.0000000,0.0801527,0.0000000,0.0000000,0.0000000,0.0037768,0.0000000,0.5670000,0.0000000,0.0352788,0.0000000,138.7400471,0.0000000,211.8993000,0.0000000,138.7400000,0.0000000,211.8993000,0.0000000,138.7400000,0.0000000,211.8993000,0.0000000,138.7400000,0.0000000,211.8993000,0.0000000,138.7400000,0.0000000,211.8993000,0.0000000,171.3418000,0.0000000,259.6638000,0.0000000,171.3418000,0.0000000,259.6638000,0.0000000,171.3418000,0.0000000,259.6638000,0.0000000,171.3418000,0.0000000,259.6638000,0.0000000,171.3418000,0.0000000,259.6638000,0.0000000,148.0000000,0.0000000,215.0000000
