type_str	bouwjaar_str	Default_label	Vrv_asl	Vrv_opp	Vvt_asl	Vvt_opp	Vtw_asl	Vtw_opp	Vea_asl	Vea_opp	Vkd_asl	Vkd_opp	Vkk_asl	Vkk_opp
vrijstaand	voor 1930	F	31.76777575	0.179139405	0	0.006621277	8.5	0	9.7	0	0	0.01296	1.3	0
vrijstaand	1930 - 1945	F	34.36945639	0.178797079	0	0.006621277	8.5	0	9.7	0	0	0.01296	1.3	0
vrijstaand	1946 - 1964	F	30.26153959	0.177564704	0	0.009176184	8.5	0	9.7	0	0	0.01296	1.3	0
vrijstaand	1965 - 1974	D	16.64660516	0.269308179	0	0.009750179	9.2	0	9.56	0	0	0.01296	1.3	0
vrijstaand	1975 - 1991	C	16.64660516	0.269308179	0	0.008885914	9.7	0	9.46	0	0	0.01296	1.3	0
vrijstaand	1992 - 1995	B	16.64660516	0.269308179	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
vrijstaand	1996 - 1999	B	16.64660516	0.269308179	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
vrijstaand	2000 - 2005	B	16.64660516	0.269308179	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
vrijstaand	2006 - 2010	A	16.64660516	0.269308179	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
vrijstaand	2011 - 2014	A	16.64660516	0.269308179	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
vrijstaand	2015 - 2020	A	16.64660516	0.269308179	0	0	10.6	0	9.28	0	0	0.01296	1.3	0
vrijstaand	2021 - 2030	A	30.96	0	0	0	7.066666667	0	11.082384	0	0	0.01296	1.3	0
vrijstaand	2031 - 2040	A	30.96	0	0	0	7.066666667	0	11.082384	0	0	0.01296	1.3	0
vrijstaand	2041 - 2050	A	30.96	0	0	0	7.066666667	0	11.082384	0	0	0.01296	1.3	0
2 onder 1 kap	voor 1930	F	19.78108796	0.181193364	0	0.007766557	7.5	0	9.9	0	0	0.01296	1.3	0
2 onder 1 kap	1930 - 1945	F	22.82779292	0.173867579	0	0.007766557	7.5	0	9.9	0	0	0.01296	1.3	0
2 onder 1 kap	1946 - 1964	E	21.39002204	0.157949401	0	0.009481846	7.5	0	9.9	0	0	0.01296	1.3	0
2 onder 1 kap	1965 - 1974	D	25.77304981	0.172155947	0	0.010574889	8.2	0	9.77	0	0	0.01296	1.3	0
2 onder 1 kap	1975 - 1991	C	25.77304981	0.172155947	0	0.007232955	8.2	0	9.77	0	0	0.01296	1.3	0
2 onder 1 kap	1992 - 1995	B	25.77304981	0.172155947	0	0	8.6	0	9.68	0	0	0.01296	1.3	0
2 onder 1 kap	1996 - 1999	B	25.77304981	0.172155947	0	0	8.6	0	9.68	0	0	0.01296	1.3	0
2 onder 1 kap	2000 - 2005	A	25.77304981	0.172155947	0	0	8.6	0	9.68	0	0	0.01296	1.3	0
2 onder 1 kap	2006 - 2010	A	25.77304981	0.172155947	0	0	8.6	0	9.68	0	0	0.01296	1.3	0
2 onder 1 kap	2011 - 2014	A	25.77304981	0.172155947	0	0	8.6	0	9.68	0	0	0.01296	1.3	0
2 onder 1 kap	2015 - 2020	A	25.77304981	0.172155947	0	0	8.6	0	9.68	0	0	0.01296	1.3	0
2 onder 1 kap	2021 - 2030	A	23.76	0	0	0	5.733333333	0	11.485584	0	0	0.01296	1.3	0
