type_str	bouwjaar_str	Vrv_N_asl	Vrv_N_opp	Vrv_G_asl	Vrv_G_opp	Vrv_F_asl	Vrv_F_opp	Vrv_E_asl	Vrv_E_opp	Vrv_D_asl	Vrv_D_opp	Vrv_C_asl	Vrv_C_opp	Vrv_B_asl	Vrv_B_opp	Vrv_A_asl	Vrv_A_opp	Vvt_asl	Vvt_opp	Vtw_asl	Vtw_opp	Vea_asl	Vea_opp	Vkd_asl	Vkd_opp	Vkk_asl	Vkk_opp
Kantoor	0<=1920	0	0.98134404	0	0.98134404	0	0.98134404	0	0.98134404	0	0.98134404	0	0.210028709	0	0.210028709	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	1920<=1975	0	0.770581577	0	0.770581577	0	0.770581577	0	0.770581577	0	0.770581577	0	0.770581577	0	0.210028709	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	1975<=1990	0	0.393016494	0	0.393016494	0	0.393016494	0	0.393016494	0	0.393016494	0	0.210028709	0	0.210028709	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	1990<=1995	0	0.361406554	0	0.361406554	0	0.361406554	0	0.361406554	0	0.361406554	0	0.361406554	0	0.361406554	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	1995<=2019	0	0.295927522	0	0.295927522	0	0.295927522	0	0.295927522	0	0.295927522	0	0.295927522	0	0.295927522	0	0.147020096	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Kantoor	2020<=2030	0	0.49328773	0	0.49328773	0	0.49328773	0	0.49328773	0	0.49328773	0	0.218708383	0	0.218708383	0	0.153095868	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Kantoor	2030<=2040	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Kantoor	2040<=2050	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0	0	0.003533557	0	432	0	0.08259888	0.2	0
Kantoor	onbekend	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0.145198761	0	0	0	0.003776774	0	454	0	0.086802003	0.2	0
Winkel	0<=1920	0	0.494577526	0	0.494577526	0	0.494577526	0	0.494577526	0	0.494577526	0	0.105826531	0	0.105826531	0	0.074078572	0	0	0	0.003776774	0	567	0	0.035278814	0.2	0
