"type_str"	"bouwjaar_str"	"Default_label"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"	"Vkk_asl"	"Vkk_opp"
"vrijstaand"	"voor 1930"	"F"	38.3404426311	0.1577097725	31.7677757511	0.1791394051	29.2345603911	0.2045057914	29.0976298311	0.1969403779	26.2905533511	0.1860201658	26.1536227911	0.1639743456	25.7336675228	0.1379217992	27.4544631111	0.1298101709	0	0.006621277	8.5	0	9.7	0	0	0.01296	0.7596	0
"vrijstaand"	"1930 - 1945"	"F"	42.4141267911	0.1486381229	34.3694563911	0.1787970787	31.3912167111	0.1950575827	26.2563207111	0.2213824829	28.7210707911	0.1787970787	33.9586647111	0.1270030944	31.0611189924	0.1080132997	29.7480499911	0.1312137091	0	0.006621277	8.5	0	9.7	0	0	0.01296	0.7596	0
"vrijstaand"	"1946 - 1964"	"F"	39.7439808711	0.161269967	30.2615395911	0.1775647037	33.3767098311	0.1821518774	28.5156749511	0.2113180867	25.6743658311	0.1899569194	24.9897130311	0.1720532486	16.6364989314	0.1884235467	31.6993104711	0.1160486496	0	0.009176184	8.5	0	9.7	0	0	0.01296	0.7596	0
"vrijstaand"	"1965 - 1974"	"D"	31.8458973156	0.1924216694	16.6466051556	0.2693081789	33.4205987556	0.1804402454	35.7141856356	0.1762638634	26.9506297956	0.2049508157	21.4049421156	0.199405128	16.5829776182	0.1776128703	18.4951677156	0.1832815546	0	0.009750179	9.2	0	9.56	0	0	0.01296	0.7596	0
"vrijstaand"	"1975 - 1991"	"C"	32.2244633244	0.1522325501	16.6466051556	0.2693081789	35.9558210844	0.1551765571	20.3799698844	0.2326107888	27.8426854044	0.1845823949	24.1797929244	0.1813302941	11.8804464043	0.1773324782	19.9007129244	0.155381953	0	0.008885914	9.7	0	9.46	0	0	0.01296	0.7596	0
"vrijstaand"	"1992 - 1995"	"B"	30.5643695644	0.1204304275	16.6466051556	0.2693081789	35.9558210844	0.1551765571	20.3799698844	0.2326107888	27.8426854044	0.1845823949	19.7810879644	0.1530541334	13.5473944178	0.1642786643	19.1649004444	0.1352873933	0	0	10.6	0	9.28	0	0	0.01296	0.7596	0
"vrijstaand"	"1996 - 1999"	"B"	29.0923660444	0.1084490035	16.6466051556	0.2693081789	35.9558210844	0.1551765571	20.3799698844	0.2326107888	27.8426854044	0.1845823949	15.6389385244	0.1658913734	11.2107928961	0.1535926067	18.1036886044	0.1313848723	0	0	10.6	0	9.28	0	0	0.01296	0.7596	0
"vrijstaand"	"2000 - 2005"	"B"	31.0436265244	0.097939583	16.6466051556	0.2693081789	35.9558210844	0.1551765571	20.3799698844	0.2326107888	27.8426854044	0.1845823949	15.6389385244	0.1658913734	12.3323616265	0.1495113427	18.0352233244	0.1301867299	0	0	10.6	0	9.28	0	0	0.01296	0.7596	0
"vrijstaand"	"2006 - 2010"	"A"	35.1857759644	0.068841839	16.6466051556	0.2693081789	35.9558210844	0.1551765571	20.3799698844	0.2326107888	27.8426854044	0.1845823949	15.6389385244	0.1658913734	12.3323616265	0.1495113427	17.6586642844	0.1219708963	0	0	10.6	0	9.28	0	0	0.01296	0.7596	0
"vrijstaand"	"2011 - 2014"	"A"	24.9844492444	0.0889363987	16.6466051556	0.2693081789	35.9558210844	0.1551765571	20.3799698844	0.2326107888	27.8426854044	0.1845823949	15.6389385244	0.1658913734	12.3323616265	0.1495113427	10.7094383644	0.135698185	0	0	10.6	0	9.28	0	0	0.01296	0.7596	0
"vrijstaand"	"2015 - 2020"	"A"	13.4480495644	0.1025952221	16.6466051556	0.2693081789	35.9558210844	0.1551765571	20.3799698844	0.2326107888	27.8426854044	0.1845823949	15.6389385244	0.1658913734	12.3323616265	0.1495113427	1.3296950044	0.1263184416	0	0	10.6	0	9.28	0	0	0.01296	0.7596	0
"vrijstaand"	"2021 - 2030"	"A"	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	0	0	7.066666667	0	11.082384	0	0	0.01296	0.7596	0
"vrijstaand"	"2031 - 2040"	"A"	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	0	0	7.066666667	0	11.082384	0	0	0.01296	0.7596	0
"vrijstaand"	"2041 - 2050"	"A"	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	30.96	0	0	0	7.066666667	0	11.082384	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"voor 1930"	"F"	25.3267756444	0.1500074285	19.7810879644	0.1811933635	21.6981158044	0.1664390957	18.2406191644	0.1644536026	15.5362406044	0.1731829258	15.9812649244	0.1512055709	3.0002666037	0.2326717455	9.6824591644	0.1615438282	0	0.007766557	7.5	0	9.9	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"1930 - 1945"	"F"	28.9554354844	0.1457968138	22.8277929244	0.1738675786	23.2385846044	0.1644878352	20.3972754844	0.1679110992	20.3630428444	0.153567623	15.9812649244	0.1768115856	3.0002666037	0.2326717455	9.6824591644	0.1615438282	0	0.007766557	7.5	0	9.9	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"1946 - 1964"	"E"	30.2220431644	0.1115641738	21.3900220444	0.157949401	26.0798937244	0.1184449344	24.8132860444	0.1178287469	20.1918796444	0.1128307814	16.2208934044	0.1328911085	9.721894807	0.1596063543	12.1472092444	0.1460706749	0	0.009481846	7.5	0	9.9	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"1965 - 1974"	"D"	38.3021960533	0.1018763366	25.7730498133	0.1721559466	17.1121918933	0.2208689933	21.6309003733	0.1865336554	25.0883970133	0.1427843414	19.7138725333	0.1550738592	13.2454663636	0.167103555	9.0332888533	0.1949548848	0	0.010574889	8.2	0	9.77	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"1975 - 1991"	"C"	31.6268312533	0.1019790346	25.7730498133	0.1721559466	32.7565083733	0.0456321091	9.8206395733	0.2582168035	23.2740670933	0.144256345	22.5551816533	0.1310083133	17.8989012735	0.1200844731	14.9897682133	0.1617149914	0	0.007232955	8.2	0	9.77	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"1992 - 1995"	"B"	23.3588344889	0.1053680659	25.7730498133	0.1721559466	32.7565083733	0.0456321091	9.8206395733	0.2582168035	23.2740670933	0.144256345	11.1720146489	0.174107207	12.1298123096	0.1520445226	11.9251327289	0.1551765571	0	0	8.6	0	9.68	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"1996 - 1999"	"B"	23.9065567289	0.1029717811	25.7730498133	0.1721559466	32.7565083733	0.0456321091	9.8206395733	0.2582168035	23.2740670933	0.144256345	17.2996572089	0.123237504	12.5175985521	0.1341740399	21.5102719289	0.0867112771	0	0	8.6	0	9.68	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"2000 - 2005"	"A"	27.6379144889	0.0740109677	25.7730498133	0.1721559466	32.7565083733	0.0456321091	9.8206395733	0.2582168035	23.2740670933	0.144256345	17.2996572089	0.123237504	14.3918987242	0.1088063565	11.3431778489	0.1233402019	0	0	8.6	0	9.68	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"2006 - 2010"	"A"	26.4055394489	0.0655897382	25.7730498133	0.1721559466	32.7565083733	0.0456321091	9.8206395733	0.2582168035	23.2740670933	0.144256345	17.2996572089	0.123237504	14.1656900827	0.0818552127	13.6709973689	0.0993431213	0	0	8.6	0	9.68	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"2011 - 2014"	"A"	21.7156677689	0.0617214499	25.7730498133	0.1721559466	32.7565083733	0.0456321091	9.8206395733	0.2582168035	23.2740670933	0.144256345	17.2996572089	0.123237504	14.1656900827	0.0818552127	13.6025320889	0.0801728429	0	0	8.6	0	9.68	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"2015 - 2020"	"A"	13.6709973689	0.0827402909	25.7730498133	0.1721559466	32.7565083733	0.0456321091	9.8206395733	0.2582168035	23.2740670933	0.144256345	17.2996572089	0.123237504	14.1656900827	0.0818552127	4.3254866489	0.1272084902	0	0	8.6	0	9.68	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"2021 - 2030"	"A"	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	0	0	5.733333333	0	11.485584	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"2031 - 2040"	"A"	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	0	0	5.733333333	0	11.485584	0	0	0.01296	0.7596	0
"2 onder 1 kap"	"2041 - 2050"	"A"	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	23.76	0	0	0	5.733333333	0	11.485584	0	0	0.01296	0.7596	0
"rijwoning hoek"	"voor 1930"	"E"	24.1548380089	0.1595241024	22.6828344889	0.1642482067	22.5116712889	0.1590790781	14.9462578489	0.2153233056	14.0904418489	0.1798582906	9.3321048889	0.2236418371	15.6091393287	0.1342030806	9.8798271289	0.1830419261	0	0.008135673	7.1	0	9.98	0	0	0.01296	0.7596	0
"rijwoning hoek"	"1930 - 1945"	"E"	31.1040639289	0.1349792995	29.3239666489	0.1423735498	27.8861957689	0.1532252966	13.2346258489	0.2449003066	14.5354661689	0.2036157427	9.0582437689	0.2272362643	15.2306178193	0.1468319346	14.9120252089	0.109544448	0	0.008135673	7.1	0	9.98	0	0	0.01296	0.7596	0
"rijwoning hoek"	"1946 - 1964"	"E"	32.8499285689	0.0941055274	23.6413484089	0.1550053939	22.6143692089	0.1657202102	22.9566956089	0.1497335674	17.3083100089	0.155381953	16.2128655289	0.1481588659	13.54447655	0.1450769713	16.1101676089	0.1088255626	0	0.007684654	6.4	0	10.13	0	0	0.01296	0.7596	0
"rijwoning hoek"	"1965 - 1974"	"D"	33.6715119289	0.0851708083	21.7243205689	0.1671922138	20.9027372089	0.162125783	19.8415253689	0.1603456858	23.7098136889	0.1206015907	18.7460808889	0.141586199	12.9938998091	0.1544023648	13.5769522489	0.1452490915	0	0.007517702	7.3	0	9.94	0	0	0.01296	0.7596	0
