"type_str"	"bouwjaar_str"	"eigendom_str"	"Default_label"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"
"Vrijstaand"	"voor 1930"	"koop"	"G"	45.5317	0.1434	36.7911	0.1812	39.7229	0.1812	42.9114	0.1812	35.8968	0.1812	38.0701	0.1812	38.0701	0.1812	38.0701	0.1812	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"voor 1930"	"parthuur"	"G"	45.3546	0.1522	40.5899	0.1904	38.1809	0.1904	38.1809	0.1904	38.1809	0.1904	38.1809	0.1904	38.1809	0.1904	38.1809	0.1904	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"voor 1930"	"wooncorp"	"G"	32.1892	0.2174	53.1149	0.0279	53.1149	0.0279	53.1149	0.0279	53.1149	0.0279	53.1149	0.0279	53.1149	0.0279	53.1149	0.0279	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1930 - 1945"	"koop"	"G"	47.4961	0.1423	38.9504	0.1805	42.4989	0.1805	49.7826	0.1805	39.8058	0.1805	43.2005	0.1805	43.2005	0.1805	43.2005	0.1805	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1930 - 1945"	"parthuur"	"G"	47.0129	0.1609	52.1523	0.1537	52.1523	0.1537	52.1523	0.1537	52.1523	0.1537	52.1523	0.1537	52.1523	0.1537	52.1523	0.1537	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1930 - 1945"	"wooncorp"	"G"	47.4961	0.1423	48.9636	0.1685	48.1692	0.1685	47.3748	0.1685	46.5805	0.1685	46.5805	0.1685	46.5805	0.1685	46.5805	0.1685	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1946 - 1964"	"koop"	"F"	46.3599	0.1534	33.7473	0.2253	33.039	0.2253	35.4591	0.2253	36.5582	0.2253	27.6091	0.2253	27.6091	0.2253	27.6091	0.2253	0	0.0092	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1946 - 1964"	"parthuur"	"F"	45.866	0.1747	32.4708	0.2498	32.4708	0.2498	28.7724	0.2498	28.7724	0.2498	28.7724	0.2498	28.7724	0.2498	28.7724	0.2498	0	0.0092	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1946 - 1964"	"wooncorp"	"F"	48.0111	0.1125	50.3542	0.0996	46.3338	0.0996	41.7386	0.0996	37.2385	0.0996	39.2093	0.0996	39.2093	0.0996	39.2093	0.0996	0	0.0092	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1965 - 1974"	"koop"	"D"	44.1541	0.1686	35.4743	0.2169	35.4743	0.2169	36.5949	0.2169	34.4275	0.2169	31.0202	0.2169	31.0202	0.2169	31.0202	0.2169	0	0.0098	9.2	0	9.56	0	0	0.01296
"Vrijstaand"	"1965 - 1974"	"parthuur"	"D"	42.5987	0.1862	35.4743	0.2169	35.4743	0.2169	36.5949	0.2169	34.4275	0.2169	31.0202	0.2169	31.0202	0.2169	31.0202	0.2169	0	0.0098	9.2	0	9.56	0	0	0.01296
"Vrijstaand"	"1965 - 1974"	"wooncorp"	"D"	44.1541	0.1686	35.4743	0.2169	35.4743	0.2169	36.5949	0.2169	34.4275	0.2169	31.0202	0.2169	31.0202	0.2169	31.0202	0.2169	0	0.0098	9.2	0	9.56	0	0	0.01296
"Vrijstaand"	"1975 - 1991"	"koop"	"C"	34.1057	0.1927	38.2974	0.1987	38.2974	0.1987	38.2974	0.1987	38.2974	0.1987	34.3197	0.1987	28.7494	0.1987	28.7494	0.1987	0	0.0089	9.7	0	9.46	0	0	0.01296
"Vrijstaand"	"1975 - 1991"	"parthuur"	"C"	35.5518	0.1899	23.9671	0.245	23.9671	0.245	23.9671	0.245	23.9671	0.245	23.9671	0.245	23.9671	0.245	23.9671	0.245	0	0.0089	9.7	0	9.46	0	0	0.01296
