gem2020,wijk2020,W,E,Verschilfactor totaal
GM0003,WK000300,1,0,0.8936
GM0003,WK000300,1,1,0.9484
GM0003,WK000300,1,2,0.9484
GM0003,WK000300,2,0,0.9290
GM0003,WK000300,2,1,0.9853
GM0003,WK000300,2,2,1.0704
GM0003,WK000300,3,0,0.9881
GM0003,WK000300,3,1,0.9929
GM0003,WK000300,3,2,0.9898
GM0003,WK000300,4,0,1.0414
GM0003,WK000300,4,1,1.0375
GM0003,WK000300,4,2,1.1217
GM0003,WK000300,5,0,1.0355
GM0003,WK000300,5,1,1.0205
GM0003,WK000300,5,2,1.0942
GM0003,WK000300,6,0,1.0596
GM0003,WK000300,6,2,1.1730
GM0010,WK001001,1,0,0.9960
GM0010,WK001001,2,0,0.9960
GM0010,WK001001,2,1,0.9960
GM0010,WK001001,3,0,0.9960
GM0010,WK001001,3,1,0.9960
GM0010,WK001001,3,2,0.9960
GM0010,WK001001,4,0,1.0352
GM0010,WK001001,4,1,1.0352
GM0010,WK001001,4,2,1.0352
GM0010,WK001001,5,0,0.9822
GM0010,WK001001,5,1,0.9758
GM0010,WK001001,5,2,0.9670
GM0010,WK001001,6,0,0.9772
GM0010,WK001001,6,1,0.9772
GM0010,WK001001,6,2,0.9697
GM0010,WK001002,1,0,0.9409
GM0010,WK001002,1,1,0.9598
GM0010,WK001002,2,0,0.9109
GM0010,WK001002,2,1,0.9491
GM0010,WK001002,2,2,0.9491
GM0010,WK001002,3,0,0.8975
GM0010,WK001002,3,1,0.9405
GM0010,WK001002,3,2,0.9405
GM0010,WK001002,4,0,0.9522
GM0010,WK001002,4,1,0.9728
GM0010,WK001002,4,2,0.9728
GM0010,WK001002,5,0,1.0536
GM0010,WK001002,5,1,0.9721
GM0010,WK001002,5,2,0.8318
GM0010,WK001002,6,1,0.8749
GM0010,WK001002,6,2,0.7861
GM0010,WK001003,1,0,0.8194
GM0010,WK001003,1,1,0.9084
GM0010,WK001003,1,2,0.9084
GM0010,WK001003,2,0,0.9129
GM0010,WK001003,2,1,0.9641
GM0010,WK001003,2,2,0.9641
GM0010,WK001003,3,0,0.9531
GM0010,WK001003,3,1,1.0198
GM0010,WK001003,3,2,1.0198
GM0010,WK001003,4,0,1.1898
GM0010,WK001003,4,1,1.1286
GM0010,WK001003,4,2,1.3599
GM0010,WK001003,5,0,1.1113
GM0010,WK001003,5,1,1.1113
GM0010,WK001003,6,0,1.0803
GM0010,WK001003,6,1,1.1511
GM0010,WK001003,6,2,1.0803
GM0010,WK001004,1,0,0.8703
GM0010,WK001004,2,0,0.7316
GM0010,WK001004,2,1,0.8710
GM0010,WK001004,3,0,0.9356
GM0010,WK001004,3,1,1.0305
GM0010,WK001004,3,2,1.1380
GM0010,WK001004,4,0,1.1666
GM0010,WK001004,4,1,1.1264
GM0010,WK001004,4,2,1.2902
GM0010,WK001004,5,1,1.0366
GM0010,WK001004,5,2,1.0366
GM0010,WK001005,1,0,0.8069
GM0010,WK001005,2,0,0.7903
GM0010,WK001005,2,1,0.8689
GM0010,WK001005,3,0,0.8974
GM0010,WK001005,3,1,0.9204
GM0010,WK001005,3,2,0.9204
GM0010,WK001005,4,0,0.9039
GM0010,WK001005,4,1,0.9291
GM0010,WK001005,4,2,0.9291
GM0010,WK001005,5,0,0.9530
GM0010,WK001006,1,0,0.9263
GM0010,WK001006,2,0,0.9999
GM0010,WK001006,3,0,1.0166
GM0010,WK001006,3,1,1.1051
GM0010,WK001006,3,2,1.2648
GM0010,WK001006,4,0,1.0687
GM0010,WK001006,4,1,1.1324
GM0010,WK001006,4,2,1.3095
GM0010,WK001006,5,0,1.0641
GM0010,WK001006,5,2,1.0641
GM0010,WK001006,6,0,1.1689
GM0010,WK001006,6,1,1.2151
GM0010,WK001006,6,2,1.2992
GM0010,WK001007,1,0,0.7984
GM0010,WK001007,1,1,0.8730
GM0010,WK001007,1,2,0.8730
GM0010,WK001007,2,0,0.8645
GM0010,WK001007,2,1,0.9200
GM0010,WK001007,2,2,0.9200
GM0010,WK001007,3,0,0.9686
GM0010,WK001007,3,2,0.9974
GM0010,WK001007,4,0,1.0287
GM0010,WK001007,4,1,1.0208
GM0010,WK001007,4,2,1.0208
GM0010,WK001007,5,0,0.9552
GM0010,WK001007,5,2,0.9552
GM0010,WK001008,1,0,1.0026
GM0010,WK001009,1,0,0.8521
GM0010,WK001009,1,1,0.9159
GM0010,WK001009,2,0,0.9399
GM0010,WK001009,2,1,0.9667
GM0010,WK001009,2,2,0.9689
GM0010,WK001009,3,0,1.1571
GM0010,WK001009,3,1,1.0940
GM0010,WK001009,3,2,1.2668
GM0010,WK001009,4,0,1.3684
GM0010,WK001009,4,1,1.1685
GM0010,WK001009,4,2,1.4115
GM0010,WK001009,5,0,0.9847
GM0010,WK001009,5,1,0.9847
GM0014,WK001400,1,0,0.9574
GM0014,WK001400,1,1,0.9574
GM0014,WK001400,1,2,0.9574
GM0014,WK001400,2,0,0.9574
GM0014,WK001400,2,1,0.9574
GM0014,WK001400,2,2,0.9574
GM0014,WK001400,3,0,0.9208
GM0014,WK001400,3,1,0.9411
GM0014,WK001400,3,2,0.9411
GM0014,WK001400,4,0,0.9570
GM0014,WK001400,4,1,0.9929
GM0014,WK001400,4,2,0.9574
GM0014,WK001400,5,0,0.9624
GM0014,WK001400,5,1,0.9048
GM0014,WK001400,5,2,0.8933
GM0014,WK001400,6,0,0.9469
GM0014,WK001400,6,1,0.9420
GM0014,WK001400,6,2,0.8649
GM0014,WK001401,1,0,0.9630
GM0014,WK001401,1,1,0.9630
GM0014,WK001401,2,0,0.9455
GM0014,WK001401,2,1,0.9455
GM0014,WK001401,2,2,0.9455
GM0014,WK001401,3,0,0.8694
GM0014,WK001401,3,1,0.9181
GM0014,WK001401,3,2,0.9181
GM0014,WK001401,4,0,0.8421
