gem2020,wijk2020,W,E,Verschilfactor_totaal
GM0003,WK000300,1,0,0.893599756
GM0003,WK000300,1,1,0.948430447
GM0003,WK000300,1,2,0.948430447
GM0003,WK000300,2,0,0.928967147
GM0003,WK000300,2,1,0.985262077
GM0003,WK000300,2,2,1.070414481
GM0003,WK000300,3,0,0.988079906
GM0003,WK000300,3,1,0.992908322
GM0003,WK000300,3,2,0.989775057
GM0003,WK000300,4,0,1.041389961
GM0003,WK000300,4,1,1.037506394
GM0003,WK000300,4,2,1.121699859
GM0003,WK000300,5,0,1.035529531
GM0003,WK000300,5,1,1.02052749
GM0003,WK000300,5,2,1.094187632
GM0003,WK000300,6,0,1.059575589
GM0003,WK000300,6,1,1.066785614
GM0003,WK000300,6,2,1.173031809
GM0010,WK001001,1,0,0.996045449
GM0010,WK001001,1,1,0.996045449
GM0010,WK001001,1,2,0.996045449
GM0010,WK001001,2,0,0.996045449
GM0010,WK001001,2,1,0.996045449
GM0010,WK001001,2,2,0.996045449
GM0010,WK001001,3,0,0.996045449
GM0010,WK001001,3,1,0.996045449
GM0010,WK001001,3,2,0.996045449
GM0010,WK001001,4,0,1.035162633
GM0010,WK001001,4,1,1.035162633
GM0010,WK001001,4,2,1.035162633
GM0010,WK001001,5,0,0.982176112
GM0010,WK001001,5,1,0.975797706
GM0010,WK001001,5,2,0.967030392
GM0010,WK001001,6,0,0.977177972
GM0010,WK001001,6,1,0.977177972
GM0010,WK001001,6,2,0.9697491
GM0010,WK001002,1,0,0.940893989
GM0010,WK001002,1,1,0.959834311
GM0010,WK001002,1,2,0.959834311
GM0010,WK001002,2,0,0.910920724
GM0010,WK001002,2,1,0.949133847
GM0010,WK001002,2,2,0.949133847
GM0010,WK001002,3,0,0.89753542
GM0010,WK001002,3,1,0.940455915
GM0010,WK001002,3,2,0.940455915
GM0010,WK001002,4,0,0.952155133
GM0010,WK001002,4,1,0.972812713
GM0010,WK001002,4,2,0.972812713
GM0010,WK001002,5,0,1.05357311
GM0010,WK001002,5,1,0.972145002
GM0010,WK001002,5,2,0.831775953
GM0010,WK001002,6,0,0.874912307
GM0010,WK001002,6,1,0.874912307
GM0010,WK001002,6,2,0.786071724
GM0010,WK001003,1,0,0.819439562
GM0010,WK001003,1,1,0.908446166
GM0010,WK001003,1,2,0.908446166
GM0010,WK001003,2,0,0.912940196
GM0010,WK001003,2,1,0.964132264
GM0010,WK001003,2,2,0.964132264
GM0010,WK001003,3,0,0.953085713
GM0010,WK001003,3,1,1.019761797
GM0010,WK001003,3,2,1.019761797
GM0010,WK001003,4,0,1.189831466
GM0010,WK001003,4,1,1.1286359
GM0010,WK001003,4,2,1.359852425
GM0010,WK001003,5,0,1.111259059
GM0010,WK001003,5,1,1.111259059
GM0010,WK001003,5,2,1.111259059
GM0010,WK001003,6,0,1.080268182
GM0010,WK001003,6,1,1.151132556
GM0010,WK001003,6,2,1.080268182
GM0010,WK001004,1,0,0.870317958
GM0010,WK001004,1,1,0.949836631
GM0010,WK001004,1,2,0.949836631
GM0010,WK001004,2,0,0.731626014
GM0010,WK001004,2,1,0.871030062
GM0010,WK001004,2,2,0.871030062
GM0010,WK001004,3,0,0.935638656
GM0010,WK001004,3,1,1.030464716
GM0010,WK001004,3,2,1.137964451
GM0010,WK001004,4,0,1.166623593
GM0010,WK001004,4,1,1.126401793
GM0010,WK001004,4,2,1.290181933
GM0010,WK001004,5,0,1.036620717
GM0010,WK001004,5,1,1.036620717
GM0010,WK001004,5,2,1.036620717
GM0010,WK001004,6,0,1.036620717
GM0010,WK001004,6,1,1.036620717
GM0010,WK001004,6,2,1.036620717
GM0010,WK001005,1,0,0.806937885
GM0010,WK001005,1,1,0.876931644
GM0010,WK001005,1,2,0.876931644
GM0010,WK001005,2,0,0.790330668
GM0010,WK001005,2,1,0.868858424
GM0010,WK001005,2,2,0.868858424
GM0010,WK001005,3,0,0.897422664
GM0010,WK001005,3,1,0.92038692
GM0010,WK001005,3,2,0.92038692
GM0010,WK001005,4,0,0.903946578
GM0010,WK001005,4,1,0.929055947
GM0010,WK001005,4,2,0.929055947
GM0010,WK001005,5,0,0.952996659
GM0010,WK001005,5,1,0.952996659
GM0010,WK001005,5,2,0.952996659
GM0010,WK001005,6,0,0.952996659
GM0010,WK001005,6,1,0.952996659
GM0010,WK001005,6,2,0.952996659
GM0010,WK001006,1,0,0.926311921
GM0010,WK001006,1,1,0.992813942
GM0010,WK001006,1,2,0.992813942
GM0010,WK001006,2,0,0.999882141
GM0010,WK001006,2,1,1.031486733
GM0010,WK001006,2,2,1.031486733
GM0010,WK001006,3,0,1.016566623
GM0010,WK001006,3,1,1.105147415
GM0010,WK001006,3,2,1.264752216
GM0010,WK001006,4,0,1.068651183
GM0010,WK001006,4,1,1.13240583
GM0010,WK001006,4,2,1.309534945
GM0010,WK001006,5,0,1.064090293
GM0010,WK001006,5,1,1.064090293
GM0010,WK001006,5,2,1.064090293
GM0010,WK001006,6,0,1.168904508
GM0010,WK001006,6,1,1.215119949
GM0010,WK001006,6,2,1.299249467
GM0010,WK001007,1,0,0.79844868
GM0010,WK001007,1,1,0.873028444
GM0010,WK001007,1,2,0.873028444
GM0010,WK001007,2,0,0.864509471
GM0010,WK001007,2,1,0.920019128
GM0010,WK001007,2,2,0.920019128
GM0010,WK001007,3,0,0.9685661
GM0010,WK001007,3,1,0.997447994
GM0010,WK001007,3,2,0.997447994
GM0010,WK001007,4,0,1.028736382
GM0010,WK001007,4,1,1.020772738
GM0010,WK001007,4,2,1.020772738
GM0010,WK001007,5,0,0.955230084
GM0010,WK001007,5,1,0.955230084
GM0010,WK001007,5,2,0.955230084
GM0010,WK001007,6,0,0.955230084
GM0010,WK001007,6,1,0.955230084
GM0010,WK001007,6,2,0.955230084
GM0010,WK001008,1,0,1.002642218
GM0010,WK001008,1,1,1.002642218
GM0010,WK001008,1,2,1.002642218
GM0010,WK001008,2,0,1.002642218
GM0010,WK001008,2,1,1.002642218
GM0010,WK001008,2,2,1.002642218
GM0010,WK001008,3,0,1.002642218
GM0010,WK001008,3,1,1.002642218
GM0010,WK001008,3,2,1.002642218
GM0010,WK001008,4,0,1.002642218
GM0010,WK001008,4,1,1.002642218
GM0010,WK001008,4,2,1.002642218
GM0010,WK001008,5,0,1.002642218
GM0010,WK001008,5,1,1.002642218
GM0010,WK001008,5,2,1.002642218
GM0010,WK001008,6,0,1.002642218
GM0010,WK001008,6,1,1.002642218
GM0010,WK001008,6,2,1.002642218
GM0010,WK001009,1,0,0.852077721
GM0010,WK001009,1,1,0.915867475
GM0010,WK001009,1,2,0.915867475
GM0010,WK001009,2,0,0.939886754
GM0010,WK001009,2,1,0.966679559
GM0010,WK001009,2,2,0.968911043
GM0010,WK001009,3,0,1.157110365
GM0010,WK001009,3,1,1.094043372
GM0010,WK001009,3,2,1.266810805
GM0010,WK001009,4,0,1.368417444
GM0010,WK001009,4,1,1.168453751
GM0010,WK001009,4,2,1.411529953
GM0010,WK001009,5,0,0.984710909
GM0010,WK001009,5,1,0.984710909
GM0010,WK001009,5,2,0.984710909
GM0010,WK001009,6,0,0.984710909
GM0010,WK001009,6,1,0.984710909
GM0010,WK001009,6,2,0.984710909
GM0014,WK001400,1,0,0.957442086
GM0014,WK001400,1,1,0.957442086
GM0014,WK001400,1,2,0.957442086
