type_str	bouwjaar_str	eigendom_str	Vrv_N_asl	Vrv_N_opp	Vrv_G_asl	Vrv_G_opp	Vrv_F_asl	Vrv_F_opp	Vrv_E_asl	Vrv_E_opp	Vrv_D_asl	Vrv_D_opp	Vrv_C_asl	Vrv_C_opp	Vrv_B_asl	Vrv_B_opp	Vrv_A_asl	Vrv_A_opp	Vvt_asl	Vvt_opp	Vtw_asl	Vtw_opp	Vea_asl	Vea_opp	Vkd_asl	Vkd_opp
Vrijstaand	voor 1930	koop	41,842721666	0,131781732	33,810285078	0,166519176	36,504550642	0,166519176	39,434718372	0,166519176	32,988441264	0,166519176	34,985660498	0,166519176	34,985660498	0,166519176	34,985660498	0,166519176	0	0,0066	8,5	0	9,7	0	0	0,01296
Vrijstaand	voor 1930	parthuur	41,679970308	0,139868756	37,301306302	0,174973792	35,087483482	0,174973792	35,087483482	0,174973792	35,087483482	0,174973792	35,087483482	0,174973792	35,087483482	0,174973792	35,087483482	0,174973792	0	0,0066	8,5	0	9,7	0	0	0,01296
Vrijstaand	voor 1930	wooncorp	29,581231016	0,199786252	48,811530802	0,025639542	48,811530802	0,025639542	48,811530802	0,025639542	48,811530802	0,025639542	48,811530802	0,025639542	48,811530802	0,025639542	48,811530802	0,025639542	0	0,0066	8,5	0	9,7	0	0	0,01296
Vrijstaand	1930 - 1945	koop	43,647965978	0,130770854	35,794638592	0,16587589	39,055639122	0,16587589	45,749213748	0,16587589	36,580734084	0,16587589	39,70039549	0,16587589	39,70039549	0,16587589	39,70039549	0,16587589	0	0,0066	8,5	0	9,7	0	0	0,01296
Vrijstaand	1930 - 1945	parthuur	43,203914842	0,147863882	47,926920654	0,141247226	47,926920654	0,141247226	47,926920654	0,141247226	47,926920654	0,141247226	47,926920654	0,141247226	47,926920654	0,141247226	47,926920654	0,141247226	0	0,0066	8,5	0	9,7	0	0	0,01296
Vrijstaand	1930 - 1945	wooncorp	43,647965978	0,130770854	44,996569128	0,15484813	44,266531416	0,15484813	43,536493704	0,15484813	42,80654789	0,15484813	42,80654789	0,15484813	42,80654789	0,15484813	42,80654789	0,15484813	0	0,0066	8,5	0	9,7	0	0	0,01296
Vrijstaand	1946 - 1964	koop	42,603820902	0,140971532	31,013093754	0,207046194	30,36218022	0,207046194	32,586203718	0,207046194	33,596254636	0,207046194	25,372210718	0,207046194	25,372210718	0,207046194	25,372210718	0,207046194	0	0,0092	8,5	0	9,7	0	0	0,01296
Vrijstaand	1946 - 1964	parthuur	42,14993668	0,160545806	29,840015784	0,229561204	29,840015784	0,229561204	26,441260152	0,229561204	26,441260152	0,229561204	26,441260152	0,229561204	26,441260152	0,229561204	26,441260152	0,229561204	0	0,0092	8,5	0	9,7	0	0	0,01296
Vrijstaand	1946 - 1964	wooncorp	44,121240678	0,10338525	46,274502716	0,091530408	42,579835524	0,091530408	38,356938628	0,091530408	34,22143673	0,091530408	36,032562514	0,091530408	36,032562514	0,091530408	36,032562514	0,091530408	0	0,0092	8,5	0	9,7	0	0	0,01296
Vrijstaand	1965 - 1974	koop	40,576734818	0,154940028	32,600172214	0,199326762	32,600172214	0,199326762	33,629981202	0,199326762	31,63818395	0,199326762	28,506943396	0,199326762	28,506943396	0,199326762	28,506943396	0,199326762	0	0,0098	9,2	0	9,56	0	0	0,01296
Vrijstaand	1965 - 1974	parthuur	39,147353326	0,171114076	32,600172214	0,199326762	32,600172214	0,199326762	33,629981202	0,199326762	31,63818395	0,199326762	28,506943396	0,199326762	28,506943396	0,199326762	28,506943396	0,199326762	0	0,0098	9,2	0	9,56	0	0	0,01296
Vrijstaand	1965 - 1974	wooncorp	40,576734818	0,154940028	32,600172214	0,199326762	32,600172214	0,199326762	33,629981202	0,199326762	31,63818395	0,199326762	28,506943396	0,199326762	28,506943396	0,199326762	28,506943396	0,199326762	0	0,0098	9,2	0	9,56	0	0	0,01296
Vrijstaand	1975 - 1991	koop	31,342456186	0,177087446	35,194544652	0,182601326	35,194544652	0,182601326	35,194544652	0,182601326	35,194544652	0,182601326	31,539117906	0,182601326	26,420123612	0,182601326	26,420123612	0,182601326	0	0,0089	9,7	0	9,46	0	0	0,01296
Vrijstaand	1975 - 1991	parthuur	32,671393164	0,174514302	22,025285558	0,2251501	22,025285558	0,2251501	22,025285558	0,2251501	22,025285558	0,2251501	22,025285558	0,2251501	22,025285558	0,2251501	22,025285558	0,2251501	0	0,0089	9,7	0	9,46	0	0	0,01296
Vrijstaand	1975 - 1991	wooncorp	31,375723262	0,104947516	24,938544056	0,166243482	24,938544056	0,166243482	24,938544056	0,166243482	24,938544056	0,166243482	24,938544056	0,166243482	11,349678694	0,166243482	11,349678694	0,166243482	0	0,0089	9,7	0	9,46	0	0	0,01296
Vrijstaand	1992 - 1995	koop	23,800571122	0,186828634	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	16,925038456	0,2159603	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	1992 - 1995	parthuur	25,744949006	0,182785122	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	16,925038456	0,2159603	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	1992 - 1995	wooncorp	23,800571122	0,186828634	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	17,932332434	0,2159603	16,925038456	0,2159603	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	1996 - 1999	koop	21,818606956	0,180028182	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	21,186348716	0,175341384	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	1996 - 1999	parthuur	32,602561562	0,145750228	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	21,186348716	0,175341384	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	1996 - 1999	wooncorp	21,818606956	0,180028182	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	25,983148622	0,175341384	21,186348716	0,175341384	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2000 - 2005	koop	22,00175967	0,164865012	18,575526536	0,203002682	18,575526536	0,203002682	18,575526536	0,203002682	18,575526536	0,203002682	18,575526536	0,203002682	18,575526536	0,203002682	13,350298154	0,203002682	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2000 - 2005	parthuur	31,247433654	0,139776858	18,575526536	0,203002682	18,575526536	0,203002682	18,575526536	0,203002682	18,575526536	0,203002682	18,575526536	0,203002682	18,575526536	0,203002682	13,350298154	0,203002682	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2000 - 2005	wooncorp	47,301922356	-0,010752066	8,023246788	0,182601326	8,023246788	0,182601326	8,023246788	0,182601326	8,023246788	0,182601326	8,023246788	0,182601326	8,023246788	0,182601326	8,023246788	0,182601326	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2006 - 2010	koop	24,703009482	0,147771984	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2006 - 2010	parthuur	44,325529932	0,075723952	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2006 - 2010	wooncorp	24,703009482	0,147771984	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	16,240306458	0,185817756	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2011 - 2014	koop	23,305057106	0,135641448	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2011 - 2014	parthuur	26,077160276	0,12268383	9,91441573	0,228642224	9,91441573	0,228642224	9,91441573	0,228642224	9,91441573	0,228642224	9,91441573	0,228642224	9,91441573	0,228642224	9,91441573	0,228642224	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2011 - 2014	wooncorp	23,305057106	0,135641448	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	15,96360158	0,180395774	0	0	10,6	0	9,28	0	0	0,01296
Vrijstaand	2015 - 2020	koop	15,033410024	0,150069434	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	2,204081632	0,230480184	0	0	10,6	0	9,28	0	0	0,01296
