"type_str"	"bouwjaar_str"	"eigendom_str"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"
"Vrijstaand"	"voor 1930"	"koop"	40.97467609	0.129048162	33.10884641	0.163021849	35.74722302	0.163021849	38.61663499	0.163021849	32.3040885	0.163021849	34.25982986	0.163021849	34.25982986	0.163021849	34.25982986	0.163021849	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"voor 1930"	"parthuur"	40.81525396	0.136996168	36.52742963	0.171302465	34.35955576	0.171302465	34.35955576	0.171302465	34.35955576	0.171302465	34.35955576	0.171302465	34.35955576	0.171302465	34.35955576	0.171302465	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"voor 1930"	"wooncorp"	28.96755693	0.195636261	47.79889669	0.025100623	47.79889669	0.025100623	47.79889669	0.025100623	47.79889669	0.025100623	47.79889669	0.025100623	47.79889669	0.025100623	47.79889669	0.025100623	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1930 - 1945"	"koop"	42.74239877	0.128050842	35.05207401	0.162435852	38.245406	0.162435852	44.80008934	0.162435852	35.82184427	0.162435852	38.87677965	0.162435852	38.87677965	0.162435852	38.87677965	0.162435852	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1930 - 1945"	"parthuur"	42.30760839	0.144780819	46.93258751	0.138300731	46.93258751	0.138300731	46.93258751	0.138300731	46.93258751	0.138300731	46.93258751	0.138300731	46.93258751	0.138300731	46.93258751	0.138300731	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1930 - 1945"	"wooncorp"	42.74239877	0.128050842	44.06303614	0.151664135	43.34817728	0.151664135	42.63331842	0.151664135	41.91845957	0.151664135	41.91845957	0.151664135	41.91845957	0.151664135	41.91845957	0.151664135	0	0.0066	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1946 - 1964"	"koop"	41.71996965	0.13805139	30.36973217	0.202742762	29.73232102	0.202742762	31.91018705	0.202742762	32.89924989	0.202742762	24.84580685	0.202742762	24.84580685	0.202742762	24.84580685	0.202742762	0	0.0092	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1946 - 1964"	"parthuur"	41.27550451	0.157172017	29.22098846	0.224772458	29.22098846	0.224772458	25.89266708	0.224772458	25.89266708	0.224772458	25.89266708	0.224772458	25.89266708	0.224772458	25.89266708	0.224772458	0	0.0092	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1946 - 1964"	"wooncorp"	43.20591149	0.101234425	45.31447327	0.089602829	41.69644401	0.089602829	37.56120216	0.089602829	33.51145723	0.089602829	35.28505576	0.089602829	35.28505576	0.089602829	35.28505576	0.089602829	0	0.0092	8.5	0	9.7	0	0	0.01296
"Vrijstaand"	"1965 - 1974"	"koop"	39.73493507	0.151764674	31.9238274	0.195155554	31.9238274	0.195155554	32.93229476	0.195155554	30.98182886	0.195155554	27.91555779	0.195155554	27.91555779	0.195155554	27.91555779	0.195155554	0	0.0098	9.2	0	9.56	0	0	0.01296
"Vrijstaand"	"1965 - 1974"	"parthuur"	38.33520642	0.167564169	31.9238274	0.195155554	31.9238274	0.195155554	32.93229476	0.195155554	30.98182886	0.195155554	27.91555779	0.195155554	27.91555779	0.195155554	27.91555779	0.195155554	0	0.0098	9.2	0	9.56	0	0	0.01296
"Vrijstaand"	"1965 - 1974"	"wooncorp"	39.73493507	0.151764674	31.9238274	0.195155554	31.9238274	0.195155554	32.93229476	0.195155554	30.98182886	0.195155554	27.91555779	0.195155554	27.91555779	0.195155554	27.91555779	0.195155554	0	0.0098	9.2	0	9.56	0	0	0.01296
"Vrijstaand"	"1975 - 1991"	"koop"	30.69224728	0.173384607	34.46435602	0.178779683	34.46435602	0.178779683	34.46435602	0.178779683	34.46435602	0.178779683	30.88479015	0.178779683	25.87199443	0.178779683	25.87199443	0.178779683	0	0.0089	9.7	0	9.46	0	0	0.01296
"Vrijstaand"	"1975 - 1991"	"parthuur"	31.9935715	0.170872962	21.56836351	0.220477508	21.56836351	0.220477508	21.56836351	0.220477508	21.56836351	0.220477508	21.56836351	0.220477508	21.56836351	0.220477508	21.56836351	0.220477508	0	0.0089	9.7	0	9.46	0	0	0.01296
"Vrijstaand"	"1975 - 1991"	"wooncorp"	30.72479378	0.102798654	24.4211714	0.162794014	24.4211714	0.162794014	24.4211714	0.162794014	24.4211714	0.162794014	24.4211714	0.162794014	11.11426113	0.162794014	11.11426113	0.162794014	0	0.0089	9.7	0	9.46	0	0	0.01296
"Vrijstaand"	"1992 - 1995"	"koop"	23.30678481	0.18296857	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	16.57394546	0.211441396	0	0	10.6	0	9.28	0	0	0.01296
"Vrijstaand"	"1992 - 1995"	"parthuur"	25.21081255	0.179014305	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	17.56029804	0.211441396	16.57394546	0.211441396	0	0	10.6	0	9.28	0	0	0.01296
