"type_str"	"bouwjaar_str"	"eigendom_str"	"Vrv_N_asl"	"Vrv_N_opp"	"Vrv_G_asl"	"Vrv_G_opp"	"Vrv_F_asl"	"Vrv_F_opp"	"Vrv_E_asl"	"Vrv_E_opp"	"Vrv_D_asl"	"Vrv_D_opp"	"Vrv_C_asl"	"Vrv_C_opp"	"Vrv_B_asl"	"Vrv_B_opp"	"Vrv_A_asl"	"Vrv_A_opp"	"Vvt_asl"	"Vvt_opp"	"Vtw_asl"	"Vtw_opp"	"Vea_asl"	"Vea_opp"	"Vkd_asl"	"Vkd_opp"	"freq_label_A"	"freq_label_B"	"freq_label_C"	"freq_label_D"	"freq_label_E"	"freq_label_F"	"freq_label_G"
"Vrijstaand"	"voor 1930"	"koop"	37.6548905548	0.1185926255	30.4263537123	0.1498137501	32.8509679368	0.1498137501	35.487898939	0.1498137501	29.6867976276	0.1498137501	31.4840839979	0.1498137501	31.4840839979	0.1498137501	31.4840839979	0.1498137501	0	0.0066	8.5	0	9.7	0	0	0.01296	0.071	0.060	0.319	0.164	0.242	0.145	0.000
"Vrijstaand"	"voor 1930"	"parthuur"	37.508384873	0.1258966807	33.5679618783	0.157423467	31.5757300634	0.157423467	31.5757300634	0.157423467	31.5757300634	0.157423467	31.5757300634	0.157423467	31.5757300634	0.157423467	31.5757300634	0.157423467	0	0.0066	8.5	0	9.7	0	0	0.01296	0.071	0.060	0.319	0.164	0.242	0.145	0.000
"Vrijstaand"	"voor 1930"	"wooncorp"	26.6205932523	0.1797857286	43.9262099241	0.0230669599	43.9262099241	0.0230669599	43.9262099241	0.0230669599	43.9262099241	0.0230669599	43.9262099241	0.0230669599	43.9262099241	0.0230669599	43.9262099241	0.0230669599	0	0.0066	8.5	0	9.7	0	0	0.01296	0.071	0.060	0.319	0.164	0.242	0.145	0.000
"Vrijstaand"	"1930 - 1945"	"koop"	39.2793915978	0.1176761088	32.2121401928	0.1492752308	35.1467470784	0.1492752308	41.1703672101	0.1492752308	32.9195433417	0.1492752308	35.726966569	0.1492752308	35.726966569	0.1492752308	35.726966569	0.1492752308	0	0.0066	8.5	0	9.7	0	0	0.01296	0.071	0.060	0.319	0.164	0.242	0.145	0.000
"Vrijstaand"	"1930 - 1945"	"parthuur"	38.8798281177	0.133050616	43.1300894792	0.1270955475	43.1300894792	0.1270955475	43.1300894792	0.1270955475	43.1300894792	0.1270955475	43.1300894792	0.1270955475	43.1300894792	0.1270955475	43.1300894792	0.1270955475	0	0.0066	8.5	0	9.7	0	0	0.01296	0.071	0.060	0.319	0.164	0.242	0.145	0.000
"Vrijstaand"	"1930 - 1945"	"wooncorp"	39.2793915978	0.1176761088	40.4930303712	0.1393762428	39.8360896775	0.1393762428	39.1791489838	0.1393762428	38.5222082992	0.1393762428	38.5222082992	0.1393762428	38.5222082992	0.1393762428	38.5222082992	0.1393762428	0	0.0066	8.5	0	9.7	0	0	0.01296	0.071	0.060	0.319	0.164	0.242	0.145	0.000
"Vrijstaand"	"1946 - 1964"	"koop"	38.3398001163	0.1268664082	27.9091636631	0.1863164579	27.3233958333	0.1863164579	29.3248102392	0.1863164579	30.2337387908	0.1863164579	22.8327891019	0.1863164579	22.8327891019	0.1863164579	22.8327891019	0.1863164579	0	0.0092	8.5	0	9.7	0	0	0.01296	0.462	0.331	0.199	0.008	0.000	0.000	0.000
"Vrijstaand"	"1946 - 1964"	"parthuur"	37.9313457293	0.1444378739	26.8534916529	0.2065612987	26.8534916529	0.2065612987	23.7948322746	0.2065612987	23.7948322746	0.2065612987	23.7948322746	0.2065612987	23.7948322746	0.2065612987	23.7948322746	0.2065612987	0	0.0092	8.5	0	9.7	0	0	0.01296	0.462	0.331	0.199	0.008	0.000	0.000	0.000
"Vrijstaand"	"1946 - 1964"	"wooncorp"	39.7053503218	0.0930323692	41.6430755372	0.08234317	38.3181805335	0.08234317	34.517977722	0.08234317	30.7963448339	0.08234317	32.4262456631	0.08234317	32.4262456631	0.08234317	32.4262456631	0.08234317	0	0.0092	8.5	0	9.7	0	0	0.01296	0.462	0.331	0.199	0.008	0.000	0.000	0.000
"Vrijstaand"	"1965 - 1974"	"koop"	36.515593875	0.1394686361	29.3373454422	0.1793439687	29.3373454422	0.1793439687	30.2641063515	0.1793439687	28.4716680212	0.1793439687	25.6538275263	0.1793439687	25.6538275263	0.1793439687	25.6538275263	0.1793439687	0	0.0098	9.2	0	9.56	0	0	0.01296	0.462	0.331	0.199	0.008	0.000	0.000	0.000
