"gem2020"	"wijk2020"	"W"	"E"	"Verschilfactor_totaal"
"GM0003"	"WK000300"	1	0	0.946259867
"GM0003"	"WK000300"	1	1	0.948205735
"GM0003"	"WK000300"	1	2	0.948205735
"GM0003"	"WK000300"	2	0	0.947410577
"GM0003"	"WK000300"	2	1	0.979738684
"GM0003"	"WK000300"	2	2	1.092273462
"GM0003"	"WK000300"	3	0	0.993057066
"GM0003"	"WK000300"	3	1	0.985897903
"GM0003"	"WK000300"	3	2	0.997038098
"GM0003"	"WK000300"	4	0	1.001797516
"GM0003"	"WK000300"	4	1	1.029340367
"GM0003"	"WK000300"	4	2	1.087119302
"GM0003"	"WK000300"	5	0	1.026364326
"GM0003"	"WK000300"	5	1	0.970487414
"GM0003"	"WK000300"	5	2	1.056646224
"GM0003"	"WK000300"	6	0	0.983736733
"GM0003"	"WK000300"	6	1	1.058047466
"GM0003"	"WK000300"	6	2	1.093892965
"GM0010"	"WK001001"	1	0	0.992496077
"GM0010"	"WK001001"	1	1	0.992496077
"GM0010"	"WK001001"	1	2	0.992496077
"GM0010"	"WK001001"	2	0	0.992496077
"GM0010"	"WK001001"	2	1	0.992496077
"GM0010"	"WK001001"	2	2	0.992496077
"GM0010"	"WK001001"	3	0	0.992496077
"GM0010"	"WK001001"	3	1	0.992496077
"GM0010"	"WK001001"	3	2	0.992496077
"GM0010"	"WK001001"	4	0	1.03946978
"GM0010"	"WK001001"	4	1	1.03946978
"GM0010"	"WK001001"	4	2	1.03946978
"GM0010"	"WK001001"	5	0	0.978903966
"GM0010"	"WK001001"	5	1	0.98785845
"GM0010"	"WK001001"	5	2	0.971059533
"GM0010"	"WK001001"	6	0	0.981020571
"GM0010"	"WK001001"	6	1	0.981020571
"GM0010"	"WK001001"	6	2	0.994144652
"GM0010"	"WK001002"	1	0	0.981310876
"GM0010"	"WK001002"	1	1	0.986143504
"GM0010"	"WK001002"	1	2	0.986143504
"GM0010"	"WK001002"	2	0	0.959953151
