type_str;bouwjaar_str;eigendom_str;Vrv_N_asl;Vrv_N_opp;Vrv_G_asl;Vrv_G_opp;Vrv_F_asl;Vrv_F_opp;Vrv_E_asl;Vrv_E_opp;Vrv_D_asl;Vrv_D_opp;Vrv_C_asl;Vrv_C_opp;Vrv_B_asl;Vrv_B_opp;Vrv_A_asl;Vrv_A_opp;Vvt_asl;Vvt_opp;Vtw_asl;Vtw_opp;Vea_asl;Vea_opp;Vkd_asl;Vkd_opp;freq_label_A;freq_label_B;freq_label_C;freq_label_D;freq_label_E;freq_label_F;freq_label_G;freq_LWP;freq_BWP;freq_HWP
Vrijstaand;voor 1930;koop;37.65489056;0.118592626;33.82104378;0.144609233;35.0805779;0.144609233;32.6518477;0.144609233;31.2434822;0.144609233;28.77834979;0.144609233;26.2192775;0.144609233;23.19181842;0.144609233;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0.0001;0;0.0355
Vrijstaand;voor 1930;parthuur;37.50838487;0.12589668;37.62504474;0.130845355;42.06582497;0.130845355;36.66213935;0.130845355;31.25845373;0.130845355;31.25845373;0.130845355;31.25845373;0.130845355;31.25845373;0.130845355;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0;0;0.0549
Vrijstaand;voor 1930;wooncorp;26.62059325;0.179785728;33.82104378;0.144609233;35.0805779;0.144609233;32.6518477;0.144609233;31.2434822;0.144609233;28.77834979;0.144609233;26.2192775;0.144609233;23.19181842;0.144609233;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0.0036;0;0.3372
Vrijstaand;1930 - 1945;koop;39.2793916;0.117676109;36.08560157;0.140221271;37.15980671;0.140221271;34.35624116;0.140221271;31.60404477;0.140221271;29.83340873;0.140221271;28.38712246;0.140221271;23.90882007;0.140221271;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0.0001;0;0.0197
Vrijstaand;1930 - 1945;parthuur;38.87982812;0.133050616;38.9057839;0.123658867;36.13153109;0.123658867;35.48872899;0.123658867;34.84592689;0.123658867;34.84592689;0.123658867;34.84592689;0.123658867;34.84592689;0.123658867;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0;0;0.0216
Vrijstaand;1930 - 1945;wooncorp;39.2793916;0.117676109;36.08560157;0.140221271;37.15980671;0.140221271;34.35624116;0.140221271;31.60404477;0.140221271;29.83340873;0.140221271;28.38712246;0.140221271;23.90882007;0.140221271;0;0.0066;8.5;0;9.7;0;0;0.01296;0.07;0.06;0.32;0.16;0.24;0.14;0;0.0004;0;0.0715
Vrijstaand;1946 - 1964;koop;38.33980012;0.126866408;31.62500429;0.160618671;34.56595553;0.160618671;32.92671113;0.160618671;29.03685118;0.160618671;27.1023184;0.160618671;24.45659985;0.160618671;22.62505991;0.160618671;0;0.0092;8.5;0;9.7;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0.0001;0;0.0197
Vrijstaand;1946 - 1964;parthuur;37.93134573;0.144437874;34.67265025;0.147902885;39.35085012;0.147902885;35.40546438;0.147902885;29.8828952;0.147902885;28.04153076;0.147902885;28.04153076;0.147902885;28.04153076;0.147902885;0;0.0092;8.5;0;9.7;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0;0;0.0216
Vrijstaand;1946 - 1964;wooncorp;39.70535032;0.093032369;35.30034508;0.058872385;35.30034508;0.058872385;36.16223866;0.058872385;36.93736803;0.058872385;32.51896595;0.058872385;32.51896595;0.058872385;32.51896595;0.058872385;0;0.0092;8.5;0;9.7;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0.0004;0;0.0715
Vrijstaand;1965 - 1974;koop;36.51559387;0.139468636;31.67921531;0.16408441;30.62649645;0.16408441;32.63310384;0.16408441;32.72279432;0.16408441;27.13428432;0.16408441;24.38257836;0.16408441;23.26760903;0.16408441;0;0.0098;9.2;0;9.56;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0.0002;0;0.0614
Vrijstaand;1965 - 1974;parthuur;35.22927183;0.15398805;42.88396298;0.12982352;42.88396298;0.12982352;41.71730921;0.12982352;38.12863928;0.12982352;37.03550456;0.12982352;37.03550456;0.12982352;37.03550456;0.12982352;0;0.0098;9.2;0;9.56;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0;0;0.046
Vrijstaand;1965 - 1974;wooncorp;36.51559387;0.139468636;31.67921531;0.16408441;30.62649645;0.16408441;32.63310384;0.16408441;32.72279432;0.16408441;27.13428432;0.16408441;24.38257836;0.16408441;23.26760903;0.16408441;0;0.0098;9.2;0;9.56;0;0;0.01296;0.07;0.09;0.29;0.24;0.19;0.1;0.01;0.0026;0;0.4087
Vrijstaand;1975 - 1991;koop;28.20554847;0.159336913;27.78917434;0.168907942;27.74755392;0.168907942;28.33201258;0.168907942;28.79379747;0.168907942;26.80011224;0.168907942;22.81110821;0.168907942;19.96756424;0.168907942;0;0.0089;9.7;0;9.46;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0.0001;0.0038;0.0117
Vrijstaand;1975 - 1991;parthuur;29.40143885;0.157028763;24.65532619;0.169380316;24.65532619;0.169380316;24.65532619;0.169380316;24.65532619;0.169380316;27.95882361;0.169380316;24.59605602;0.169380316;24.59605602;0.169380316;0;0.0089;9.7;0;9.46;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0;0;0.002
Vrijstaand;1975 - 1991;wooncorp;28.23545803;0.094469863;27.78917434;0.168907942;27.74755392;0.168907942;28.33201258;0.168907942;28.79379747;0.168907942;26.80011224;0.168907942;22.81110821;0.168907942;19.96756424;0.168907942;0;0.0089;9.7;0;9.46;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0.1315;0.1368;1.5106
Vrijstaand;1992 - 1995;koop;21.41845927;0.168144379;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.90431757;0.184041868;17.34615331;0.184041868;0;0;10.6;0;9.28;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0.0001;0.0038;0.0117
Vrijstaand;1992 - 1995;parthuur;23.16822189;0.164510491;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;22.39704935;0.173115787;0;0;10.6;0;9.28;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0;0;0.002
Vrijstaand;1992 - 1995;wooncorp;21.41845927;0.168144379;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.05626527;0.184041868;18.90431757;0.184041868;17.34615331;0.184041868;0;0;10.6;0;9.28;0;0;0.01296;0.16;0.17;0.56;0.1;0.01;0;0;0.1315;0.1368;1.5106
Vrijstaand;1996 - 1999;koop;19.63484694;0.162032999;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;16.29594669;0.178228728;14.5789223;0.178228728;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0356;0.0314;0.0279
Vrijstaand;1996 - 1999;parthuur;29.33952089;0.131161495;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;11.0581698;0.216503853;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0996;0.0509;0.0967
Vrijstaand;1996 - 1999;wooncorp;19.63484694;0.162032999;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;17.54157411;0.178228728;16.29594669;0.178228728;14.5789223;0.178228728;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0089;0.032;0.0149
Vrijstaand;2000 - 2005;koop;19.79970393;0.1483778;28.58491387;0.16508736;28.58491387;0.16508736;28.58491387;0.16508736;28.58491387;0.16508736;28.58491387;0.16508736;17.22030074;0.16508736;15.12360861;0.16508736;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0356;0.0314;0.0279
Vrijstaand;2000 - 2005;parthuur;28.12002729;0.125820807;18.16001192;0.163821657;18.16001192;0.163821657;18.16001192;0.163821657;18.16001192;0.163821657;18.16001192;0.163821657;18.16001192;0.163821657;19.24494262;0.163821657;0;0;10.6;0;9.28;0;0;0.01296;0.46;0.33;0.2;0.01;0;0;0;0.0996;0.0509;0.0967
