Woningtype,bouwjaarklasse,NTA8800,NEN7120,Pakket,TypePakket,NTA8800_v9,NEN7120_v9,IsolatieNiveau_RB,IsolatieNiveau_RO,IsolatieNiveau_DR,IsolatieNiveau_PL,IsolatieNiveau_VL,IsolatieNiveau_MG,IsolatieNiveau_MS,IsolatieNiveau_DP,IsolatieNiveau_DS,IsolatieNiveau_KR
2 onder 1 kap,< 1946,A,C,isolatiestandaard excl installaties,Standaard,A,A,N2,N2,N3,N0,N3,N2,N0,N3,N3,N3
2 onder 1 kap,1946 - 1964,A,C,isolatiestandaard excl installaties,Standaard,A,A,N2,N2,N3,N0,N3,N2,N0,N3,N3,N3
2 onder 1 kap,1965 - 1974,A,B,isolatiestandaard excl installaties,Standaard,A,A,N2,N2,N3,N0,N3,N0,N2,N3,N3,N3
2 onder 1 kap,1975 - 1991,A,B,isolatiestandaard excl installaties,Standaard,A,A,N2,N2,N3,N0,N3,N0,N2,N3,N3,N3
2 onder 1 kap,1992 - 2005,A,A,isolatiestandaard excl installaties,Standaard,A,A,N2,N2,N3,N0,N3,N0,N2,N3,N3,N3
galerij tussen midden,1965 - 1974,A,A,isolatiestandaard excl installaties,Standaard,A,A,N2,N2,N3,N0,N0,N0,N2,N0,N0,N3
galerij tussen midden,1975 - 1991,A,A,isolatiestandaard excl installaties,Standaard,A,A,N2,N2,N3,N0,N0,N0,N2,N0,N0,N3
portiek tussen midden,< 1946,A,C,isolatiestandaard excl installaties,Standaard,A,B,N2,N2,N0,N0,N0,N3,N0,N0,N0,N4
portiek tussen midden,1946 - 1964,A,B,isolatiestandaard excl installaties,Standaard,A,A,N2,N2,N3,N0,N0,N0,N2,N0,N0,N3
portiek tussen midden,1965 - 1974,A,B,isolatiestandaard excl installaties,Standaard,A,A,N2,N2,N3,N0,N0,N0,N2,N0,N0,N3
portiek tussen midden,1975 - 1991,A,B,"['L2', 'S2','K1']",Standaard,A,A,N2,N2,N0,N0,N0,N0,N1,N0,N0,N2
rijwoning hoek,< 1946,B,C,"['V1', 'G2', 'D1', 'L2', 'S2', 'K1']",Standaard,B,A,N2,N2,N0,N0,N2,N2,N0,N2,N2,N2
