gem2020;wijk2020;buurt2020;woningtype;verschilfactor
GM0003;WK000300;BU00030000;1;0.988383908
GM0003;WK000300;BU00030000;2;0.956656331
GM0003;WK000300;BU00030000;3;0.969970912
GM0003;WK000300;BU00030000;4;0.905520913
GM0003;WK000300;BU00030000;5;1.040151171
GM0003;WK000300;BU00030000;6;0.976923592
GM0003;WK000300;BU00030001;1;1.088253498
GM0003;WK000300;BU00030001;2;1.037799053
GM0003;WK000300;BU00030001;3;0.977339758
GM0003;WK000300;BU00030001;4;0.966195535
GM0003;WK000300;BU00030001;5;0.853086227
GM0003;WK000300;BU00030002;1;1.059991363
GM0003;WK000300;BU00030002;2;0.984215356
GM0003;WK000300;BU00030002;3;1.031757368
GM0003;WK000300;BU00030002;4;0.983666168
GM0003;WK000300;BU00030002;5;0.957616937
GM0003;WK000300;BU00030002;6;0.879697397
GM0003;WK000300;BU00030007;1;0.992104103
GM0003;WK000300;BU00030007;2;0.992104103
GM0003;WK000300;BU00030008;1;0.992104103
GM0003;WK000300;BU00030008;2;0.992104103
GM0003;WK000300;BU00030009;1;0.992104103
GM0003;WK000300;BU00030009;2;0.992104103
GM0010;WK001001;BU00100101;1;0.991557576
GM0010;WK001001;BU00100101;2;0.991557576
GM0010;WK001001;BU00100101;3;0.991557576
GM0010;WK001001;BU00100101;4;0.991557576
GM0010;WK001001;BU00100101;5;0.998319648
GM0010;WK001001;BU00100101;6;1.010411923
GM0010;WK001002;BU00100202;1;1.044383797
GM0010;WK001002;BU00100202;2;1.06265639
GM0010;WK001002;BU00100202;3;1.043148203
GM0010;WK001002;BU00100202;4;1.043148203
GM0010;WK001002;BU00100202;5;1.043148203
GM0010;WK001002;BU00100203;1;0.991801734
GM0010;WK001002;BU00100203;2;0.991801734
GM0010;WK001002;BU00100203;3;1.020877871
GM0010;WK001002;BU00100203;4;0.958466125
GM0010;WK001002;BU00100203;5;0.984695953
GM0010;WK001002;BU00100203;6;1.094571152
GM0010;WK001002;BU00100204;1;1.02324383
GM0010;WK001002;BU00100204;2;0.976722705
GM0010;WK001002;BU00100204;3;1.02324383
GM0010;WK001002;BU00100204;4;1.031631773
GM0010;WK001002;BU00100204;6;1.02324383
GM0010;WK001002;BU00100205;1;1.013696806
GM0010;WK001003;BU00100306;1;1.096917387
GM0010;WK001003;BU00100306;2;1.096917387
GM0010;WK001003;BU00100306;3;1.096917387
GM0010;WK001003;BU00100306;4;1.096917387
GM0010;WK001003;BU00100306;5;1.096917387
GM0010;WK001003;BU00100306;6;1.096917387
GM0010;WK001003;BU00100307;1;1.069370044
GM0010;WK001003;BU00100307;2;1.042167271
GM0010;WK001003;BU00100307;3;1.106707497
GM0010;WK001003;BU00100307;4;0.948807819
GM0010;WK001003;BU00100307;5;1.010359355
GM0010;WK001003;BU00100307;6;0.912070197
GM0010;WK001003;BU00100308;1;0.933870926
GM0010;WK001003;BU00100308;2;0.933870926
GM0010;WK001003;BU00100308;3;0.933870926
GM0010;WK001003;BU00100308;4;0.840018471
GM0010;WK001003;BU00100308;5;0.933870926
GM0010;WK001003;BU00100309;1;1.000421863
GM0010;WK001003;BU00100309;2;1.000421863
GM0010;WK001004;BU00100411;2;0.986359382
GM0010;WK001004;BU00100411;3;1.014312104
GM0010;WK001004;BU00100411;4;0.96668712
GM0010;WK001004;BU00100411;5;0.986359382
GM0010;WK001004;BU00100412;1;0.842279467
GM0010;WK001004;BU00100412;3;0.900902506
GM0010;WK001004;BU00100412;4;0.820518764
GM0010;WK001004;BU00100412;5;0.842279467
GM0010;WK001004;BU00100413;1;1.006976326
GM0010;WK001004;BU00100413;2;1.006976326
GM0010;WK001004;BU00100413;3;1.006976326
GM0010;WK001004;BU00100413;4;1.006976326
GM0010;WK001004;BU00100414;1;0.950514487
GM0010;WK001004;BU00100414;2;0.950514487
GM0010;WK001004;BU00100414;3;0.950514487
GM0010;WK001004;BU00100415;1;0.950514487
GM0010;WK001004;BU00100415;2;0.950514487
