Jaar;KGJ_BIOMASSA;KGJ_PELLETS;KGJ_KOLEN_EXCL;KGJ_KOLEN_CO2;EURKG_H2_B;EURKG_H2_G;R_groen;R_blauw
2010;9.311307024;9.311307024;3.607522093;2.084075263;3.522209071;5.594096759;1;0
2011;9.591621241;9.591621241;3.607522093;1.852511345;3.668459966;5.740347655;1;0
2012;9.871935457;9.871935457;3.607522093;1.011568695;3.729397839;5.801285528;1;0
2013;10.15224967;10.15224967;3.607522093;0.609378732;3.753772989;5.825660677;1;0
2014;10.44475147;10.44475147;3.570959369;0.804379926;3.583146944;5.655034632;1;0
2015;10.76162841;10.76162841;3.534396645;1.060318994;3.534396645;5.606284334;1;0
2016;11.8706977;11.8706977;3.485646347;0.743442053;3.290645152;5.362532841;1;0
2017;11.29788169;11.29788169;3.449083623;0.755629628;3.3637706;5.435658289;1;0
2018;12.18757464;12.18757464;3.412520899;1.998762241;3.510021496;5.581909185;1;0
2019;11.90726042;11.90726042;3.375958175;2.766579443;3.400333324;5.472221013;1;0
2020;11.74882195;11.74882195;3.327207876;2.754391868;3.436896048;5.508783737;1;0
2021;11.57819591;11.57819591;3.290645152;2.754391868;3.38814575;5.460033438;1;0
2022;11.40756986;11.40756986;3.254082429;3.120019107;3.436896048;5.508783737;1;0
2023;11.23694382;11.23694382;3.20533213;3.485646347;3.497833921;5.56972161;1;0
2024;11.07850535;11.07850535;3.168769406;3.839086011;3.54658422;5.618471908;1;0
2025;10.9078793;10.9078793;3.132206682;4.20471325;3.607522093;5.679409782;1;0
2026;10.74944083;10.74944083;3.095643958;4.57034049;3.607522093;5.679409782;1;0
2027;10.59100236;10.59100236;3.04689366;4.935967729;3.619709668;5.691597356;1;0
2028;10.43256389;10.43256389;3.010330936;5.301594968;4.399714445;1.694072875;1;0
2029;10.27412542;10.27412542;2.973768212;5.667222207;4.399714445;1.694072875;1;0
2030;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2031;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2032;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2033;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2034;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2035;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2036;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2037;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2038;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2039;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2040;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2041;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2042;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2043;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2044;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2045;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2046;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2047;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2048;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2049;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
2050;10.12787452;10.12787452;2.937205488;6.032849446;4.399714445;1.694072875;1;0
