type_str;bouwjaar_str;Default_label;Vrv_N_asl;Vrv_N_opp;Vrv_G_asl;Vrv_G_opp;Vrv_F_asl;Vrv_F_opp;Vrv_E_asl;Vrv_E_opp;Vrv_D_asl;Vrv_D_opp;Vrv_C_asl;Vrv_C_opp;Vrv_B_asl;Vrv_B_opp;Vrv_A_asl;Vrv_A_opp;Vvent_asl;Vvent_opp;Vww_asl;Vww_opp;Ve_asl;Ve_opp;Vk_asl;Vk_opp;Ki_SGD_min_asl;Ki_SGD_min_opp;Ki_SGD_max_asl;Ki_SGD_max_opp;Ki_SFD_min_asl;Ki_SFD_min_opp;Ki_SFD_max_asl;Ki_SFD_max_opp;Ki_SED_min_asl;Ki_SED_min_opp;Ki_SED_max_asl;Ki_SED_max_opp;Ki_SGC_min_asl;Ki_SGC_min_opp;Ki_SGC_max_asl;Ki_SGC_max_opp;Ki_SFC_min_asl;Ki_SFC_min_opp;Ki_SFC_max_asl;Ki_SFC_max_opp;Ki_SEC_min_asl;Ki_SEC_min_opp;Ki_SEC_max_asl;Ki_SEC_max_opp;Ki_SDC_min_asl;Ki_SDC_min_opp;Ki_SDC_max_asl;Ki_SDC_max_opp;Ki_SGB_min_asl;Ki_SGB_min_opp;Ki_SGB_max_asl;Ki_SGB_max_opp;Ki_SFB_min_asl;Ki_SFB_min_opp;Ki_SFB_max_asl;Ki_SFB_max_opp;Ki_SEB_min_asl;Ki_SEB_min_opp;Ki_SEB_max_asl;Ki_SEB_max_opp;Ki_SDB_min_asl;Ki_SDB_min_opp;Ki_SDB_max_asl;Ki_SDB_max_opp;Ki_SCB_min_asl;Ki_SCB_min_opp;Ki_SCB_max_asl;Ki_SCB_max_opp
vrijstaand;voor 1930;F;37.73234704;0.130946973;35.67701466;0.137462709;36.91448137;0.137664785;34.14580676;0.135725197;32.23047158;0.137639679;30.01073327;0.136082054;27.41341125;0.13421438;24.51144387;0.132601424;0;0.006621277;8.5;0;9.7;0;0;0.01917;6349;95;6349;95;6731;35;6731;35;7471;0;7471;0;15696;109;15696;109;7444;89;7444;89;9350;51;9350;51;10078;8;10078;8;42307;41;42307;41;39668;71;39668;71;31071;32;31071;32;22696;95;22696;95;17358;40;17358;40
vrijstaand;1930 - 1945;F;40.0124172;0.127245804;38.41759173;0.133287791;39.21994181;0.133468521;36.84112785;0.129153727;33.44338354;0.133215279;32.06727705;0.131891811;30.27300493;0.130082442;27.49078997;0.131207397;0;0.006621277;8.5;0;9.7;0;0;0.01917;3474;110;3474;110;5042;35;5042;35;7471;0;7471;0;19472;93;19472;93;7474;94;7474;94;9338;39;9338;39;8267;9;8267;9;39940;63;39940;63;39668;71;39668;71;31071;32;31071;32;22696;95;22696;95;17358;40;17358;40
vrijstaand;1946 - 1964;F;38.41989734;0.138697832;35.16796117;0.143507599;38.37680559;0.144589532;36.87339308;0.144559459;34.46147672;0.142544684;30.76575084;0.144341042;31.78076701;0.136870817;25.9342625;0.139515231;0;0.009176184;8.5;0;9.7;0;0;0.01917;3474;110;3474;110;275;64;275;64;7471;0;7471;0;19472;93;19472;93;-1282;160;-1282;160;9338;39;9338;39;8267;9;8267;9;39940;63;39940;63;39668;71;39668;71;31071;32;31071;32;22696;95;22696;95;10573;86;10573;86
vrijstaand;1965 - 1974;D;36.74969327;0.15096378;34.24677926;0.155655532;33.3919825;0.157271954;36.09794006;0.157424022;35.58012963;0.157835723;29.5696481;0.157727305;26.99035899;0.157806517;28.06351242;0.155789033;0;0.009750179;9.2;0;9.56;0;0;0.01917;6816;90;6816;90;5073;34;5073;34;7471;0;7471;0;19472;93;19472;93;8232;101;8232;101;20653;28;20653;28;6385;28;6385;28;39347;64;39347;64;39668;71;39668;71;33344;63;33344;63;34484;61;34484;61;13401;63;13401;63
vrijstaand;1975 - 1991;C;29.91801462;0.162155564;33.75438997;0.167215231;33.70146321;0.167605795;33.8750597;0.167339197;30.24268324;0.168878872;28.26650467;0.168976533;23.59228039;0.168741879;24.60237867;0.16847017;0;0.008885914;9.7;0;9.46;0;0;0.01917;6816;90;6816;90;5073;34;5073;34;7471;0;7471;0;19472;93;19472;93;8232;101;8232;101;20653;28;20653;28;9522;14;9522;14;39347;64;39347;64;39668;71;39668;71;33344;63;33344;63;29542;76;29542;76;18783;25;18783;25
vrijstaand;1992 - 1995;B;22.64398739;0.173061901;32.79193017;0.168524116;30.92651139;0.173289661;28.65630632;0.158599804;24.62684791;0.171947643;20.57842452;0.179812987;20.33182905;0.180157684;18.97939438;0.179971588;0;0;10.6;0;9.28;0;0;0.01917;6816;90;6816;90;5073;34;5073;34;7471;0;7471;0;19472;93;19472;93;8232;101;8232;101;20653;28;20653;28;9522;14;9522;14;39347;64;39347;64;39668;71;39668;71;33344;63;33344;63;29542;76;29542;76;10781;77;10781;77
vrijstaand;1996 - 1999;B;20.69200648;0.166100762;34.68012253;0.165510449;35.19879934;0.166635235;30.8339178;0.151834648;24.61387575;0.167133682;20.07674041;0.173097869;18.36824171;0.173172888;17.14596915;0.172879042;0;0;10.6;0;9.28;0;0;0.01917;6816;90;6816;90;5073;34;5073;34;7471;0;7471;0;19472;93;19472;93;8232;101;8232;101;12501;36;12501;36;8959;14;8959;14;39347;64;39347;64;39668;71;39668;71;33344;63;33344;63;22696;95;22696;95;35772;26;35772;26
vrijstaand;2000 - 2005;B;21.82344614;0.148225768;37.53809221;0.147836444;34.6931768;0.149107611;30.97096519;0.1450009;30.09818763;0.14863013;29.98476382;0.152719125;20.37100676;0.155324923;18.17832681;0.155079822;0;0;10.6;0;9.28;0;0;0.01917;6816;90;6816;90;5073;34;5073;34;7471;0;7471;0;19472;93;19472;93;8232;101;8232;101;12501;36;12501;36;8959;14;8959;14;39347;64;39347;64;39668;71;39668;71;33344;63;33344;63;22696;95;22696;95;35772;26;35772;26
vrijstaand;2006 - 2010;A;23.39615319;0.137446261;32.40177618;0.132166832;35.64532903;0.133401968;34.25377962;0.135233073;31.60401776;0.136400313;28.14258329;0.136709619;23.82534976;0.13802725;20.44742542;0.144465667;0;0;10.6;0;9.28;0;0;0.01917;6816;90;6816;90;5073;34;5073;34;7471;0;7471;0;19472;93;19472;93;8232;101;8232;101;12501;36;12501;36;8959;14;8959;14;39347;64;39347;64;39668;71;39668;71;33344;63;33344;63;22696;95;22696;95;35772;26;35772;26
vrijstaand;2011 - 2014;A;21.17955912;0.132193981;35.6723384;0.118625;35.07280823;0.118612794;28.07503237;0.118449022;34.6464735;0.118603959;27.54040925;0.118434633;22.87414172;0.118294671;18.57170296;0.138074919;0;0;10.6;0;9.28;0;0;0.01917;6816;90;6816;90;5073;34;5073;34;7471;0;7471;0;19472;93;19472;93;8232;101;8232;101;12501;36;12501;36;8959;14;8959;14;39347;64;39347;64;39668;71;39668;71;33344;63;33344;63;22696;95;22696;95;35772;26;35772;26
