Jaar;KGJ_BIOMASSA;KGJ_PELLETS;KGJ_KOLEN_EXCL;KGJ_KOLEN_CO2;EURKG_H2_B;EURKG_H2_G;R_groen;R_blauw
2010;0;0;0;0;0;0;1;0
2011;0;0;0;0;0;0;1;0
2012;0;0;0;0;0;0;1;0
2013;0;0;0;0;0;0;1;0
2014;0;0;0;0;0;0;1;0
2015;0;0;0;0;0;0;1;0
2016;0;0;0;0;0;0;1;0
2017;0;0;0;0;0;0;1;0
2018;0;0;0;0;0;0;1;0
2019;0;0;0;0;0;0;1;0
2020;0;0;0;0;0;0;1;0
2021;0;0;0;0;0;0;1;0
2022;0;0;0;0;0;0;1;0
2023;13.93406549;13.93406549;0;0;0;0;1;0
2024;0;0;0;0;0;0;1;0
2025;0;0;0;0;0;0;1;0
2026;0;0;0;0;0;0;1;0
2027;0;0;0;0;0;0;1;0
2028;0;0;0;0;0;0;1;0
2029;0;0;0;0;0;0;1;0
2030;12.55879438;12.55879438;0;0;0;0;1;0
2031;0;0;0;0;0;0;1;0
2032;0;0;0;0;0;0;1;0
2033;0;0;0;0;0;0;1;0
2034;0;0;0;0;0;0;1;0
2035;0;0;0;0;0;0;1;0
2036;0;0;0;0;0;0;1;0
2037;0;0;0;0;0;0;1;0
2038;0;0;0;0;0;0;1;0
2039;0;0;0;0;0;0;1;0
2040;0;0;0;0;0;0;1;0
2041;0;0;0;0;0;0;1;0
2042;0;0;0;0;0;0;1;0
2043;0;0;0;0;0;0;1;0
2044;0;0;0;0;0;0;1;0
2045;0;0;0;0;0;0;1;0
2046;0;0;0;0;0;0;1;0
2047;0;0;0;0;0;0;1;0
2048;0;0;0;0;0;0;1;0
2049;0;0;0;0;0;0;1;0
2050;0;0;0;0;0;0;1;0
