Naam,Waarde,Eenheid,Bron,Beschrijving,
V_elek_WKO_min,0.025,GJe_GJth,-,elektriciteitsgebruik in WKO installatie,
V_elek_WKO_max,0.025,GJe_GJth,-,elektriciteitsgebruik in WKO installatie,
V_elek_TEO_min,0.017,GJe_GJth,Validatiesessies 2024,elektriciteitsgebruik in TEO installatie,
V_elek_TEO_max,0.017,GJe_GJth,Validatiesessies 2024,elektriciteitsgebruik in TEO installatie,
W_zonder_bijstook_min,0.8,ratio,Validatiesessies 2024,Percentage grootschalige warmte dat niet wordt bijgestookt,
W_zonder_bijstook_max,0.9,ratio,Validatiesessies 2024,Percentage grootschalige warmte dat niet wordt bijgestookt,
Vermogenverlies_LT_min,0.1,ratio,-,aandeel op capaciteit dat verloren gaat tussen bron en afnemer,
Vermogenverlies_LT_max,0,ratio,-,aandeel op capaciteit dat verloren gaat tussen bron en afnemer,
Vermogenverlies_MT_min,0.1,ratio,-,aandeel op capaciteit dat verloren gaat tussen bron en afnemer,
Vermogenverlies_MT_max,0,ratio,-,aandeel op capaciteit dat verloren gaat tussen bron en afnemer,
Leidingverlies_ZLT_min,0,GJ_yr_asl,CE Delft (2024) - Advies validatiesessies individuele installaties en warmtenetten Actualisatie Startanalyse 2024 - 4.4.1 fig.5,'onderwaarde warmte per aansluiting verloren tussen bron en afnemer, ZLT netten',
Leidingverlies_ZLT_max,0,GJ_yr_asl,CE Delft (2024) - Advies validatiesessies individuele installaties en warmtenetten Actualisatie Startanalyse 2024 - 4.4.1 fig.5,'bovenwaarde warmte per aansluiting verloren tussen bron en afnemer, ZLT netten',
Leidingverlies_LT_min,2.6,GJ_yr_asl,CE Delft (2024) - Advies validatiesessies individuele installaties en warmtenetten Actualisatie Startanalyse 2024 - 4.4.1 fig.5,'onderwaarde warmte per aansluiting verloren tussen bron en afnemer, LT netten',
Leidingverlies_LT_max,2.6,GJ_yr_asl,CE Delft (2024) - Advies validatiesessies individuele installaties en warmtenetten Actualisatie Startanalyse 2024 - 4.4.1 fig.5,'bovenwaarde warmte per aansluiting verloren tussen bron en afnemer, LT netten',
Leidingverlies_MT_min,10.5,GJ_yr_asl,CE Delft (2024) - Advies validatiesessies individuele installaties en warmtenetten Actualisatie Startanalyse 2024 - 4.4.1 fig.5,'onderwaarde warmte per aansluiting verloren tussen bron en afnemer, MT netten',
Leidingverlies_MT_max,10.5,GJ_yr_asl,CE Delft (2024) - Advies validatiesessies individuele installaties en warmtenetten Actualisatie Startanalyse 2024 - 4.4.1 fig.5,'bovenwaarde warmte per aansluiting verloren tussen bron en afnemer, MT netten',
Leidingverlies_KD_min,1.5,GJ_yr_asl,CE Delft (2024) - Advies validatiesessies individuele installaties en warmtenetten Actualisatie Startanalyse 2024 - 4.4.1 fig.5,'onderwaarde warmte per aansluiting verloren tussen bron en afnemer, KD netten',
Leidingverlies_KD_max,1.5,GJ_yr_asl,CE Delft (2024) - Advies validatiesessies individuele installaties en warmtenetten Actualisatie Startanalyse 2024 - 4.4.1 fig.5,'bovenwaarde warmte per aansluiting verloren tussen bron en afnemer, KD netten',
Pompenergie_Wnet_min,0.0072,ratio,-,elektriciteitsverbruik distributiepompen warmtenetten,
Pompenergie_Wnet_max,0.0072,ratio,-,elektriciteitsverbruik distributiepompen warmtenetten,
Efficiency_piekketel_min,0.78,ratio,nketel: FO, Tabel bij F 35,kengetal voor de efficientie van energieomzetting in gasgestookte hulpketels
Efficiency_piekketel_max,1.07,ratio,nketel: FO, Tabel bij F 35,kengetal voor de efficientie van energieomzetting in gasgestookte hulpketels
HulpketelVermogens_min,1,ratio,-,capaciteit hulpketels per eenheid piekvraag,
HulpketelVermogens_max,0.7,ratio,-,capaciteit hulpketels per eenheid piekvraag,
HoofdbronVermogens_min,0.3,ratio,-,capaciteit hoofdbron per eenheid piekvraag,
HoofdbronVermogens_max,0.3,ratio,-,capaciteit hoofdbron per eenheid piekvraag,
Eff_ketel_min,1.04,ratio,-,efficiency van HR ketels onder minimale toekomstige omstandigheden,
Eff_ketel_max,1.07,ratio,-,efficiency van HR ketels onder maximale toekomstige omstandigheden,
