Naam;Waarde;Eenheid;Bron;Beschrijving
H2energie_onder;120;MJ_kg;CE Delft parameters H2 pp. 6 Tabel  1;Energieinhoud van waterstof - deze wordt gebruikt
H2energie_boven;141.8;MJ_kg;CE Delft parameters H2 pp. 6 Tabel  1;Energieinhoud van waterstof - deze wordt niet gebruikt
R_oh_aansl;0.0429;_yr;Nico Hoogervorst - notitie waterstof;10 €/jaar voor extra netbeheer plus 6 €/jaar voor CO-meting. Oftewel 16 €/jaar totaal extra O&B op aansluitkosten van (200+173) 373 €.
R_lv_admin;0;ratio;Nico Hoogervorst - notitie waterstof;jaarlijkse administratieve lasten voor leverancier als aandeel van het vastrecht
Ki_pm_min;0;Eur_asl;20-11-2019 Werkwaarde 24-1-2020 (nul);minimale vergoeding voor projectmanagement
Ki_pm_max;0;Eur_asl;20-11-2019 Werkwaarde 24-1-2020 (nul);maximale vergoeding voor projectmanagement
Ki_ov_min;0;Eur_asl;20-11-2019 Werkwaarde 24-1-2020 (nul);minimale vergoeding voor ongerief bewoners
Ki_ov_max;0;Eur_asl;20-11-2019 Werkwaarde 24-1-2020 (nul);maximale vergoeding voor ongerief bewoners
K_aansl_w_min;455;Eur_asl;Nico Hoogervorst - notitie waterstof;244 euro aanpassing aansluiting, 211 euro aanpassen gasmeter
K_aansl_w_max;455;Eur_asl;Nico Hoogervorst - notitie waterstof;244 euro aanpassing aansluiting, 211 euro aanpassen gasmeter
K_section_min;0;Eur;CE Delft parameters H2 pp.18 Tabel 13;minimale kosten voor het afsectioneren van het netwerk om het klaar te maken voor waterstof
K_section_max;0;Eur;CE Delft parameters H2 pp.18 Tabel 13;maximale kosten voor het afsectioneren van het netwerk om het klaar te maken voor waterstof
K_aansl_u_min;3.5;Eur_m2;Nico Hoogervorst - notitie waterstof;Afgeleid van woningkental (obv. 450/weq van 130m2)
K_aansl_u_max;3.5;Eur_m2;Nico Hoogervorst - notitie waterstof;Afgeleid van woningkental (obv. 450/weq van 130m2)
CO2_GJb;0;kg_GJ;-;Emissie CO2
NOx_GJb;0;g_GJ;-;Emissie Nox
SO2_GJb;0;g_GJ;-;Emissie SO2
VOS_GJb;0;g_GJ;-;Emissie vluchtige organische stoffen
TS_GJb;0;g_GJ;-;?
