Naam;Waarde;Eenheid;Bron;Beschrijving
AF;0.75;ratio;Functioneel Ontwerp 4.0 Bijlage A.5 tabel 24;aansluitbijdragefactor voor verhouding aansluitbijdrage utiliteit ten opzichte van woningbouw
L_g_HD_MD;68332528;m;Functioneel Ontwerp 4.0 Bijlage A.5 tabel 24;lengte middendruk en hogedruk gasnetwerk
L_e_HS_MS;5515556;m;Functioneel Ontwerp 4.0 Bijlage A.5 tabel 24;lengte middenspanning en hooogspanning electiciteitnetwerk
Aansluittarief_bw_g;0;Eur_asl;Functioneel Ontwerp 4.0 Bijlage A.5 tabel 24;aansluittarief bestaande woningen gas
Aansluittarief_bw_e;0;Eur_asl;Functioneel Ontwerp 4.0 Bijlage A.5 tabel 25;aansluittarief bestaande woningen electriciteit
Aansluittarief_nw_g;1060.865415;Eur_asl;Functioneel Ontwerp 4.0 Bijlage A.5 tabel 26;aansluittarief nieuwe woningen gas
Aansluittarief_nw_e;740.603037;Eur_asl;Functioneel Ontwerp 4.0 Bijlage A.5 tabel 27;aansluittarief nieuwe woningen electriciteit
Aansluittarief_bu_g;0;Eur_m2;Functioneel Ontwerp 4.0 Bijlage A.5 tabel 28;aansluittarief bestaande utiliteit gas
Aansluittarief_bu_e;0;Eur_m3;Functioneel Ontwerp 4.0 Bijlage A.5 tabel 29;aansluittarief bestaande utiliteit electiciteit
Vastrecht_g;18;Eur_yr_asl;tarieven 2024 https://www.stedin.net/tarieven/download-tarieven;vastrecht gas
Vastrecht_e;18;Eur_yr_asl;tarieven 2024 https://www.stedin.net/tarieven/download-tarieven;vastrecht electriciteit
PA_g;40.58;Eur_yr_asl;tarieven 2024 https://www.stedin.net/tarieven/download-tarieven;periodieke aansluitvergoeding gas
PA_e;35.48;Eur_yr_asl;tarieven 2024 https://www.stedin.net/tarieven/download-tarieven;periodieke aansluitvergoeding electriciteit
meterhuur_g;26.17;Eur_yr_asl;tarieven 2024 https://www.stedin.net/tarieven/download-tarieven;meterhuur gas
meterhuur_e;30.16;Eur_yr_asl;tarieven 2024 https://www.stedin.net/tarieven/download-tarieven;meterhuur elektriciteit
capaciteitstarief_g;102.27;Eur_yr_asl;tarieven 2024 https://www.stedin.net/tarieven/download-tarieven;capaciteitstarief gas
capaciteitstarief_e;266.8;Eur_yr_asl;tarieven 2024 https://www.stedin.net/tarieven/download-tarieven;capaciteitstarief elektriciteit
Leveringstarief_g;65.17857899;Eur_yr_asl;energiecijfers RVO per 1 juli 2019 tbv PBL;leveringstarief gas
Leveringstarief_e;64.01446367;Eur_yr_asl;energiecijfers RVO per 1 juli 2019 tbv PBL;leveringstarief electiciteit
Kji_trans_g;514.5228385;Meur_yr;FO 3.0 pp 91, naar inkomsten geschaald a.d.h.v. huidige (4-10-2019) netwerktarieven in Euro2018;kapitaallasten transport gas
Kji_trans_e;675.2700346;Meur_yr;FO 3.0 pp 91, naar inkomsten geschaald a.d.h.v. huidige (4-10-2019) netwerktarieven in Euro2019;kapitaallasten transport elektriciteit
Kji_distr_g;1155.109529;Meur_yr;FO 3.0 pp 91, naar inkomsten geschaald a.d.h.v. huidige (4-10-2019) netwerktarieven in Euro2020;kapitaallasten distributie gas
Kji_distr_e;1514.517774;Meur_yr;FO 3.0 pp 91, naar inkomsten geschaald a.d.h.v. huidige (4-10-2019) netwerktarieven in Euro2021;kapitaallasten distributie elektriciteit
Kj_oh_trans_g;205.8115729;Meur_yr;FO 3.0 pp 91, naar inkomsten geschaald a.d.h.v. huidige (4-10-2019) netwerktarieven in Euro2018;onderhoudskosten transport gas
Kj_oh_trans_e;450.1800231;Meur_yr;FO 3.0 pp 91, naar inkomsten geschaald a.d.h.v. huidige (4-10-2019) netwerktarieven in Euro2019;onderhoudskosten transport elektriciteit
Kj_oh_distr_g;330.0363195;Meur_yr;FO 3.0 pp 91, naar inkomsten geschaald a.d.h.v. huidige (4-10-2019) netwerktarieven in Euro2020;onderhoudskosten distributie gas
Kj_oh_distr_e;1081.79841;Meur_yr;FO 3.0 pp 91, naar inkomsten geschaald a.d.h.v. huidige (4-10-2019) netwerktarieven in Euro2021;onderhoudskosten distributie elektriciteit
Km_lengte_LD_net_NL;117662.36;Km;;
Km_lengte_LS_net_NL;181620.277;Km;;
