Naam;Waarde;Eenheid;Bron;Beschrijving
Ki_id_geenBlok;3000;Eur_asl;Validatiesessies 2024. Correctie o.b.v. Atriensis model;
Ki_id_metBlok;1444;Eur_asl;Validatiesessies 2024. Correctie o.b.v. Atriensis model;
Ki_id_grondgeb;2700;Eur_asl;Validatiesessies 2024. Correctie o.b.v. Atriensis model;
Ki_afleverset;1800;Eur_asl;Validatiesessies 2024. Kosten voor afleverset, installatie en demontage oude installatie.;
Ki_blokverw;194.8705282;Eur_Kw;Functioneel Ontwerp 4.0 Tabel A.3;
K_Ov;0;Eur_asl;Validatiesessies 2024. Ongeriefsvergoeding niet meer toepassen, vooral relevant bij grootschalige renovatiemomenten, niet warmtenetspecifiek.;
K_Pm_min;66.72281359;Eur_asl;Functioneel Ontwerp 4.0 Tabel A.3;
K_Pm_max;333.6021892;Eur_asl;Functioneel Ontwerp 4.0 Tabel A.3;
K_Wmtr_min_var;1.472962237;Eur_Kw;Functioneel Ontwerp 4.0 Tabel A.4;
K_Wmtr_max_var;1.734294247;Eur_Kw;Functioneel Ontwerp 4.0 Tabel A.5;
K_Wmtr_min_vast;1067.529381;Eur_asl;Functioneel Ontwerp 4.0 Tabel A.6;
K_Wmtr_max_vast;1100.896727;Eur_asl;Functioneel Ontwerp 4.0 Tabel A.7;
Ki_huur_CO2Inst;2135.058763;Eur_ha_yr;Functioneel Ontwerp 4.0 Tabel A.3;
K_CO2;106.6709749;Eur_ton;Functioneel Ontwerp 4.0 Tabel A.4;
K_Dienst_Gwarm;13344.14696;Eur;Functioneel Ontwerp 4.0 Tabel A.5;
K_Dienst_BOwarm;8006.488178;Eur;Functioneel Ontwerp 4.0 Tabel A.6;
GemOppGroente;13066.60049;m2;Gem_opp_groente, FO F47b;
GemOppbloemen_overig;10690.85495;m2;Gem_opp_bloemen/Gem_opp_overig, FO F47b;
GroenteKasLengteFactor;2.375745544;m;-;
V_CO2;403.8767424;ton_ha_yr;Functioneel Ontwerp 4.0 Tabel A.3;
K_os_min;44;Eur_kW;CE Delft 2022. Warmtenetten in Vesta MAIS. Update berekeningsmethoden;
K_os_Max;124;Eur_kW;CE Delft 2022. Warmtenetten in Vesta MAIS. Update berekeningsmethoden;
K_WOS_min;275;Eur_kW;Validatiesessies 2024. Kosten voor overdrachtsstation & piekketel.;
K_WOS_max;300;Eur_kW;Validatiesessies 2024. Kosten voor overdrachtsstation & piekketel.;
