Naam;Waarde;Eenheid;Bron;Beschrijving
Ki_verv_LD_min;288;Eur_m;Inventarisatie netbeheerders 2024;minimaal kostenkengetal vervangen LD-gasnet
Ki_verv_LD_max;352;Eur_m;Inventarisatie netbeheerders 2024;maximaal kostenkengetal vervangen LD-gasnet
Ki_verw_g_laagb_min;1090.8;Eur_asl;Inventarisatie netbeheerders 2024;minimaal kostenkengetal verwijderen gasaansluiting bij laagbouw
Ki_verw_g_laagb_max;1333.2;Eur_asl;Inventarisatie netbeheerders 2024;maximaal kostenkengetal verwijderen gasaansluiting bij laagbouw
Ki_verw_g_hoogb_min;431.1;Eur_asl;Inventarisatie netbeheerders 2024;minimaal kostenkengetal verwijderen gasaansluiting bij hoogbouw
Ki_verw_g_hoogb_max;526.9;Eur_asl;Inventarisatie netbeheerders 2024;maximaal kostenkengetal verwijderen gasaansluiting bij hoogbouw
Ki_verw_g_util_min;1125;Eur_asl;Inventarisatie netbeheerders 2024;minimaal kostenkengetal verwijderen gasaansluiting bij utiliteit
Ki_verw_g_util_max;1375;Eur_asl;Inventarisatie netbeheerders 2024;maximaal kostenkengetal verwijderen gasaansluiting bij utiliteit
Ki_verw_LD_min;83.7;Eur_m;Inventarisatie netbeheerders 2024;minimaal kostenkengetal verwijderen LD-gasnet
Ki_verw_LD_max;102.3;Eur_m;Inventarisatie netbeheerders 2024;maximaal kostenkengetal verwijderen LD-gasnet
Ki_verzw_e_min;688.5;Eur_asl;Inventarisatie netbeheerders 2024;minimaal kostenkengetal verzwaren aansluiting naar 3x25
Ki_verzw_e_max;841.5;Eur_asl;Inventarisatie netbeheerders 2024;maximaal kostenkengetal verzwaren aansluiting naar 3x25
Ki_MSR_min;57305.7;Eur_MSR;Inventarisatie netbeheerders 2024;minimaal kostenkengetal plaatsen nieuwe MS-ruimte
Ki_MSR_max;70040.3;Eur_MSR;Inventarisatie netbeheerders 2024;maximaal kostenkengetal plaatsen nieuwe MS-ruimte
Ki_verzw_LS_min;106.2;Eur_m;Inventarisatie netbeheerders 2024;minimaal kostenkengetal verzwaren LS-net
Ki_verzw_LS_max;129.8;Eur_m;Inventarisatie netbeheerders 2024;maximaal kostenkengetal verzwaren LS-net
P_MSR_kw;630;kW_MSR;Inventarisatie netbeheerders 2024;individuele capaciteit van nieuw te plaatsen MS-ruimtes
