Naam;Waarde;Eenheid;Bron;Beschrijving
GTF_w_K;0.55;ratio;CE Delft Functioneel Ontwerp LTnetten;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_w_TW;0.1;ratio;validatiesessies startanalyse 05-2019;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_w_RVmt;0.5;ratio;validatiesessies startanalyse 05-2019;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_w_RVlt;0.55;ratio;CE Delft Functioneel Ontwerp LTnetten;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_w_Enet;0.5;ratio;doc/notitie aanpassingen E en G infra;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_u_K;0.95;ratio;CE Delft Functioneel Ontwerp LTnetten;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_u_TW;0.1;ratio;gelijkgesteld aan woningen;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_u_RVmt;0.95;ratio;CE Delft functioneel ontwerp Vesta3.0;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_u_RVlt;0.95;ratio;CE Delft Functioneel Ontwerp LTnetten;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_u_Enet;0.95;ratio;doc/notitie aanpassingen E en G infra;GELIJKTIJDIGHEIDSFACTOREN BIJ LEVERING
GTF_t_K;1;ratio;FO 4.0 pp. 140;Bij glastuinbouw is gelijktijdigheid 100% omdat de energie wordt ingezet voor een continu bedrijfsproces
GTF_t_TW;1;ratio;FO 4.0 pp. 140;Bij glastuinbouw is gelijktijdigheid 100% omdat de energie wordt ingezet voor een continu bedrijfsproces
GTF_t_RVmt;1;ratio;FO 4.0 pp. 140;Bij glastuinbouw is gelijktijdigheid 100% omdat de energie wordt ingezet voor een continu bedrijfsproces
GTF_t_RVlt;1;ratio;FO 4.0 pp. 140;Bij glastuinbouw is gelijktijdigheid 100% omdat de energie wordt ingezet voor een continu bedrijfsproces
GTF_t_Enet;1;ratio;FO 4.0 pp. 140;Bij glastuinbouw is gelijktijdigheid 100% omdat de energie wordt ingezet voor een continu bedrijfsproces
ASW_K_wl_opp;0;kw_m2;;KOUDE LEVERING/PRODUCTIE
ASW_K_wl_asl_min;2;kw_asl;CE Delft Functioneel Ontwerp LTnetten;KOUDE LEVERING/PRODUCTIE
ASW_K_wl_asl_max;2;kw_asl;CE Delft Functioneel Ontwerp LTnetten;KOUDE LEVERING/PRODUCTIE
ASW_K_wh_opp;0;kw_m2;;KOUDE LEVERING/PRODUCTIE
ASW_K_wh_asl_min;2;kw_asl;CE Delft Functioneel Ontwerp LTnetten;KOUDE LEVERING/PRODUCTIE
ASW_K_wh_asl_max;2;kw_asl;CE Delft Functioneel Ontwerp LTnetten;KOUDE LEVERING/PRODUCTIE
ASW_K_u_opp_min;0.06;kw_m2;CE Delft Functioneel Ontwerp LTnetten;KOUDE LEVERING/PRODUCTIE
ASW_K_u_opp_max;0.06;kw_m2;CE Delft Functioneel Ontwerp LTnetten;KOUDE LEVERING/PRODUCTIE
ASW_K_u_asl;0;kw_asl;;KOUDE LEVERING/PRODUCTIE
ASW_K_t_opp;0;kw_m2;;KOUDE LEVERING/PRODUCTIE
ASW_K_t_asl;0;kw_asl;;KOUDE LEVERING/PRODUCTIE
ASW_TWmt_wl_opp;0;kw_m2;;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_wl_asl_min;4;kw_asl;validatiesessies startanalyse 05-2019;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_wl_asl_max;4;kw_asl;validatiesessies startanalyse 05-2019;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_wh_opp;0;kw_m2;;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_wh_asl_min;2;kw_asl;validatiesessies startanalyse 05-2019;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_wh_asl_max;2;kw_asl;validatiesessies startanalyse 05-2019;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_u_opp_min;0.04;kw_m2;CE Delft functioneel ontwerp Vesta3.0;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_u_opp_max;0.04;kw_m2;CE Delft functioneel ontwerp Vesta3.0;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_u_asl;0;kw_asl;;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_t_opp;0;kw_m2;;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_TWmt_t_asl;0;kw_asl;;TAPWATER LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_wl_opp_min;nvt;kw_m2;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_wl_opp_max;nvt;kw_m2;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_wl_asl_min;nvt;kw_asl;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_wl_asl_max;nvt;kw_asl;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_wh_opp_min;nvt;kw_m2;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_wh_opp_max;nvt;kw_m2;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_wh_asl_min;nvt;kw_asl;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_wh_asl_max;nvt;kw_asl;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_u_opp_min;nvt;kw_m2;Geschrapt;alleen voor Unieuw
ASW_RVmt_u_opp_max;nvt;kw_m2;Geschrapt;alleen voor Unieuw
ASW_RVmt_u_opp_specific_min;nvt;kw_m2;Geschrapt;[ kantoor, winkel, gezondheiszorg, logies, onderwijs, industrie, bijeenkomst, sport, overig, cel ]
ASW_RVmt_u_opp_specific_max;nvt;kw_m2;Geschrapt;[ kantoor, winkel, gezondheiszorg, logies, onderwijs, industrie, bijeenkomst, sport, overig, cel ]
ASW_RVmt_u_asl;nvt;kw_asl;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_t_opp;nvt;kw_m2;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_RVmt_t_asl;nvt;kw_asl;Geschrapt;RUIMTEVERWARMING LEVERING/PRODUCTIE 70 GRADEN OF HOGER
ASW_Eapp_wl_opp_min;0;kw_m2;doc/notitie aanpassingen E en G infra;ELEKTRICITEITSNET APPARATUUR LETOP: laagbouw/hoogbouw onderscheid nog niet gebruikt, alleen de wl opties worden gebruikt
