Jaar	KGJ_BIOBRON	KGJ_KOLEN_EXCL	KGJ_KOLEN_CO2	EURKG_H2_B	EURKG_H2_G	R_groen	R_blauw	KGJ_PELLETS	CO2_PELLETS	KGJ_BIOMASSA	CO2_BIOMASSA	KGJ_OLIE	KGJ_OLIE_EH	CO2_OLIE
2000	7,64	2,96	1,71	2,89	3,83	0	1	5,23	109,6	4,89	109,6	17,58	9,49	72,5
2001	7,64	2,96	1,71	2,89	3,83	0	1	5,23	109,6	4,89	109,6	17,58	9,49	72,5
2002	7,64	2,96	1,71	2,89	3,83	0	1	5,23	109,6	4,89	109,6	17,58	9,49	72,5
2003	7,64	2,96	1,71	2,89	3,83	0	1	5,23	109,6	4,89	109,6	17,58	9,49	72,5
2004	7,64	2,96	1,71	2,89	3,83	0	1	5,23	109,6	4,89	109,6	17,58	9,49	72,5
2005	7,64	2,96	1,71	2,89	3,83	0	1	5,23	109,6	4,89	109,6	17,58	9,49	72,5
2006	7,64	2,96	1,71	2,89	3,83	0	1	6,31	109,6	4,89	109,6	17,58	9,49	72,5
2007	7,64	2,96	1,71	2,89	3,83	0	1	7,38	109,6	4,89	109,6	17,58	12,92	72,5
2008	7,64	2,96	1,71	2,89	3,83	0	1	8,46	109,6	4,89	109,6	21,56	12,79	72,5
2009	7,64	2,96	1,71	2,89	3,83	0	1	8,18	109,6	4,89	109,6	14,24	13,86	72,5
2010	7,64	2,96	1,71	2,89	3,83	0	1	7,9	109,6	4,89	109,6	18,11	13,97	72,5
2011	7,87	2,96	1,52	3,01	3,83	0	1	8,14	109,6	4,84	109,6	22,41	13,68	72,5
2012	8,1	2,96	0,83	3,06	3,83	0	1	8,38	109,6	4,8	109,6	23,99	13,58	72,5
2013	8,33	2,96	0,5	3,08	3,83	0	1	8,62	109,6	4,75	109,6	22,03	13,54	72,5
2014	8,57	2,93	0,66	2,94	3,83	0	1	8,86	109,6	4,7	109,6	20,19	14,59	72,5
2015	8,83	2,9	0,87	2,9	3,83	0	1	9,14	109,6	4,65	109,6	15,73	14,64	72,5
2016	9,74	2,86	0,61	2,7	3,83	0	1	10,08	109,6	4,6	109,6	13,24	14,66	72,5
2017	9,27	2,83	0,62	2,76	3,83	0	1	9,6	109,6	4,55	109,6	15,12	14,5	72,5
2018	10	2,8	1,64	2,88	3,83	0	1	10,35	109,6	4,5	109,6	17,49	14,42	72,5
2019	9,77	2,77	2,27	2,79	3,83	0	1	10,12	109,6	4,45	109,6	17,37	14,17	72,5
2020	9,64	2,73	2,26	2,82	3,83	0	1	9,98	109,6	4,41	109,6	14,19	14,21	72,5
2021	9,5	2,7	2,26	2,78	3,83	0	1	9,83	109,6	4,36	109,6	15,42	14,33	72,5
2022	9,36	2,67	2,56	2,82	3,83	0	1	9,69	109,6	4,32	109,6	15,21	14,33	72,5
2023	9,22	2,63	2,86	2,87	3,83	0	1	9,55	109,6	4,27	109,6	14,21	14,33	72,5
2024	9,09	2,6	3,15	2,91	3,83	0	1	9,4	109,6	4,23	109,6	14,98	14,33	72,5
2025	8,95	2,57	3,45	2,96	3,83	0	1	9,26	109,6	4,18	109,6	15,99	14,33	72,5
2026	8,82	2,54	3,75	2,96	3,83	0	1	9,13	109,6	4,14	109,6	16,7	14,33	72,5
2027	8,69	2,5	4,05	2,97	3,83	0	1	8,99	109,6	4,1	109,6	17,38	14,33	72,5
2028	8,56	2,47	4,35	3,61	3,83	0	1	8,86	109,6	4,05	109,6	18,05	14,33	72,5
2029	8,43	2,44	4,65	3,61	3,83	0	1	8,73	109,6	4,01	109,6	18,7	14,33	72,5
2030	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2031	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2032	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2033	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2034	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2035	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2036	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2037	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2038	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2039	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2040	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2041	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2042	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2043	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2044	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2045	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2046	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2047	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2048	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2049	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
2050	8,31	2,41	4,95	3,61	3,83	0	1	8,6	109,6	3,96	109,6	19,32	14,33	72,5
