"code"	"personen"	"oppervlak"	"V_TW"
"AA"	1	"<75"	3.77
"AB"	1	"75-100"	3.66
"AC"	1	"100-125"	3.53
"AD"	1	"125-150"	3.53
"AE"	1	">150"	3.44
"BA"	2	"<75"	6.04
"BB"	2	"75-100"	5.97
"BC"	2	"100-125"	5.5
"BD"	2	"125-150"	5.46
"BE"	2	">150"	5.28
"CA"	3	"<75"	8.01
"CB"	3	"75-100"	7.59
"CC"	3	"100-125"	7.41
"CD"	3	"125-150"	7.07
"CE"	3	">150"	6.93
"DA"	4	"<75"	8
"DB"	4	"75-100"	7.59
"DC"	4	"100-125"	7.71
"DD"	4	"125-150"	7.59
"DE"	4	">150"	7.29
"EA"	5	"<75"	7.77
"EB"	5	"75-100"	8.26
"EC"	5	"100-125"	8.62
"ED"	5	"125-150"	8.36
"EE"	5	">150"	8.49
