"Type"	"Ki_cap_min"	"Ki_cap_max"	"R_OH"	"R_ADM"	"T_bron"	"Mwth_max"	"P_vol"	"P_cap"	"Input"	"SPF"	"Koude"
"STEG"	150	175	0.05	0.025	70	10	0.8	0.3	"gas"	1.5	0
"Kolen"	150	175	0.05	0.025	70	20	0.8	0.3	"kolen"	1.5	0
"Gasmotor"	800	1800	0.01	0.025	70	0.5	0.8	0.3	"gas"	1.189	0
"Gasturbine"	175	185	0.05	0.025	70	6	0.8	0.3	"gas"	1.189	0
"Industrie"	225	275	0.05	0.025	70	6	0.8	0.3	"e"	40000	0
"Raffinaderij"	225	275	0.05	0.025	70	3	0.8	0.3	"e"	40000	0
"AVI"	150	175	0.05	0.025	70	3	0.8	0.3	"e"	5.556	0
"BMC"	150	175	0.05	0.025	70	6	0.8	0.3	"biomassa"	1.5	0
"WKK"	800	1800	0.01	0.025	70	3	0.8	0.3	"gas"	1.389	0
"Geothermie"	1523	1523	0.069	0.025	70	3	0.8	0.3	"e"	23.04	0
"BioWKK"	415	415	0.166	0.025	70	20	0.8	0.3	"biomassa"	1.389	0
"HulpKetel"	800	1800	0.01	0.025	70	0.5	0.8	0.3	"gas"	0.925	0
"Warmtepomp"	547	547	0.035	0.025	70	3	0.8	0.3	"e"	3	1
"TEO"	198	242	0.03	0.025	70	0.5	0.8	0.3	"e"	58.82	1
"Zonthermie"	510	540	0.02	0.025	70	0	0.8	0.3	"geen"	99999	0
"Supermarkt"	50	250	0.05	0.025	30	0	0.7	0.3	"e"	40000	0
"RWZI"	50	250	0.05	0.025	30	11	0.7	0.3	"e"	40000	0
"KoelVries"	50	250	0.05	0.025	30	2	0.7	0.3	"e"	40000	0
"Bakkerij"	50	250	0.05	0.025	30	0	0.7	0.3	"e"	40000	0
"Wasserij"	50	250	0.05	0.025	30	2	0.7	0.3	"e"	40000	0
"Dienstverlening_Informatie"	50	250	0.05	0.025	30	5	0.7	0.3	"e"	40000	0
"Voedingsmiddelen_dranken_tabak"	50	250	0.05	0.025	30	24	0.7	0.3	"e"	40000	0
"Slachthuis"	50	250	0.05	0.025	30	3	0.7	0.3	"e"	40000	0
"Datacenter"	50	250	0.05	0.025	30	13	0.7	0.3	"e"	40000	0
"Ijsbaan"	50	250	0.05	0.025	30	0	0.7	0.3	"e"	40000	1
"GemaalKoude"	50	250	0.05	0.025	30	0	0.7	0.3	"e"	40000	1
"GemaalWarmte"	50	250	0.05	0.025	30	0	0.7	0.3	"e"	40000	0
"Zwembad"	50	250	0.05	0.025	30	0	0.7	0.3	"e"	40000	0
"Glastuinbouw"	50	250	0.05	0.025	30	0	0.7	0.3	"e"	40000	0
"WKO"	50	250	0.02	0.025	15	0	0.7	0.3	"e"	40	1
