W;B;E;S;RE_OA_a;RE_OA_b;Bewerkingstype;Count
1;0;0;A;0.002665439;2.272501545;0;500
1;0;0;B;0.001874177;2.50069353;0;704
1;0;0;C;0.002632328;2.264368579;0;1552
1;0;0;D;0.003625704;2.0856346;0;6544
1;0;0;E;0.002904602;2.231943987;0;1458
1;0;0;F;0.003479577;2.028547469;0;5754
1;0;0;G;0.004351187;1.881594839;0;10934
1;0;1;A;0.005699477;1.549454838;3;0
1;0;1;B;0.005699477;1.549454838;3;0
1;0;1;C;0.005699477;1.549454838;3;0
1;0;1;D;0.005699477;1.549454838;0;112
1;0;1;E;0.005126288;1.584240471;1;0
1;0;1;F;0.0045531;1.619026104;0;129
1;0;1;G;0.004362625;1.737154138;0;540
1;0;2;A;0.002665439;2.272501545;5;0
1;0;2;B;0.001874177;2.50069353;5;0
1;0;2;C;0.002632328;2.264368579;5;0
1;0;2;D;0.003625704;2.0856346;5;0
1;0;2;E;0.002904602;2.231943987;5;0
1;0;2;F;0.003479577;2.028547469;5;0
1;0;2;G;0.004351187;1.881594839;5;0
1;1;0;A;0.004731834;2.259686364;0;246
1;1;0;B;0.003058112;2.3020425;0;354
1;1;0;C;0.003051588;2.329643977;0;994
1;1;0;D;0.003176732;2.249740098;0;3822
1;1;0;E;0.002533665;2.303322136;0;1002
1;1;0;F;0.00328909;2.143883006;0;4266
1;1;0;G;0.004709607;1.903151116;0;6806
1;1;1;A;0.006844505;1.481061868;3;0
1;1;1;B;0.006844505;1.481061868;3;0
1;1;1;C;0.006844505;1.481061868;3;0
1;1;1;D;0.006844505;1.481061868;0;56
1;1;1;E;0.004848898;1.728872537;1;0
1;1;1;F;0.002853291;1.976683207;0;78
1;1;1;G;0.006126681;1.478861753;0;277
1;1;2;A;0.004731834;2.259686364;5;0
1;1;2;B;0.003058112;2.3020425;5;0
1;1;2;C;0.003051588;2.329643977;5;0
1;1;2;D;0.003176732;2.249740098;5;0
1;1;2;E;0.002533665;2.303322136;5;0
1;1;2;F;0.00328909;2.143883006;5;0
1;1;2;G;0.004709607;1.903151116;5;0
1;2;0;A;0.001745415;2.554320786;0;387
1;2;0;B;0.001797352;2.520305407;0;584
1;2;0;C;0.002986738;2.217452193;0;4383
1;2;0;D;0.002623395;2.212269353;0;2947
1;2;0;E;0.003651171;2.03664313;0;6170
1;2;0;F;0.004837365;1.826949736;0;7969
1;2;0;G;0.005165341;1.884846677;0;2717
1;2;1;A;0.002799672;1.974581511;3;0
1;2;1;B;0.002799672;1.974581511;3;0
1;2;1;C;0.002799672;1.974581511;0;69
1;2;1;D;0.005713371;1.373849151;0;60
1;2;1;E;0.002599453;2.210311898;0;120
1;2;1;F;0.006931722;1.493059762;0;316
1;2;1;G;0.005185559;1.688137266;0;150
1;2;2;A;0.001473239;1.87107071;3;0
1;2;2;B;0.001473239;1.87107071;3;0
1;2;2;C;0.001473239;1.87107071;0;51
1;2;2;D;0.006478923;1.078810164;0;78
1;2;2;E;0.004086916;1.496583235;0;53
1;2;2;F;0.009974435;0.859672619;0;71
1;2;2;G;0.009974435;0.859672619;2;0
1;3;0;A;0.000251563;2.828338734;0;283
1;3;0;B;0.002394957;2.24471854;0;1720
1;3;0;C;0.002609376;2.064141276;0;6984
1;3;0;D;0.00374435;1.884737546;0;9122
