W;B;E;RE_OA_a;RE_OA_b;Bewerkingstype;Count
1;0;0;0.003280013;1.932762003;0;78874
1;0;1;0.003684124;1.629932017;0;3021
1;0;2;0.009053226;1.034776536;0;58
1;1;0;0.003286609;1.97717562;0;46454
1;1;1;0.003958073;1.72333417;0;1219
1;1;2;0.003286609;1.97717562;5;0
1;2;0;0.004117728;1.80246027;0;64279
1;2;1;0.004440345;1.682939203;0;1979
1;2;2;0.005238379;1.577834416;0;53
1;3;0;0.003038386;1.763536279;0;58907
1;3;1;0.005500856;1.51349751;0;1410
1;3;2;0.003038386;1.763536279;5;0
1;4;0;0.002023345;1.994647122;0;85672
1;4;1;0.005137918;1.624935172;0;1787
1;4;2;0.003450187;1.979075032;0;52
1;5;0;0.002277348;2.134863667;0;29060
1;5;1;0.002655306;2.155463429;0;447
1;5;2;0.002277348;2.134863667;5;0
1;6;0;0.002465165;2.21617072;0;28171
1;6;1;0.003482601;2.188949052;0;400
1;6;2;0.002465165;2.21617072;5;0
1;7;0;0.002640937;2.382713242;0;28039
1;7;1;0.002977647;2.114462486;0;527
1;7;2;0;3;0;53
1;8;0;0.002638567;2.63008805;0;17482
1;8;1;0.003875042;2.051083497;0;389
1;8;2;0.002638567;2.63008805;5;0
1;9;0;0.003642;2.589475719;0;7733
1;9;1;0.005458968;1.803967736;0;337
1;9;2;0.003642;2.589475719;5;0
1;10;0;0.005970864;2.175398561;0;8996
1;10;1;0.006179456;1.82094582;0;406
1;10;2;0.005970864;2.175398561;5;0
2;0;0;0.004246692;1.832477864;0;50050
2;0;1;0.004363683;1.580970326;0;1987
2;0;2;0.005528472;1.39100756;0;255
2;1;0;0.004031823;1.947957082;0;39198
2;1;1;0.003742236;1.737783961;0;992
2;1;2;0.008623249;1.346380075;0;96
2;2;0;0.004602;1.813840794;0;59048
2;2;1;0.004659137;1.515797554;0;1293
2;2;2;0.006981902;1.234142977;0;720
2;3;0;0.00388404;1.790432866;0;50707
2;3;1;0.007202823;1.282325483;0;761
2;3;2;0.012953444;0.505190003;0;155
2;4;0;0.002571282;2.090551276;0;62547
2;4;1;0.005956397;1.557206811;0;713
2;4;2;0.013619157;0.342079597;0;214
2;5;0;0.003683288;2.173274545;0;18923
