W;B;E;S;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBSE [m3 aardgas];FVrvKC_mean_SJV [m3 aardgas];FVrvKC sd_SJV [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;0;0;A;3;4.733451816;994.7577883;1849.765698;671.7879345;180.6309524;709.7073486;364101.5595;1.98895978;0
1;0;0;B;3;4.733451816;994.7577883;1849.765698;671.7879345;180.6309524;709.7073486;364101.5595;1.98895978;0
1;0;0;C;0;4.733451816;994.7577883;1849.765698;671.7879345;180.6309524;709.7073486;364101.5595;1.98895978;84
1;0;0;D;0;4.733451816;937.971489;1737.786137;710.4858379;168.970696;706.7193602;997325.7656;1.968723847;273
1;0;0;E;0;4.733451816;1121.26063;1950.759049;794.3989077;175.2417582;709.3710058;478414.6813;1.986674541;91
1;0;0;F;0;4.733451816;1037.945275;1834.26487;713.544412;168.2323232;707.2162964;877599.3131;1.972079034;198
1;0;0;G;0;4.733451816;961.3381899;1701.787429;700.208392;156.4290221;706.537873;1227457.653;1.967499519;317
1;0;1;A;3;4.973885227;997.6533984;1730.698574;686.1713936;147.3787879;733.3818298;264335.5303;1.997137908;0
1;0;1;B;3;4.973885227;997.6533984;1730.698574;686.1713936;147.3787879;733.3818298;264335.5303;1.997137908;0
1;0;1;C;3;4.973885227;997.6533984;1730.698574;686.1713936;147.3787879;733.3818298;264335.5303;1.997137908;0
1;0;1;D;3;4.973885227;997.6533984;1730.698574;686.1713936;147.3787879;733.3818298;264335.5303;1.997137908;0
1;0;1;E;3;4.973885227;997.6533984;1730.698574;686.1713936;147.3787879;733.3818298;264335.5303;1.997137908;0
1;0;1;F;0;4.973885227;997.6533984;1730.698574;686.1713936;147.3787879;733.3818298;264335.5303;1.997137908;66
1;0;1;G;0;4.973885227;1060.599112;1839.944753;763.2815285;156.6875;730.2764588;592606.9375;1.976692198;144
1;0;2;A;3;0.728813894;1387.873931;1472.215655;563.9042107;115.7246377;617.2745698;119457.7681;1.995468931;0
1;0;2;B;3;0.728813894;1387.873931;1472.215655;563.9042107;115.7246377;617.2745698;119457.7681;1.995468931;0
1;0;2;C;3;0.728813894;1387.873931;1472.215655;563.9042107;115.7246377;617.2745698;119457.7681;1.995468931;0
1;0;2;D;3;0.728813894;1387.873931;1472.215655;563.9042107;115.7246377;617.2745698;119457.7681;1.995468931;0
1;0;2;E;3;0.728813894;1387.873931;1472.215655;563.9042107;115.7246377;617.2745698;119457.7681;1.995468931;0
1;0;2;F;3;0.728813894;1387.873931;1472.215655;563.9042107;115.7246377;617.2745698;119457.7681;1.995468931;0
1;0;2;G;0;0.728813894;1387.873931;1472.215655;563.9042107;115.7246377;617.2745698;119457.7681;1.995468931;69
1;1;0;A;3;4.716436993;1128.81411;1952.054838;755.8075763;174.5471698;740.689295;170957.1321;2.006646805;0
1;1;0;B;3;4.716436993;1128.81411;1952.054838;755.8075763;174.5471698;740.689295;170957.1321;2.006646805;0
1;1;0;C;0;4.716436993;1128.81411;1952.054838;755.8075763;174.5471698;740.689295;170957.1321;2.006646805;53
1;1;0;D;0;4.716436993;1040.111954;1797.571735;716.7195618;160.6;736.508513;404908;1.979280117;125
1;1;0;E;0;4.716436993;1300.801492;2124.454652;748.6955608;174.6346154;740.8317215;126220.0577;2.00758377;52
1;1;0;F;0;4.716436993;1110.48174;1915.247013;716.4717161;170.6299213;736.4609947;538149.6063;1.978970602;127
1;1;0;G;0;4.716436993;1017.761143;1769.205615;713.8559494;159.3246073;735.4707114;686951.8743;1.972528182;191
1;1;1;A;3;4.015657116;1362.720047;1934.565065;716.3819058;142.4038462;764.2350896;93698.51923;2.00758377;0
1;1;1;B;3;4.015657116;1362.720047;1934.565065;716.3819058;142.4038462;764.2350896;93698.51923;2.00758377;0
1;1;1;C;3;4.015657116;1362.720047;1934.565065;716.3819058;142.4038462;764.2350896;93698.51923;2.00758377;0
1;1;1;D;3;4.015657116;1362.720047;1934.565065;716.3819058;142.4038462;764.2350896;93698.51923;2.00758377;0
1;1;1;E;3;4.015657116;1362.720047;1934.565065;716.3819058;142.4038462;764.2350896;93698.51923;2.00758377;0
1;1;1;F;3;4.015657116;1362.720047;1934.565065;716.3819058;142.4038462;764.2350896;93698.51923;2.00758377;0
1;1;1;G;0;4.015657116;1362.720047;1934.565065;716.3819058;142.4038462;764.2350896;93698.51923;2.00758377;52
1;1;2;A;3;4.403672751;1217.131384;1615.325024;623.4860569;90.42307692;722.2073897;43990.69231;2.00758377;0
1;1;2;B;3;4.403672751;1217.131384;1615.325024;623.4860569;90.42307692;722.2073897;43990.69231;2.00758377;0
1;1;2;C;3;4.403672751;1217.131384;1615.325024;623.4860569;90.42307692;722.2073897;43990.69231;2.00758377;0
1;1;2;D;0;4.403672751;1217.131384;1615.325024;623.4860569;90.42307692;722.2073897;43990.69231;2.00758377;52
1;1;2;E;4;4.403672751;1237.887804;1637.218468;651.2091505;90.68127609;721.2501859;57512.34138;2.001145149;0
1;1;2;F;4;4.403672751;1258.644224;1659.111913;678.9322442;90.93947525;720.2929821;71033.99046;1.994706528;0
1;1;2;G;0;4.403672751;1279.400644;1681.005357;706.6553378;91.19767442;719.3357783;84555.63953;1.988267907;86
1;2;0;A;3;5.886775932;721.4151374;1669.672939;686.695871;161.0827068;694.6581944;369934.0902;1.978098842;0
1;2;0;B;3;5.886775932;721.4151374;1669.672939;686.695871;161.0827068;694.6581944;369934.0902;1.978098842;0
1;2;0;C;0;5.886775932;721.4151374;1669.672939;686.695871;161.0827068;694.6581944;369934.0902;1.978098842;133
1;2;0;D;0;5.886775932;955.2524103;1945.863234;671.2432307;168.2773109;694.9729772;334023.8487;1.980272249;119
1;2;0;E;0;5.886775932;926.5342887;1892.469223;708.455625;164.0855615;693.8897198;622154.631;1.972800114;187
1;2;0;F;0;5.886775932;863.2984466;1764.458407;743.3799364;153.0820896;693.3214837;782596.194;1.968888622;268
1;2;0;G;0;5.886775932;881.8061189;1731.943775;687.0805666;144.4148148;694.6186252;346716.7704;1.977825758;135
1;2;1;A;3;6.52642333;751.8114463;1649.898484;705.607412;137.6078431;705.4952436;103422.1569;2.008559112;0
1;2;1;B;3;6.52642333;751.8114463;1649.898484;705.607412;137.6078431;705.4952436;103422.1569;2.008559112;0
