W;B;E;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBE [m3 aardgas];FVrvKC_mean [m3 aardgas];FVrvKC sd [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;0;0;0;3.7470023924485;1189.7279797541500;1803.2551794869200;711.9016037964240;163.7381393108000;734.4547678923220;287928633.5293250000000;1.9599940620953;78874.0000000000000
1;0;1;0;3.9777782121409;1185.0990480734500;1813.4010328985200;713.8213271094350;157.9529956967890;718.7802483670190;14003081.3253889000000;1.9607498143788;3021.0000000000000
1;0;2;0;5.6804337548220;841.0929937347910;1641.4465220866100;663.7937863258700;140.8965517241380;589.8601434070170;268397.3793103450000;2.0024654592910;58.0000000000000
1;1;0;0;3.7180445197781;1241.0550268716500;1819.8232336894200;695.7398575238160;155.6646790373270;725.3568452872020;133485837.7053640000000;1.9600150540512;46454.0000000000000
1;1;1;0;4.2038109316417;1228.4305883561000;1886.4666663793000;689.8329710049840;156.5332239540610;695.4195165014000;4671999.4044298600000;1.9619135660477;1219.0000000000000
1;1;2;5;3.7180445197781;1241.0550268716500;1819.8232336894200;695.7398575238160;155.6646790373270;725.3568452872020;133485837.7053640000000;1.9600150540512;0.0000000000000
1;2;0;0;4.0084173129893;1211.3680922390900;1827.0349625874100;698.5616404229600;153.5935064328940;726.9526282072140;166815037.7295850000000;1.9600008916463;64279.0000000000000
1;2;1;0;4.5635979122761;1198.4627403797300;1872.7960177417500;673.2486258218200;147.7635169277410;679.4551103879770;6038423.3259221800000;1.9611640345044;1979.0000000000000
1;2;2;0;2.9394113544916;1254.5134382007800;1629.0388132362900;636.3437625963020;127.4150943396230;684.0413934636260;104536.8679245280000;2.0066468050617;53.0000000000000
1;3;0;0;4.4065919683199;1153.7312440575900;1892.2256238009100;697.7065615450940;167.5885548406810;721.7079200662860;142339480.8036740000000;1.9600042575020;58907.0000000000000
1;3;1;0;4.8653412249899;1113.0891573641700;1899.0557021900800;685.6495713083510;161.5439716312060;684.8493784194540;4422505.7737588700000;1.9616490631143;1410.0000000000000
1;3;2;5;4.4065919683199;1153.7312440575900;1892.2256238009100;697.7065615450940;167.5885548406810;721.7079200662860;142339480.8036740000000;1.9600042575020;0.0000000000000
1;4;0;0;5.0343416314160;891.1705676503500;1796.5873199429400;669.3907293559740;179.8480950602300;679.1792747051590;197821947.1091140000000;1.9599916754048;85672.0000000000000
1;4;1;0;4.9614142994453;928.9554139135050;1799.6267074095600;672.3693917729670;175.4885282596530;667.6440383872990;5503064.5148293200000;1.9612931292087;1787.0000000000000
1;4;2;0;2.9848298082533;892.1155776367790;1259.5940474913500;713.9764038738180;123.1153846153850;770.9508509531150;101031.3076923080000;2.0075837703158;52.0000000000000
1;5;0;0;5.3126186166563;676.7285710505930;1623.4880312495100;590.0592364616130;178.2095664143150;585.9319120497210;59964519.7405368000000;1.9600456242501;29060.0000000000000
1;5;1;0;5.1978038126468;732.0133298697600;1667.0133499308400;642.3109553144790;179.8836689038030;623.7274439629510;1399055.9507830000000;1.9652971965790;447.0000000000000
1;5;2;5;5.3126186166563;676.7285710505930;1623.4880312495100;590.0592364616130;178.2095664143150;585.9319120497210;59964519.7405368000000;1.9600456242501;0.0000000000000
1;6;0;0;5.1195260208090;620.3743109684960;1568.2764249704700;574.1121502911210;185.1542721238150;569.3257335234550;60057173.5333499000000;1.9600482007781;28171.0000000000000
1;6;1;0;4.1441230508265;926.9990802672370;1668.9939522101000;666.1142889190170;179.0475000000000;672.4736142383990;1457980.0975000000000;1.9659272959209;400.0000000000000
1;6;2;5;5.1195260208090;620.3743109684960;1568.2764249704700;574.1121502911210;185.1542721238150;569.3257335234550;60057173.5333499000000;1.9600482007781;0.0000000000000
1;7;0;0;4.6880821472694;625.5830625135140;1560.4301812000200;579.0465079177140;199.4092870644460;578.0400807989120;67771561.0216484000000;1.9600485972760;28039.0000000000000
1;7;1;0;3.9753809340894;888.4684766517410;1657.7914366973700;659.7312962093270;193.5218216318790;656.7285176773680;2386467.4990512300000;1.9644842249315;527.0000000000000
1;7;2;0;0.0000000000000;1307.6542712083200;1307.6542712083200;690.3924722326360;122.3207547169810;758.4708724553080;83303.5471698113000;2.0066468050617;53.0000000000000
1;8;0;0;4.2018096409608;702.3888745320770;1576.3011062348300;585.3125200764150;207.9847271479240;591.2321024205420;46932200.9221485000000;1.9600996994702;17482.0000000000000
1;8;1;0;2.1518998558677;1260.3214886342900;1673.0713702431700;639.5691491814740;191.8071979434450;679.6375876809550;1672646.5398457600000;1.9660968781378;389.0000000000000
1;8;2;5;4.2018096409608;702.3888745320770;1576.3011062348300;585.3125200764150;207.9847271479240;591.2321024205420;46932200.9221485000000;1.9600996994702;0.0000000000000
1;9;0;0;3.8571996368148;662.6399696857410;1462.8225935276600;596.2420338840680;207.4517005043320;609.6470267703510;21651251.2101384000000;1.9602708438670;7733.0000000000000
1;9;1;0;3.4876377162856;741.4604432970110;1454.3977567605100;548.3282992394400;204.4183976261130;548.4055266371720;1310192.0059347200000;1.9670493839589;337.0000000000000
1;9;2;5;3.8571996368148;662.6399696857410;1462.8225935276600;596.2420338840680;207.4517005043320;609.6470267703510;21651251.2101384000000;1.9602708438670;0.0000000000000
1;10;0;0;4.2682740705651;427.4494698049220;1280.5747825992700;546.0220057108260;199.8759448643840;546.3095146694300;22769505.5544687000000;1.9602277516377;8996.0000000000000
1;10;1;0;4.6542954295944;349.3160501845010;1298.5859697485200;604.6648689307290;203.9556650246310;586.4903626458830;1417999.2019704400000;1.9658386906356;406.0000000000000
1;10;2;5;4.2682740705651;427.4494698049220;1280.5747825992700;546.0220057108260;199.8759448643840;546.3095146694300;22769505.5544687000000;1.9602277516377;0.0000000000000
2;0;0;0;4.814924225;914.4812013;1583.222419;668.6427487;138.8892507;671.3435609;143479873.1;1.960011385;50050
2;0;1;0;4.64932987;958.1004062;1555.236281;685.8690608;128.4348264;687.6391395;6549470.31;1.961159198;1987
2;0;2;0;9.696476143;397.2006916;1272.735449;605.0788061;90.29411765;558.7863736;279504.9412;1.96934754;255
2;1;0;0;5.456922561;864.1001814;1599.253648;649.5961268;134.7194245;653.704204;80419536.23;1.960024508;39198
2;1;1;0;5.764292238;909.7691322;1625.773255;651.0456726;124.2137097;649.2863075;2033822.694;1.962360677;992
2;1;2;0;4.255051557;901.5480297;1306.309809;503.3258853;95.125;525.2610406;119560.5;1.985251004;96
2;2;0;0;4.627922628;901.2841204;1491.814587;607.0294621;127.6016292;634.3028191;79137372.12;1.960004161;59048
2;2;1;0;4.925033899;957.8846423;1559.649128;646.000162;122.1848415;660.0433019;2646126.823;1.9618018;1293
2;2;2;0;3.356103511;901.4465977;1234.1996;473.4930663;99.14861111;510.9499604;256789.0986;1.963268855;720
2;3;0;0;5.715482182;740.5014484;1520.029782;598.9052927;136.3889009;619.4549675;53752848.87;1.96001077;50707
2;3;1;0;4.418551741;1036.505467;1615.411226;625.7089548;131.0170828;645.8953901;1543708.778;1.963090286;761
2;3;2;0;5.087374209;574.7973891;1113.730838;440.9651544;105.9354839;466.5511005;70311.35484;1.975488058;155
2;4;0;0;6.003917123;533.8241449;1388.135082;557.8483448;142.2922602;562.276761;76689983.48;1.960001914;62547
2;4;1;0;5.009916488;756.6261063;1491.214773;600.8276778;146.6269285;597.1916952;1708504.763;1.963301401;713
2;4;2;0;5.132669229;520.8146976;1066.388655;371.9874532;106.2943925;381.3973329;130202.4533;1.971163885;214
2;5;0;0;5.209207532;501.0424679;1251.204965;474.5873995;144.0070285;478.9541396;21973684.07;1.960089363;18923
2;5;1;0;4.224728602;774.4804307;1418.458587;534.1142047;152.4306569;534.0036765;352219.5912;1.977560777;137
2;5;2;5;5.209207532;501.0424679;1251.204965;474.5873995;144.0070285;478.9541396;21973684.07;1.960089363;0
2;6;0;0;5.078701061;458.7243396;1226.906143;464.8616535;151.2555661;469.9691509;18179972.45;1.960113628;15855
2;6;1;0;3.742338016;769.6244516;1351.956391;523.3269567;155.6064516;528.8934957;430690.9935;1.975488058;155
2;6;2;5;5.078701061;458.7243396;1226.906143;464.8616535;151.2555661;469.9691509;18179972.45;1.960113628;0
2;7;0;0;4.492751743;452.5752581;1192.094982;473.0602036;164.6028461;481.7991271;20197332.4;1.96012553;14687
2;7;1;0;3.549924897;659.7871771;1230.844902;504.2730925;160.8647343;514.991399;513242.2126;1.971546669;207
2;7;2;5;4.492751743;452.5752581;1192.094982;473.0602036;164.6028461;481.7991271;20197332.4;1.96012553;0
2;8;0;0;3.932825812;488.4969417;1162.256762;458.6250148;171.3169748;471.2415568;15716467.26;1.960186632;10657
2;8;1;0;4.449097046;535.7033839;1277.516165;555.5563454;166.7333333;535.7011367;410735.4667;1.980099876;120
2;8;2;0;4.749517121;277.0478201;951.0042996;375.1543038;141.9;375.2929721;71936.3;1.994945415;70
2;9;0;0;3.937998567;408.8763114;1053.039618;445.0034527;163.5763182;453.7547071;6742297.815;1.960512891;4324
2;9;1;0;3.608586376;504.3076484;1072.606935;514.4517443;157.4852941;521.1288098;383665.9706;1.977692277;136
2;9;2;5;3.937998567;408.8763114;1053.039618;445.0034527;163.5763182;453.7547071;6742297.815;1.960512891;0
2;10;0;0;3.794434141;360.4640016;973.2112971;410.078677;161.4858165;416.7895;5840913.463;1.960570578;3913
2;10;1;0;5.074529242;189.901849;961.4798608;456.4167255;152.0491803;418.066631;434818.5574;1.973084077;183
2;10;2;5;3.794434141;360.4640016;973.2112971;410.078677;161.4858165;416.7895;5840913.463;1.960570578;0
3;0;0;0;5.709911789;823.8186691;1569.643157;672.2737802;130.6192662;651.217016;87757832.92;1.960041772;30499
3;0;1;0;5.782936134;826.6572111;1499.176137;707.8796868;116.2936803;686.9903546;5781100.595;1.961225287;1883
3;0;2;0;4.715375918;805.7543629;1237.201436;557.6156592;91.49791667;582.6355519;535301.9979;1.964928859;480
3;1;0;0;6.397772493;780.420544;1611.362473;644.1072644;129.8798809;634.5956662;44780164.37;1.960060785;24509
3;1;1;0;5.276785466;984.31006;1626.674772;677.125554;121.7340967;683.746721;1809359.426;1.962990572;786
3;1;2;0;4.62586211;852.1428353;1256.341196;491.2249013;87.37795276;518.0585665;96823.85827;1.978970602;127
3;2;0;0;5.451603417;797.4027811;1427.717604;583.4188575;115.62008;607.8652655;47446081.09;1.96001165;49771
3;2;1;0;4.593994645;1038.337983;1544.98126;628.5603857;110.2838196;658.6578466;1554475.894;1.962065552;1131
3;2;2;0;3.146036932;859.7186037;1147.872736;481.6866699;91.59273671;520.9262724;466672.2387;1.96150461;1542
3;3;0;0;5.787263193;688.4043939;1423.60169;558.0394036;127.0371282;584.4451697;50921209.53;1.959995898;74337
3;3;1;0;5.864900874;777.5343497;1471.244808;590.9532846;118.2817021;606.1100152;1339225.757;1.961986708;1175
3;3;2;0;4.062635872;704.0507448;1138.207056;470.8576315;106.8656716;506.9019786;337684.4478;1.962050763;1139
3;4;0;0;7.218557178;325.2391528;1243.33984;510.4099479;127.1861765;510.5265183;90592913.48;1.95998429;116830
3;4;1;0;6.11639943;550.1419657;1287.229524;540.5251079;120.510043;544.0337781;1578454.359;1.961668434;1394
3;4;2;0;6.63235391;342.1077821;1021.407851;415.3760194;102.4221684;430.3435295;608790.7486;1.961402762;1651
3;5;0;0;6.397057094;315.0210732;1160.275188;452.2214204;132.1317134;446.8490594;16130185.86;1.960092956;18396
3;5;1;0;3.695385936;760.7796446;1226.373304;485.045388;125.9932432;504.5721693;233826.9932;1.976233309;148
3;5;2;0;4.268323088;458.2332686;864.9529733;366.4305944;95.28793774;393.9400856;52310.69261;1.96927389;257
3;6;0;0;6.073992555;276.1445855;1116.232638;442.2325817;138.3090356;434.9617366;16280854.65;1.960105395;16778
3;6;1;0;4.408069321;613.1076758;1242.512629;558.1089813;142.7847222;570.2063507;285700.3264;1.976692198;144
3;6;2;0;6.411462074;166.5633789;855.3503115;376.0097545;107.4305556;378.5329904;73819.30556;1.976692198;144
3;7;0;0;5.461247952;257.5549146;1061.754458;443.1242329;147.2556366;435.26254;18064508.9;1.960124145;14814
3;7;1;0;3.726899255;555.2024176;1099.910968;460.3355006;146.1559633;467.6914725;437958.6972;1.970956301;218
3;7;2;0;3.628889427;395.9335403;836.4104801;374.325893;121.3806452;399.8282747;70034.54194;1.975488058;155
3;8;0;0;4.802737874;307.0799698;1034.857366;425.8690229;151.5338575;424.7336956;12803770.09;1.960197182;10175
3;8;1;0;3.263028154;594.0101309;1114.868263;471.4155205;159.6241611;478.3714886;420872.953;1.976122494;149
3;8;2;0;2.411922448;573.8888459;871.552642;363.0451124;123.4135021;391.5104019;117703.4768;1.970066853;237
3;9;0;0;5.53338869;123.5032232;883.7092917;403.7859766;137.3852645;393.0315177;5174508.785;1.960452427;4859
3;9;1;0;3.81845131;385.0724894;882.0586137;442.6420659;130.1538462;459.9286302;211428;1.974185191;169
3;9;2;0;1.602492424;529.8963727;717.8029744;332.3454459;117.2589641;360.4859484;111620.1673;1.969498393;251
