"name"	"kanGebiedsOptie"	"GasNodig"	"categorie"	"Label"	"min_schillabel"	"RVb"	"RVp"	"TWb"	"TWp"	"KDb"	"KDp"
"geen"	1	0	"geen"	"geen"	"G"	"geen"	"geen"	"geen"	"geen"	"geen"	"geen"
"VR_zKD"	1	1	"ketel"	"VR_zKD"	"G"	"VR"	"VR"	"VR"	"VR"	"geen"	"geen"
"VR_vKD"	1	1	"ketel"	"VR_vKD"	"G"	"VR"	"VR"	"VR"	"VR"	"AirCoVast"	"AirCoVast"
"VR_mKD"	1	1	"ketel"	"VR_mKD"	"G"	"VR"	"VR"	"VR"	"VR"	"AirCoMobiel"	"AirCoMobiel"
"HR_zKD_hTWds"	1	1	"hybride"	"HR_zKD"	"G"	"HR"	"HR"	"DS_douche"	"HR"	"geen"	"geen"
"HR_vKD_hTWds"	1	1	"hybride"	"HR_vKD"	"G"	"HR"	"HR"	"DS_douche"	"HR"	"AirCoVast"	"AirCoVast"
"HR_mKD_hTWds"	1	1	"hybride"	"HR_mKD"	"G"	"HR"	"HR"	"DS_douche"	"HR"	"AirCoMobiel"	"AirCoMobiel"
"HR_zKD_TWds"	1	1	"hybride"	"HR_zKD"	"G"	"HR"	"HR"	"DS_douche"	"DS_keuken"	"geen"	"geen"
"HR_vKD_TWds"	1	1	"hybride"	"HR_vKD"	"G"	"HR"	"HR"	"DS_douche"	"DS_keuken"	"AirCoVast"	"AirCoVast"
"HR_mKD_TWds"	1	1	"hybride"	"HR_mKD"	"G"	"HR"	"HR"	"DS_douche"	"DS_keuken"	"AirCoMobiel"	"AirCoMobiel"
"HR_zKD"	1	1	"ketel"	"HR_zKD"	"G"	"HR"	"HR"	"HR"	"HR"	"geen"	"geen"
"HR_vKD"	1	1	"ketel"	"HR_vKD"	"G"	"HR"	"HR"	"HR"	"HR"	"AirCoVast"	"AirCoVast"
"HR_mKD"	1	1	"ketel"	"HR_mKD"	"G"	"HR"	"HR"	"HR"	"HR"	"AirCoMobiel"	"AirCoMobiel"
"Pellet_zKD"	1	1	"ketel"	"Pellet_zKD"	"G"	"Pelletkachel"	"HR"	"HR"	"HR"	"geen"	"geen"
"Pellet_vKD"	1	1	"ketel"	"Pellet_vKD"	"G"	"Pelletkachel"	"HR"	"HR"	"HR"	"AirCoVast"	"AirCoVast"
"Pellet_mKD"	1	1	"ketel"	"Pellet_mKD"	"G"	"Pelletkachel"	"HR"	"HR"	"HR"	"AirCoMobiel"	"AirCoMobiel"
"Olie_zKD"	1	1	"ketel"	"Olie_zKD"	"G"	"Oliekachel"	"Oliekachel"	"Oliekachel"	"Oliekachel"	"geen"	"geen"
"Olie_vKD"	1	1	"ketel"	"Olie_vKD"	"G"	"Oliekachel"	"Oliekachel"	"Oliekachel"	"Oliekachel"	"AirCoVast"	"AirCoVast"
"Olie_mKD"	1	1	"ketel"	"Olie_mKD"	"G"	"Oliekachel"	"Oliekachel"	"Oliekachel"	"Oliekachel"	"AirCoMobiel"	"AirCoMobiel"
"Bioketel_zKD"	1	0	"ketel"	"Bioketel_zKD"	"G"	"Bioketel"	"Bioketel"	"Bioketel"	"Bioketel"	"geen"	"geen"
"Bioketel_vKD"	1	0	"ketel"	"Bioketel_vKD"	"G"	"Bioketel"	"Bioketel"	"Bioketel"	"Bioketel"	"AirCoVast"	"AirCoVast"
