"name"	"RVb"	"RVp"	"TWb"	"TWp"	"KDb"	"KDp"	"LeerCurve"	"Ki_asl_min_w"	"Ki_asl_max_w"	"Ki_asl_min_u"	"Ki_asl_max_u"	"Ki_cap_min_w"	"Ki_cap_max_w"	"Ki_cap_min_u"	"Ki_cap_max_u"	"Ki_opp_min_w"	"Ki_opp_max_w"	"Ki_opp_min_u"	"Ki_opp_max_u"	"R_OH"	"R_Adm"	"AT30"	"AT20"	"levensduur"
"niks"	1	1	1	1	1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9999
"gebiedsoptie"	1	1	1	1	1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9999
"geen"	0	0	0	0	1	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9999
"VR"	1	1	1	1	0	0	"HR"	2300	3500	0	0	0	0	796581	796581	0	0	0	0	0.0465	0	0	0	15
"HR"	1	1	1	1	0	0	"HR"	1584	2324	0	0	0	0	796581	796581	0	0	0	0	0.0465	0	0	0	15
"eWP_lw"	1	1	1	1	1	1	"eWPlw"	5359	4637	3768.75	6281.25	320	500	555	925	0	0	0	0	0.015	0	0	0	15
"eWP_bw"	1	1	1	1	1	1	"eWPww"	4628	8460	5800	5800	899	753	420	420	0	0	0	0	0.009	0	0.4	0	30
"eWP_ll"	1	0	0	0	1	0	"eWPlw"	2975.21	4793.39	0	0	0	0	0	0	0	0	13.77	44.08	0.015	0	0	0	15
"Pelletkachel"	1	1	0	0	0	0		3306	4132	0	0	0	0	0	0	0	0	33.06	41.32	0.025	0	0	0	12
"Bioketel"	1	1	1	1	0	0		7314	22076	0	0	0	0	215	559	0	0	0	0	0.058	0	0	0	15
"IR"	1	1	0	0	0	0		0	0	0	0	431.82	431.82	431.82	431.82	0	0	0	0	0	0	0	0	15
"H2R"	1	1	1	1	0	0	"Waterstof"	1792.19	2359.5	0	0	0	0	95.59	95.59	0	0	0	0	0.0465	0	0	0	15
"eBoiler"	0	0	1	1	0	0		1363	1753	0	0	0	0	0	0	0	0	13.63	17.53	0.03	0	0	0	15
"EWVgroot"	1	1	0	0	0	0	"EWV"	1688	3340	0	0	0	0	0	0	0	0	12.69	25.69	0	0	0	0	15
"EWVklein"	1	0	0	0	0	0	"EWV"	844	1670	0	0	0	0	0	0	0	0	6.35	12.85	0	0	0	0	15
"mWKK"	1	1	1	1	0	0	"mWKK"	9504.13	16963.31	134802.37	134802.37	0	0	0	0	0	0	88.22	88.22	0.5	0	0	0	15
"AircoVast"	0	0	0	0	1	1		1343	2025	0	0	0	0	0	0	0	0	11.23	11.23	0.07	0	0	0	15
"AircoMobiel"	0	0	0	0	1	1		500	700	500	700	0	0	0	0	0	0	0	0	0.07	0	0	0	15
"BasisHWP_w"	1	0	0	0	0	0	"hWP"	2315	2315	0	0	250	250	0	0	0	0	0	0	0.0345	0	0	0	15
"eWP_lw_u"	1	1	1	1	1	1	"eWPlw"	0	0	3768.75	6281.25	0	0	555	925	0	0	0	0	0.02	0	0	0	15
"eWP_bw_uG"	1	1	1	1	1	1	"eWPww"	0	0	153857	256428	0	0	293	488	0	0	0	0	0.01	0	0.4	0	30
"eWP_bw_uK"	1	1	1	1	1	1	"eWPww"	0	0	5257	8761	0	0	1170	1950	0	0	0	0	0.01	0	0.4	0	30
"hHR"	1	1	1	1	0	0	"hWP"	1692.19	1859.5	0	0	0	0	796581	796581	0	0	0	0	0.0345	0	0	0	15
"hWP_lw_u"	1	1	1	1	1	1	"hWP"	0	0	3768.75	6281.25	0	0	555	925	0	0	0	0	0.02	0	0	0	15
"Oliekachel"	1	1	0	0	0	0		4750	6300	0	0	0	0	0	0	0	0	47.5	63	0.035	0	0	1	25
"DS_keuken"	0	1	0	0	0	0		1122	1122	0	0	0	0	0	0	0	0	11.22	11.22	0.01	0	0	1	20
"DS_douche"	1	0	0	0	0	0		1770	1770	0	0	0	0	0	0	0	0	17.7	17.7	0.01	0	0	1	20
