Installatie_name;schillabel_name;ProductType_name;AS_Name;Input_name;P_vol;P_cap;SPF_b;SPF_p;eEffect_cap;eEffect_vol;Pdak_opp;;;;;;;
niks;x;RV;geen;geen;50%;50%;100%;100%;0%;0%;0%;;;;;;;
aangepast;x;RV;geen;geen;50%;50%;100%;100%;0%;0%;0%;;;;;;;
geen;x;RV;geen;geen;50%;50%;100%;100%;0%;0%;0%;;;;;;;
niks;x;TW;geen;geen;50%;50%;100%;100%;0%;0%;0%;;;;;;;
aangepast;x;TW;geen;geen;50%;50%;100%;100%;0%;0%;0%;;;;;;;
geen;x;TW;geen;geen;50%;50%;100%;100%;0%;0%;0%;;;;;;;
niks;x;K;geen;geen;50%;50%;100%;100%;0%;0%;0%;;;;;;;
aangepast;x;K;geen;geen;50%;50%;100%;100%;0%;0%;0%;;;;;;;
geen;x;K;geen;geen;50%;50%;100%;100%;0%;0%;0%;;;;;;;
VR;x;RV;MTAS;gas;70%;60%;104%;104%;1%;0%;0%;;;;;;;
VR;x;TW;MTAS;gas;70%;60%;72%;72%;1%;0%;0%;;;;;;;
HR;x;RV;MTAS;gas;70%;60%;104%;104%;1%;0%;0%;;;;;;;
HR;x;TW;MTAS;gas;70%;60%;72%;72%;1%;0%;0%;;;;;;;
hHR;x;RV;MTAS;gas;70%;60%;104%;104%;1%;0%;0%;;;;;;;
hHR;x;TW;MTAS;gas;70%;60%;72%;72%;1%;0%;0%;;;;;;;
eWP_lw_u;x;TW;geen;e;90%;80%;220%;220%;0%;0%;0%;;;;;;;
hWP_lw_u;x;TW;geen;e;90%;80%;220%;220%;0%;0%;0%;;;;;;;
eWP_bw_uG;x;TW;geen;e;90%;80%;250%;250%;0%;0%;0%;;;;;;;
eWP_bw_uK;x;TW;geen;e;90%;80%;250%;250%;0%;0%;0%;;;;;;;
eWP_lw_u;A;RV;LTAS;e;25%;25%;339%;339%;0%;0%;0%;;;;;;;
eWP_lw_u;B;RV;LTAS;e;25%;25%;339%;339%;0%;0%;0%;;;;;;;
eWP_lw_u;C;RV;LTAS;e;25%;25%;339%;339%;0%;0%;0%;;;;;;;
eWP_lw_u;x;RV;LTAS;e;25%;25%;339%;339%;0%;0%;0%;;;;;;;
hWP_lw_u;A;RV;MTAS;e;60%;25%;342%;342%;0%;0%;0%;;;;;;;
hWP_lw_u;B;RV;MTAS;e;60%;25%;342%;342%;0%;0%;0%;;;;;;;
hWP_lw_u;C;RV;MTAS;e;60%;25%;342%;342%;0%;0%;0%;;;;;;;
hWP_lw_u;x;RV;MTAS;e;60%;25%;342%;342%;0%;0%;0%;;;;;;;
eWP_bw_uG;x;RV;LTAS;e;90%;80%;361%;361%;0%;0%;0%;;;;;;;
eWP_bw_uK;x;RV;LTAS;e;90%;80%;361%;361%;0%;0%;0%;;;;;;;
eWP_lw_u;x;K;geen;e;90%;80%;400%;400%;0%;0%;0%;;;;;;;
hWP_lw_u;x;K;geen;e;90%;80%;400%;400%;0%;0%;0%;;;;;;;
eWP_bw_uG;x;K;geen;e;90%;80%;800%;800%;0%;0%;0%;;;;;;;
eWP_bw_uK;x;K;geen;e;90%;80%;800%;800%;0%;0%;0%;;;;;;;
eWP_lw;x;K;geen;e;90%;80%;300%;300%;0%;0%;0%;;;;;;;
eWP_bw;x;K;geen;e;90%;80%;4500%;4500%;0%;0%;0%;;;;;;;
eWP_ll;x;K;geen;e;90%;80%;400%;400%;0%;0%;0%;;;;;;;
eWP_lw;x;TW;geen;e;90%;80%;185%;185%;0%;0%;0%;;;;;;;
eWP_bw;x;TW;geen;e;90%;80%;210%;210%;0%;0%;0%;;;;;;;
eWP_ll;x;TW;geen;e;90%;80%;230%;230%;0%;0%;0%;;;;;;;
BasisHWP_w;A;RV;MTAS;e;78%;40%;420%;420%;0%;0%;0%;;;;;;;
eWP_lw;A;RV;LTAS;e;52%;80%;450%;450%;0%;0%;0%;;;;;;;
eWP_bw;A;RV;LTAS;e;52%;80%;550%;550%;0%;0%;0%;;;;;;;
eWP_ll;A;RV;LTAS;e;52%;80%;427%;427%;0%;0%;0%;;;;;;;
BasisHWP_w;B;RV;MTAS;e;78%;40%;400%;400%;0%;0%;0%;;;;;;;
eWP_lw;B;RV;LTAS;e;49%;80%;425%;425%;0%;0%;0%;;;;;;;
eWP_bw;B;RV;LTAS;e;49%;80%;500%;500%;0%;0%;0%;;;;;;;
eWP_ll;B;RV;LTAS;e;49%;80%;428%;428%;0%;0%;0%;;;;;;;
BasisHWP_w;C;RV;MTAS;e;78%;40%;380%;380%;0%;0%;0%;;;;;;;
eWP_lw;C;RV;LTAS;e;47%;80%;400%;400%;0%;0%;0%;;;;;;;
eWP_bw;C;RV;LTAS;e;47%;80%;450%;450%;0%;0%;0%;;;;;;;
eWP_ll;C;RV;LTAS;e;47%;80%;366%;366%;0%;0%;0%;;;;;;;
BasisHWP_w;D;RV;MTAS;e;78%;40%;360%;360%;0%;0%;0%;;;;;;;
BasisHWP_w;E;RV;MTAS;e;78%;40%;360%;360%;0%;0%;0%;;;;;;;
BasisHWP_w;F;RV;MTAS;e;78%;40%;360%;360%;0%;0%;0%;;;;;;;
BasisHWP_w;G;RV;MTAS;e;78%;40%;360%;360%;0%;0%;0%;;;;;;;
eWP_lw;x;RV;LTAS;e;38%;80%;350%;350%;0%;0%;0%;;;;;;;
Pellet;x;RV;geen;biomassa;70%;60%;85%;85%;0%;0%;0%;;;;;;;
Bioketel;x;TW;geen;biomassa;70%;60%;98%;98%;1%;0%;0%;;;;;;;
Bioketel;x;RV;MTAS;biomassa;70%;60%;98%;98%;1%;0%;0%;;;;;;;
IR;A;RV;geen;e;90%;50%;200%;100%;0%;0%;0%;;;;;;;
IR;B;RV;geen;e;80%;50%;200%;100%;0%;0%;0%;;;;;;;
IR;x;RV;geen;e;50%;50%;200%;100%;0%;0%;0%;;;;;;;
ZonB;x;TW;geen;zon;50%;50%;100%;100%;0%;0%;20%;;;;;;;
H2R;x;RV;MTAS;H2;70%;60%;110%;110%;1%;0%;0%;;;;;;;
H2R;x;TW;geen;H2;70%;60%;72%;72%;1%;0%;0%;;;;;;;
eBoiler;x;TW;geen;e;100%;100%;95%;95%;0%;0%;0%;;;;;;;
Doorstroom;x;TW;geen;e;70%;60%;100%;100%;0%;0%;0%;;;;;;;
EWV;A;RV;geen;e;52%;60%;100%;100%;0%;0%;0%;;;;;;;
EWV;B;RV;geen;e;49%;60%;100%;100%;0%;0%;0%;;;;;;;
EWV;C;RV;geen;e;47%;60%;100%;100%;0%;0%;0%;;;;;;;
mWKK;x;RV;MTAS;gas;70%;60%;83%;73%;0%;-21%;0%;;;;;;;
mWKK;x;TW;geen;gas;70%;60%;72%;72%;0%;-21%;0%;;;;;;;
Airco;x;K;geen;e;100%;100%;350%;350%;0%;0%;0%;;;;;;;
ZonPV_l;x;e;geen;zon;50%;50%;100%;100%;220%;0%;20%;;;;;;;
ZonPV_h;x;e;geen;zon;100%;100%;100%;100%;220%;0%;20%;;;;;;;
