name;RVb;RVp;TWb;TWp;Kb;Kp;Ki_vast_min_w;Ki_vast_max_w;Ki_vast_min_u;Ki_vast_max_u;Ki_cap_min_w;Ki_cap_max_w;Ki_cap_min_u;Ki_cap_max_u;Ki_opp_min_w;Ki_opp_max_w;Ki_opp_min_u;Ki_opp_max_u;R_OH;R_Adm
geen;;;;;;;;;;;;;;;;;;;;
HR;1;1;1;1;0;0;;;;;;;;;;;;;;
eWP_lw;1;1;1;1;1;1;;;;;;;;;;;;;;
eWP_bw;1;1;1;1;1;1;;;;;;;;;;;;;;
eWP_ll;1;1;1;1;1;1;;;;;;;;;;;;;;
Pellet;1;1;1;1;0;0;;;;;;;;;;;;;;
IR;1;1;0;0;0;0;;;;;;;;;;;;;;
ZonPV_l;0;0;0;0;0;0;;;;;;;;;;;;;;
ZonPV_h;0;0;0;0;0;0;;;;;;;;;;;;;;
ZonneBoiler;0;0;1;0;0;0;;;;;;;;;;;;;;
