"Schillabel"	"Woontype"	"VL_N0"	"VL_N1"	"VL_N2"	"VL_N3"	"VL_N4"	"DS_N0"	"DS_N1"	"DS_N2"	"DS_N3"	"DS_N4"	"DP_N0"	"DP_N1"	"DP_N2"	"DP_N3"	"DP_N4"	"MS_N0"	"MS_N1"	"MS_N2"	"MS_N3"	"MS_N4"	"MG_N0"	"MG_N1"	"MG_N2"	"MG_N3"	"MG_N4"	"DR_N0"	"DR_N1"	"DR_N2"	"DR_N3"	"DR_N4"	"PL_N0"	"PL_N1"	"PL_N2"	"PL_N3"	"PL_N4"	"RO_N0"	"RO_N1"	"RO_N2"	"RO_N3"	"RO_N4"	"RB_N0"	"RB_N1"	"RB_N2"	"RB_N3"	"RB_N4"	"KR_N0"	"KR_N1"	"KR_N2"	"KR_N3"	"KR_N4"
"A"	"EGW"	0.07	0.07	0.72	0.12	0.02	0.16	0	0.8	0.03	0	0.14	0.01	0.84	0.01	0	0.02	0.11	0.75	0.12	0	0.13	0.13	0.75	0	0	0	1	0	0	0	0.15	0.14	0.65	0.06	0	0	0.17	0.08	0.73	0.02	0.01	0.29	0.06	0.62	0.02					
"A"	"MGW"	0.06	0.12	0.75	0.07	0	0.11	0	0.79	0.11	0	0.06	0	0.93	0.01	0	0.01	0.03	0.84	0.12	0	0.25	0.13	0.5	0.13	0	0	1	0	0	0	0.06	0.07	0.07	0.14	0	0	0.17	0.08	0.74	0.01	0	0.19	0.08	0.71	0.01					
"B"	"EGW"	0.09	0.2	0.68	0.01	0.01	0.4	0.01	0.59	0.01	0	0.29	0.01	0.68	0.01	0	0.06	0.32	0.61	0.01	0	0.13	0.13	0.75	0	0	0	1	0	0	0	0.14	0.28	0.56	0.02	0	0.04	0.41	0.11	0.45	0	0.05	0.65	0.07	0.23	0					
"B"	"MGW"	0.11	0.26	0.61	0.02	0	0.39	0.03	0.58	0	0	0.28	0	0.72	0	0	0.08	0.22	0.65	0.04	0	0.38	0	0.38	0.25	0	0	1	0	0	0	0.11	0.23	0.64	0.02	0	0.02	0.6	0.06	0.31	0.01	0.04	0.67	0.05	0.23	0.01					
"C"	"EGW"	0.35	0.31	0.32	0.01	0.01	0.74	0.01	0.24	0.01	0	0.65	0.02	0.33	0	0	0.29	0.44	0.27	0	0	0.69	0.08	0.23	0	0	0	1	0	0	0	0.4	0.4	0.19	0.01	0	0.08	0.43	0.07	0.42	0	0.13	0.69	0.03	0.15	0					
"C"	"MGW"	0.57	0.21	0.2	0.02	0.01	0.8	0.02	0.18	0	0	0.78	0	0.22	0	0	0.44	0.35	0.2	0.02	0	0.88	0.06	0.06	0	0	0	1	0	0	0	0.45	0.32	0.21	0.02	0	0.1	0.53	0.06	0.3	0	0.13	0.65	0.03	0.19	0					
"D"	"EGW"	0.78	0.13	0.08	0.01	0	0.8	0.01	0.19	0.01	0	0.73	0.02	0.25	0.01	0	0.72	0.16	0.13	0	0	0.84	0.07	0.09	0	0	0	1	0	0	0	0.77	0.11	0.11	0.01	0	0.14	0.37	0.11	0.37	0	0.23	0.6	0.05	0.12	0					
"D"	"MGW"	0.77	0.14	0.09	0	0	0.83	0	0.17	0	0	0.88	0	0.11	0.02	0	0.74	0.18	0.08	0.01	0	0.96	0	0	0.04	0	0	1	0	0	0	0.66	0.2	0.12	0.02	0	0.18	0.5	0.07	0.25	0	0.22	0.6	0.04	0.14	0					
"E"	"EGW"	0.87	0.07	0.05	0.01	0	0.87	0.02	0.12	0	0	0.86	0.02	0.12	0	0	0.9	0.05	0.05	0	0	0.92	0.03	0.06	0	0	0	1	0	0	0	0.83	0.05	0.12	0	0	0.26	0.38	0.08	0.28	0	0.36	0.55	0.03	0.06	0					
"E"	"MGW"	0.93	0.07	0	0	0	0.93	0	0.07	0	0	0.9	0	0.1	0	0	0.87	0.08	0.04	0	0	1	0	0	0	0	0	1	0	0	0	0.75	0.11	0.14	0	0	0.22	0.48	0.04	0.26	0	0.29	0.55	0.01	0.15	0					
"F"	"EGW"	0.86	0.08	0.04	0.01	0.01	0.9	0.01	0.09	0	0	0.87	0.01	0.12	0	0	0.93	0.03	0.03	0	0	1	0	0	0	0	0	1	0	0	0	0.78	0.06	0.13	0.03	0	0.34	0.37	0.11	0.18	0	0.43	0.48	0.05	0.05	0					
"F"	"MGW"	0.95	0.05	0	0	0	1	0	0	0	0	0.95	0	0.05	0	0	0.89	0.11	0	0	0	1	0	0	0	0	0	1	0	0	0	0.83	0.17	0	0	0	0.26	0.5	0.06	0.18	0	0.31	0.64	0.02	0.03	0					
"G"	"EGW"	0.94	0.05	0.02	0	0	0.94	0	0.06	0	0	0.98	0	0.02	0	0	0.95	0	0.02	0.02	0	0.96	0.04	0	0	0	0	1	0	0	0	1	0	0	0	0	0.58	0.23	0.08	0.11	0	0.62	0.32	0.02	0.05	0					
"G"	"MGW"	0.96	0.04	0	0	0	1	0	0	0	0	0.97	0	0.03	0	0	0.97	0.03	0	0	0	1	0	0	0	0	0	1	0	0	0	0.91	0.02	0.07	0	0	0.53	0.28	0.09	0.1	0	0.59	0.31	0.04	0.06	0					
