bouwdeel;niveau;Zst_Egw_Ind;Zst_Egw_Prj;Zst_Mgw_Ind;Zst_Mgw_Prj;Nat_Egw_Ind;Nat_Egw_Prj;Nat_Mgw_Ind;Nat_Mgw_Prj
RB;N2;100;129;85;78;33;7;98;432
RB;N3;100;129;85;78;33;7;98;432
RB;N4;100;129;85;78;33;7;98;432
RO;N2;100;129;85;78;33;7;98;432
RO;N3;100;129;85;78;33;7;98;432
RO;N4;100;129;85;78;33;7;98;432
DR;N2;100;129;85;78;33;7;98;432
DR;N3;100;129;85;78;33;7;98;432
DR;N4;100;129;85;78;33;7;98;432
PL;N2;100;129;85;78;33;7;98;432
PL;N3;100;129;85;78;33;7;98;432
PL;N4;100;129;85;78;33;7;98;432
VL;N2;100;129;85;78;33;7;98;432
VL;N3;100;129;85;78;33;7;98;432
VL;N4;100;129;85;78;33;7;98;432
MG;N2;100;129;85;78;33;7;98;432
MG;N3;100;129;85;78;33;7;98;432
MG;N4;100;129;85;78;33;7;98;432
MS;N2;100;129;85;78;33;7;98;432
MS;N3;100;129;85;78;33;7;98;432
MS;N4;100;129;85;78;33;7;98;432
DP;N2;100;129;85;78;33;7;98;432
DP;N3;100;129;85;78;33;7;98;432
DP;N4;100;129;85;78;33;7;98;432
DS;N2;100;129;85;78;33;7;98;432
DS;N3;100;129;85;78;33;7;98;432
DS;N4;100;129;85;78;33;7;98;432
