bouwdeel,niveau,maatregel,Zst_Egw_Ind,Zst_Egw_Prj,Zst_Mgw_Ind,Zst_Mgw_Prj,Nat_Egw_Ind,Nat_Egw_Prj,Nat_Mgw_Ind,Nat_Mgw_Prj,R_RV,Rc_U_Qv10_waarde
RB,N0,Glas U=5.8 (enkel),,,,,,,,,0,5.8
RB,N1,Glas U=2.7 (dubbel),,,,,,,,,53.448,2.7
RB,N2,Glas U=1.6 (HR),153.26,139.51,183.19,170.86,42.38,38.57,53.65,48.82,72.414,1.6
RB,N3,Glas U=1.2 (HR++),150.71,136.96,180.63,168.3,46.24,41.78,57.51,52.03,79.31,1.2
RB,N4,Glas U=0.8 (triple),434.38,413.11,524.77,502.27,303.41,291.93,377.36,362.52,86.207,0.8
RO,N0,Glas U=5.8 (enkel),,,,,,,,,0,5.8
RO,N1,Glas U=2.7 (dubbel),,,,,,,,,53.448,2.7
RO,N2,Glas U=1.6 (HR),153.26,139.51,183.19,170.86,42.38,38.57,53.65,48.82,72.414,1.6
RO,N3,Glas U=1.2 (HR++),150.71,136.96,180.63,168.3,46.24,41.78,57.51,52.03,79.31,1.2
RO,N4,Glas U=0.8 (triple),434.38,413.11,524.77,502.27,303.41,291.93,377.36,362.52,86.207,0.8
DR,N0,Deur U=3.45,,,,,,,,,0,3.45
DR,N1,Deur U=3.45,,,,,,,,,0,3.45
DR,N2,Deur U=3.45,,,,,,,,,0,3.45
DR,N3,Deur U=3.45,,,,,,,,,0,3.45
DR,N4,Deur U=0.69,740.47,689.67,753.13,702.32,637.85,590.42,637.85,590.42,80,0.69
PL,N0,Paneel RC=0.24,,,,,,,,,0,0.24
PL,N1,Paneel RC=1.3,217.36,201.34,217.71,201.69,202.07,187.12,202.07,187.12,72.109,1.3
PL,N2,Paneel RC=2.0,266.26,245.35,266.61,245.7,247.71,228.2,247.71,228.2,81.106,2
PL,N3,Paneel RC=3.5,371.03,339.64,371.38,339.99,345.52,316.22,345.52,316.22,88.828,3.5
PL,N4,Paneel RC=5.0,475.81,433.94,476.16,434.29,443.33,404.25,443.33,404.25,92.07,5
VL,N0,Vloer RC=0.15,,,,,,,,,0,0.15
VL,N1,Vloer RC=0.52,,,,,,,,,43.023,0.52
VL,N2,Vloer RC=1.26,39.21,37.17,44.97,42.61,31.44,30.1,34,32.18,69.375,1.26
VL,N3,Vloer RC=3.5,59.25,52.35,63.92,57.36,50.15,44.27,51.69,45.94,87.24,3.5
VL,N4,Vloer RC=5.0,68.33,63.31,73.99,68.67,58.63,54.51,61.09,56.36,90.824,5
MG,N0,Gevel RC=0.19,,,,,,,,,0,0.19
MG,N1,Gevel RC=0.19,,,,,,,,,0,0.19
MG,N2,Gevel RC=0.19,,,,,,,,,0,0.19
MG,N3,Gevel RC=3.5,99.92,93.52,112.67,104.28,87.82,82.53,98.91,92.28,90.191,3.5
MG,N4,Gevel RC=6.0,124.79,114.21,135.67,124.98,111.04,101.85,120.38,111.19,94.165,6
MS,N0,Spouw RC=0.36,,,,,,,,,0,0.36
MS,N1,Spouw RC=1.3,23.17,21.74,22.51,20.84,20.51,19.46,18.69,17.71,63.946,1.3
MS,N2,Spouw RC=1.8,27.41,25.57,26.95,24.88,24.47,23.03,22.84,21.48,73.096,1.8
MS,N3,Spouw RC=3.5,63.72,58.25,65.53,59.59,57.03,52.33,55.39,50.77,85.559,3.5
MS,N4,Spouw RC=6.0,97.95,89.05,99.75,90.39,91.26,83.14,89.62,81.58,91.41,6
DP,N0,Dak RC=0.22,,,,,,,,,0,0.22
DP,N1,Dak RC=0.86,,,,,,,,,64,0.86
DP,N2,Dak RC=1.33,201.89,200.74,201.03,199.99,60.53,59.94,60.52,59.94,75.51,1.33
DP,N3,Dak RC=3.5,249.1,245.59,248.25,244.84,68.18,66.68,68.18,66.68,90.11,3.5
DP,N4,Dak RC=8.0,272.83,266.47,271.97,265.73,89.51,86.02,89.51,86.02,95.577,8
DS,N0,Dak RC=0.22,,,,,,,,,0,0.22
DS,N1,Dak RC=0.86,,,,,,,,,64,0.86
DS,N2,Dak RC=1.33,65.09,61.08,65.09,61.08,54.3,50.9,54.3,50.9,75.51,1.33
DS,N3,Dak RC=3.5,76.35,72.72,76.35,72.72,64.82,61.77,64.82,61.77,90.11,3.5
DS,N4,Dak RC=8.0,97.58,93.04,97.58,93.04,84.63,80.74,84.63,80.74,95.577,8
KR,N0,Kier Qv10 3.0,,,,,,,,,0,3
KR,N1,Kier Qv10 1.8,,,,,,,,,38.157,1.8
KR,N2,Kier Qv10 1.2,5.98,4.84,3.08,2.91,4.55,3.94,2.21,2.15,73.967,1.2
KR,N3,Kier Qv10 0.7,7.74,6.87,4.24,4.04,6.14,5.79,3.32,3.26,76.629,0.7
KR,N4,Kier Qv10 0.4,5.29,4.75,6.14,5.71,3.79,3.75,4.82,4.76,86.634,0.4
