woning;bouwjaarklasse;Elabel;besparing
geen woonpand;voor 1930;A;0
geen woonpand;voor 1930;B;0
geen woonpand;voor 1930;C;0
geen woonpand;voor 1930;D;0
geen woonpand;voor 1930;E;0
geen woonpand;voor 1930;F;0
geen woonpand;voor 1930;G;0
geen woonpand;voor 1930;N;0
geen woonpand;1930 - 1945;A;0
geen woonpand;1930 - 1945;B;0
geen woonpand;1930 - 1945;C;0
geen woonpand;1930 - 1945;D;0
geen woonpand;1930 - 1945;E;0
geen woonpand;1930 - 1945;F;0
geen woonpand;1930 - 1945;G;0
geen woonpand;1930 - 1945;N;0
geen woonpand;1946 - 1964;A;0
geen woonpand;1946 - 1964;B;0
geen woonpand;1946 - 1964;C;0
geen woonpand;1946 - 1964;D;0
geen woonpand;1946 - 1964;E;0
geen woonpand;1946 - 1964;F;0
geen woonpand;1946 - 1964;G;0
geen woonpand;1946 - 1964;N;0
geen woonpand;1965 - 1974;A;0
geen woonpand;1965 - 1974;B;0
geen woonpand;1965 - 1974;C;0
geen woonpand;1965 - 1974;D;0
geen woonpand;1965 - 1974;E;0
geen woonpand;1965 - 1974;F;0
geen woonpand;1965 - 1974;G;0
geen woonpand;1965 - 1974;N;0
geen woonpand;1975 - 1991;A;0
geen woonpand;1975 - 1991;B;0
geen woonpand;1975 - 1991;C;0
geen woonpand;1975 - 1991;D;0
geen woonpand;1975 - 1991;E;0
geen woonpand;1975 - 1991;F;0
geen woonpand;1975 - 1991;G;0
geen woonpand;1975 - 1991;N;0
geen woonpand;1992 - 1995;A;0
geen woonpand;1992 - 1995;B;0
geen woonpand;1992 - 1995;C;0
geen woonpand;1992 - 1995;D;0
geen woonpand;1992 - 1995;E;0
geen woonpand;1992 - 1995;F;0
geen woonpand;1992 - 1995;G;0
geen woonpand;1992 - 1995;N;0
geen woonpand;1996 - 1999;A;0
geen woonpand;1996 - 1999;B;0
geen woonpand;1996 - 1999;C;0
geen woonpand;1996 - 1999;D;0
geen woonpand;1996 - 1999;E;0
geen woonpand;1996 - 1999;F;0
geen woonpand;1996 - 1999;G;0
geen woonpand;1996 - 1999;N;0
geen woonpand;2000 - 2005;A;0
geen woonpand;2000 - 2005;B;0
geen woonpand;2000 - 2005;C;0
geen woonpand;2000 - 2005;D;0
geen woonpand;2000 - 2005;E;0
geen woonpand;2000 - 2005;F;0
geen woonpand;2000 - 2005;G;0
geen woonpand;2000 - 2005;N;0
geen woonpand;2006 - 2010;A;0
geen woonpand;2006 - 2010;B;0
geen woonpand;2006 - 2010;C;0
geen woonpand;2006 - 2010;D;0
geen woonpand;2006 - 2010;E;0
geen woonpand;2006 - 2010;F;0
geen woonpand;2006 - 2010;G;0
geen woonpand;2006 - 2010;N;0
geen woonpand;2011 - 2014;A;0
geen woonpand;2011 - 2014;B;0
geen woonpand;2011 - 2014;C;0
geen woonpand;2011 - 2014;D;0
geen woonpand;2011 - 2014;E;0
geen woonpand;2011 - 2014;F;0
geen woonpand;2011 - 2014;G;0
geen woonpand;2011 - 2014;N;0
geen woonpand;2015 - 2020;A;0
geen woonpand;2015 - 2020;B;0
geen woonpand;2015 - 2020;C;0
geen woonpand;2015 - 2020;D;0
geen woonpand;2015 - 2020;E;0
geen woonpand;2015 - 2020;F;0
geen woonpand;2015 - 2020;G;0
geen woonpand;2015 - 2020;N;0
geen woonpand;2021 - 2030;A;1
geen woonpand;2021 - 2030;B;0
geen woonpand;2021 - 2030;C;0
geen woonpand;2021 - 2030;D;0
geen woonpand;2021 - 2030;E;0
geen woonpand;2021 - 2030;F;0
geen woonpand;2021 - 2030;G;0
geen woonpand;2021 - 2030;N;0
geen woonpand;2031 - 2040;A;1
geen woonpand;2031 - 2040;B;0
geen woonpand;2031 - 2040;C;0
geen woonpand;2031 - 2040;D;0
geen woonpand;2031 - 2040;E;0
geen woonpand;2031 - 2040;F;0
geen woonpand;2031 - 2040;G;0
