"energielabel"	"VL"	"DS"	"DP"	"MS"	"MG"	"DR"	"PL"	"RO"	"RB"	"freq"	"count"
"F"	"N0"	"N0"	"N0"		"N0"	"N1"	"N0"	"N1"	"N2"	0.00024	1
"F"	"N0"	"N0"	"N0"		"N0"	"N1"	"N1"	"N2"	"N0"	0.00024	1
"F"	"N0"	"N0"	"N0"		"N0"	"N1"	"N2"	"N2"	"N2"	0.00024	1
"F"	"N0"	"N0"	"N0"		"N0"	"N1"		"N2"	"N1"	0.00024	1
"F"	"N0"	"N0"	"N0"		"N0"	"N1"			"N0"	0.00024	1
"F"	"N0"	"N0"	"N1"		"N0"	"N1"	"N0"	"N0"	"N1"	0.00024	1
"F"	"N0"	"N0"	"N1"		"N0"	"N1"	"N0"	"N1"	"N1"	0.00024	1
"F"	"N0"	"N0"	"N1"		"N0"	"N1"	"N0"	"N2"	"N1"	0.00024	1
"F"	"N0"	"N0"	"N1"		"N0"	"N1"	"N1"	"N1"	"N0"	0.00024	1
"F"	"N0"	"N0"	"N1"		"N0"	"N1"	"N1"	"N2"	"N1"	0.00024	1
"F"	"N0"	"N0"	"N2"		"N0"	"N1"	"N0"	"N0"	"N1"	0.00024	1
"F"	"N0"	"N0"	"N2"		"N0"	"N1"	"N1"	"N0"	"N0"	0.00024	1
"F"	"N0"	"N0"	"N2"		"N0"	"N1"	"N1"	"N2"	"N0"	0.00024	1
"F"	"N0"	"N0"	"N2"		"N0"	"N1"	"N1"	"N2"	"N1"	0.00024	1
"F"	"N0"	"N0"	"N2"		"N0"	"N1"	"N1"	"N2"	"N2"	0.00024	1
"F"	"N0"	"N0"	"N2"		"N0"	"N1"		"N0"	"N0"	0.00024	1
"F"	"N0"	"N0"			"N0"	"N1"	"N0"	"N1"	"N2"	0.00024	1
"F"	"N0"	"N0"			"N0"	"N1"	"N0"	"N2"	"N2"	0.00024	1
"F"	"N0"	"N0"			"N0"	"N1"	"N1"	"N0"	"N0"	0.00024	1
"F"	"N0"	"N0"			"N0"	"N1"	"N1"	"N1"	"N1"	0.00024	1
"F"	"N0"	"N0"			"N0"	"N1"	"N1"	"N2"	"N0"	0.00024	1
"F"	"N0"	"N0"			"N0"	"N1"		"N2"	"N1"	0.00024	1
"F"	"N0"	"N1"	"N0"		"N0"	"N1"	"N0"	"N0"	"N1"	0.00024	1
"F"	"N0"	"N1"	"N0"		"N0"	"N1"	"N0"	"N2"	"N1"	0.00024	1
"F"	"N0"	"N1"	"N0"		"N0"	"N1"	"N1"	"N2"	"N1"	0.00024	1
"F"	"N0"	"N1"	"N0"		"N0"	"N1"		"N2"	"N1"	0.00024	1
"F"	"N0"	"N1"	"N2"		"N0"	"N1"	"N0"	"N1"	"N0"	0.00024	1
"F"	"N0"	"N1"			"N0"	"N1"	"N0"	"N1"	"N2"	0.00024	1
"F"	"N0"	"N1"			"N0"	"N1"	"N0"	"N2"	"N0"	0.00024	1
"F"	"N0"	"N1"			"N0"	"N1"	"N0"	"N2"	"N1"	0.00024	1
"F"	"N0"	"N2"	"N0"		"N0"	"N1"	"N0"	"N0"	"N0"	0.00024	1
"F"	"N0"	"N2"	"N0"		"N0"	"N1"	"N0"	"N1"	"N0"	0.00024	1
