"Energielabel"	"VL"	"DS"	"DP"	"MS"	"MG"	"DR"	"PL"	"RO"	"RB"	"freq"	"count"
"A"	"N3"	"N0"			"N0"	"N1"		"N3"	"N3"	0.0010893246	1
"A"		"N0"	"N0"		"N0"	"N1"		"N1"	"N1"	0.0010893246	1
"A"			"N0"		"N0"			"N1"	"N1"	0.0010893246	1
"B"	"N1"	"N0"	"N0"		"N0"	"N1"		"N3"	"N3"	0.0012674271	1
"B"	"N2"				"N0"	"N1"		"N1"	"N1"	0.0012674271	1
"B"					"N0"	"N1"		"N2"	"N2"	0.0012674271	1
"B"					"N0"	"N1"		"N3"	"N3"	0.0012674271	1
"C"	"N0"	"N0"	"N0"		"N0"	"N1"	"N0"	"N1"	"N1"	0.0007062147	1
"C"	"N0"	"N0"	"N0"		"N0"	"N1"	"N0"	"N3"	"N3"	0.0007062147	1
"C"	"N0"	"N0"	"N0"		"N0"	"N1"		"N0"	"N0"	0.0007062147	1
"C"	"N0"	"N0"	"N0"		"N0"	"N1"		"N1"	"N1"	0.0007062147	1
"C"	"N0"	"N0"	"N0"		"N0"	"N1"		"N2"	"N1"	0.0007062147	1
"C"	"N0"	"N0"	"N0"		"N0"	"N1"		"N3"	"N1"	0.0007062147	1
"C"	"N0"	"N0"	"N0"		"N0"	"N1"		"N3"	"N3"	0.0007062147	1
"C"	"N0"	"N0"	"N2"		"N0"	"N1"	"N0"	"N1"	"N1"	0.0007062147	1
"C"	"N0"	"N0"	"N2"		"N0"	"N1"		"N1"	"N1"	0.0007062147	1
"C"	"N0"	"N0"			"N0"	"N1"		"N0"	"N0"	0.0007062147	1
"C"	"N0"	"N1"			"N0"	"N1"	"N0"	"N0"	"N0"	0.0007062147	1
"C"	"N0"	"N2"	"N0"		"N0"	"N1"		"N3"	"N1"	0.0014124294	2
"C"	"N0"	"N2"	"N2"		"N0"	"N1"		"N3"	"N1"	0.0007062147	1
"C"	"N0"	"N2"	"N2"		"N0"	"N1"		"N3"	"N3"	0.0007062147	1
"C"	"N0"	"N2"			"N0"	"N1"		"N0"	"N0"	0.0007062147	1
"C"	"N0"	"N2"			"N0"	"N1"		"N3"	"N3"	0.0007062147	1
"C"	"N0"		"N0"		"N0"	"N1"	"N0"	"N3"	"N1"	0.0007062147	1
"C"	"N0"		"N0"		"N0"	"N1"		"N1"	"N1"	0.0007062147	1
"C"	"N0"		"N0"		"N0"	"N1"		"N3"	"N1"	0.0014124294	2
"C"	"N0"		"N2"		"N0"	"N1"		"N3"	"N3"	0.0014124294	2
"C"	"N0"				"N0"	"N1"	"N0"	"N1"	"N1"	0.0007062147	1
"C"	"N0"				"N0"	"N1"		"N0"	"N0"	0.0007062147	1
"C"	"N0"				"N0"	"N1"		"N1"	"N1"	0.0007062147	1
"C"	"N0"				"N0"	"N1"		"N3"	"N3"	0.0007062147	1
"C"	"N1"	"N0"	"N0"		"N0"	"N1"		"N1"	"N1"	0.0007062147	1
"C"	"N1"	"N2"	"N0"		"N0"	"N1"		"N3"	"N3"	0.0007062147	1
"C"	"N1"	"N2"			"N0"	"N1"		"N0"	"N0"	0.0007062147	1
"C"	"N1"		"N0"		"N0"	"N1"		"N2"	"N2"	0.0007062147	1
"C"	"N1"		"N2"		"N0"	"N1"		"N3"	"N1"	0.0007062147	1
"C"	"N1"		"N2"		"N0"	"N1"		"N3"	"N3"	0.0007062147	1
"C"	"N2"	"N0"	"N0"		"N0"	"N1"		"N2"	"N1"	0.0007062147	1
"C"	"N2"	"N0"	"N0"		"N0"	"N1"		"N3"	"N3"	0.0007062147	1
"C"	"N2"	"N0"	"N2"		"N0"	"N1"		"N3"	"N0"	0.0007062147	1
"C"	"N2"	"N0"			"N0"	"N1"		"N3"	"N3"	0.0007062147	1
"C"	"N2"	"N2"	"N2"		"N0"	"N1"		"N3"	"N1"	0.0007062147	1
"C"	"N3"	"N2"	"N0"		"N0"	"N1"	"N0"	"N3"	"N1"	0.0007062147	1
